"Station Name","ROSSWOOD"
"Province","BRITISH COLUMBIA"
"Latitude","54.85"
"Longitude","-128.80"
"Elevation","182.90"
"Climate Identifier","1076886"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","M","","M","","M","26.7","","-2.2","","","M","0.0","","","M","0","",,"",,""
"1973-06","1973","06","17.6","","6.1","","11.9","","23.9","","-0.6","","58.7","","0.0","","58.7","","0","",,"",,""
"1973-07","1973","07","20.6","","8.7","","14.7","","28.9","","2.8","","28.7","","0.0","","28.7","","0","",,"",,""
"1973-08","1973","08","20.9","","7.2","","14.1","","28.3","","-1.1","","35.6","","0.0","","35.6","","0","",,"",,""
"1973-09","1973","09","15.3","","5.9","","10.6","","22.8","","-2.2","","144.8","","0.0","","144.8","","0","",,"",,""
"1973-10","1973","10","7.7","","1.7","","4.7","","12.8","","-4.4","","150.1","","0.0","T","150.1","","0","",,"",,""
"1973-11","1973","11","-2.3","","-10.4","","-6.4","","5.0","","-18.3","","14.2","","45.0","E","59.2","E","","M",,"",,""
"1973-12","1973","12","-0.5","","-5.8","","-3.2","","5.0","","-18.9","","22.9","","71.4","","94.2","","","M",,"",,""
"1974-01","1974","01","-6.4","","-14.1","","-10.3","","4.4","S","-28.9","","12.4","","130.6","","143.0","","","M",,"",,""
"1974-02","1974","02","2.4","","-3.8","","-0.7","","6.7","","-23.3","","23.4","","47.8","","71.1","","","M",,"",,""
"1974-03","1974","03","5.6","","-4.9","","0.4","","12.2","S","-18.3","","12.4","","51.8","","64.3","","","M",,"",,""
"1974-04","1974","04","10.4","","0.8","","5.6","","21.1","","-5.6","","30.2","","0.0","","30.2","","0","",,"",,""
"1974-05","1974","05","14.1","","3.1","","8.6","","21.1","","-2.2","S","26.4","","0.0","","26.4","","","M",,"",,""
"1974-06","1974","06","17.7","","6.2","","12.0","","26.1","","0.0","S","43.7","","0.0","","43.7","","0","",,"",,""
"1974-07","1974","07","19.2","","8.2","","13.7","","28.9","","2.8","","90.9","","0.0","","90.9","","0","",,"",,""
"1974-08","1974","08","23.8","","9.6","","16.7","","33.9","","6.7","S","4.1","","0.0","","4.1","","0","",,"",,""
"1974-09","1974","09","19.9","","7.6","","13.8","","32.2","S","2.2","","131.3","","0.0","","131.3","","0","",,"",,""
"1974-10","1974","10","10.7","","3.6","","7.2","","17.2","","-1.7","S","320.8","","0.0","","320.8","","0","",,"",,""
"1974-11","1974","11","3.8","","-0.5","","1.7","","13.3","","-10.6","","19.8","","23.4","","43.2","","","M",,"",,""
"1974-12","1974","12","2.7","","-1.0","","0.9","","6.7","","-7.2","","128.8","","20.1","","148.8","","","M",,"",,""
"1975-01","1975","01","-2.3","","-7.9","","-5.1","","4.4","","-32.2","","44.5","","117.3","","161.8","","","M",,"",,""
"1975-02","1975","02","-2.4","","-12.0","","-7.2","","6.1","","-26.1","S","30.0","","32.0","","62.0","","","M",,"",,""
"1975-03","1975","03","4.7","","-5.1","","-0.2","","9.4","","-12.8","","32.3","","9.7","","41.9","","","M",,"",,""
"1975-04","1975","04","11.8","","-0.7","","5.6","","24.4","","-8.3","","11.2","","2.0","","13.2","","0","",,"",,""
"1975-05","1975","05","16.3","","2.9","","9.6","","27.8","S","-2.2","S","28.2","","0.0","","28.2","","0","",,"",,""
"1975-06","1975","06","17.3","","7.1","","12.2","","27.2","","2.2","","42.7","","0.0","","42.7","","0","",,"",,""
