"Station Name","RUDDELL"
"Province","SASKATCHEWAN"
"Latitude","52.58"
"Longitude","-107.85"
"Elevation","538.00"
"Climate Identifier","4046977"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1985-01","1985","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-03","1985","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-06","1985","06","20.1","E","6.0","","13.1","E","30.0","","-2.0","","20.0","","0.0","","20.0","","0","",,"",,""
"1985-07","1985","07","25.8","E","10.1","","18.0","E","36.0","","4.0","","","M","0.0","","","M","0","",,"",,""
"1985-08","1985","08","22.3","","8.2","","15.3","","30.0","S","2.5","","53.6","","0.0","","53.6","","0","",,"",,""
"1985-09","1985","09","13.7","","3.0","","8.4","","21.5","S","-7.0","","35.0","","1.0","","36.0","","0","",,"",,""
"1985-10","1985","10","10.2","","-2.1","","4.1","","17.5","","-9.0","S","10.2","","3.0","","13.2","","0","",,"",,""
"1985-11","1985","11","-11.3","","-20.3","E","-15.8","E","7.0","","-37.0","","0.0","T","10.6","","10.6","","8","",,"",,""
"1985-12","1985","12","-6.4","","-17.3","","-11.9","","6.0","","-33.0","","0.0","T","24.4","E","24.4","E","9","",,"",,""
"1986-01","1986","01","-4.1","E","-13.1","","-8.6","E","7.5","","-27.0","","0.0","T","33.0","","33.0","","25","",,"",,""
"1986-02","1986","02","-11.0","","-21.1","","-16.1","","6.0","S","-37.5","","0.0","","12.2","","12.2","","","M",,"",,""
"1986-03","1986","03","3.5","","-5.7","E","-1.1","E","17.0","","-20.0","","5.0","","17.4","","22.4","","0","",,"",,""
"1986-04","1986","04","9.9","","-3.2","E","3.4","E","19.5","S","-15.0","S","12.6","","2.0","","14.6","","0","",,"",,""
"1986-05","1986","05","19.5","","5.8","","12.7","","35.0","","-5.5","","56.4","","5.6","","62.0","","0","",,"",,""
"1986-06","1986","06","22.5","","8.8","","15.7","","31.0","","2.5","","69.0","","0.0","","69.0","","0","",,"",,""
"1986-07","1986","07","22.0","","10.7","E","16.4","E","30.5","","4.0","","167.8","","0.0","","167.8","","0","",,"",,""
"1986-08","1986","08","24.2","","8.8","","16.5","","31.5","","1.5","","15.4","","0.0","","15.4","","0","",,"",,""
"1986-09","1986","09","13.7","","4.0","","8.9","","21.0","","-2.0","","77.0","","0.0","","77.0","","0","",,"",,""
"1986-10","1986","10","12.5","","-0.1","","6.2","","24.0","","-8.0","","6.6","","5.0","","11.6","","","M",,"",,""
"1986-11","1986","11","-5.2","","-13.6","","-9.4","","10.0","","-27.0","","3.0","","23.9","","26.9","","1","",,"",,""
"1986-12","1986","12","-3.5","E","-13.1","","-8.3","E","4.5","","-26.0","","1.5","","3.8","","5.3","","1","",,"",,""
"1987-01","1987","01","-3.5","","-14.0","E","-8.8","E","10.0","","-25.0","","0.0","T","10.6","","10.6","","","M",,"",,""
"1987-02","1987","02","-3.3","","-12.9","","-8.1","","8.0","","-26.0","","0.0","","14.2","","14.2","","","M",,"",,""
"1987-03","1987","03","0.2","","-8.5","","-4.2","","10.5","S","-21.0","S","0.0","","7.8","","7.8","","","M",,"",,""
"1987-04","1987","04","15.6","","0.4","E","8.0","E","27.0","","-5.5","","15.4","","1.0","","16.4","","0","",,"",,""
"1987-05","1987","05","21.1","","6.5","","13.8","","28.0","S","-3.5","","26.4","","0.0","","26.4","","0","",,"",,""
"1987-06","1987","06","25.4","","10.8","","18.1","","37.0","","4.5","","40.6","","0.0","","40.6","","0","",,"",,""
"1987-07","1987","07","24.0","","11.6","E","17.8","E","34.0","","5.0","S","92.4","","0.0","","92.4","","0","",,"",,""
"1987-08","1987","08","20.3","","7.6","E","14.0","E","27.0","","1.0","","88.4","","0.0","","88.4","","0","",,"",,""
"1987-09","1987","09","21.8","","5.7","","13.8","","32.0","","1.0","","9.0","","0.0","","9.0","","0","",,"",,""
"1987-10","1987","10","10.9","","-1.3","","4.8","","27.0","","-8.0","","13.0","","2.0","","15.0","","0","",,"",,""
"1987-11","1987","11","5.0","","-6.8","","-0.9","","14.5","","-14.5","","3.0","","0.0","T","3.0","","0","",,"",,""
"1987-12","1987","12","-3.4","","-12.6","","-8.0","","8.5","","-26.0","","0.0","","11.6","","11.6","","7","",,"",,""
"1988-01","1988","01","-12.2","","-22.0","","-17.1","","2.0","","-36.0","","0.0","","17.5","","17.5","","17","",,"",,""
