"Station Name","RUSSELL"
"Province","MANITOBA"
"Latitude","50.77"
"Longitude","-101.28"
"Elevation","567.00"
"Climate Identifier","5012520"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1883-01","1883","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1883-02","1883","02","","M","","M","","M","","M","","M","0.0","","11.4","","11.4","","","",,"",,""
"1883-03","1883","03","","M","","M","","M","","M","","M","0.0","T","6.9","","6.9","","","",,"",,""
"1883-04","1883","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1883-05","1883","05","","M","","M","","M","","M","","M","7.1","","3.8","","10.9","","","",,"",,""
"1883-06","1883","06","","M","","M","","M","","M","","M","6.1","","0.0","T","6.1","","","",,"",,""
"1883-07","1883","07","","M","","M","","M","","M","","M","41.4","","0.0","","41.4","","","",,"",,""
"1883-08","1883","08","","M","","M","","M","","M","","M","49.5","","0.0","","49.5","","","",,"",,""
"1883-09","1883","09","17.5","","","M","","M","27.8","","","M","16.5","","0.0","","16.5","","","",,"",,""
"1883-10","1883","10","4.9","","-3.6","","0.7","","17.8","","-12.2","","58.4","","1.3","","59.7","","","",,"",,""
"1883-11","1883","11","-5.4","","-17.4","","-11.4","","8.3","S","-35.6","","0.0","","22.6","","22.6","","","",,"",,""
"1883-12","1883","12","-14.4","","-24.5","","-19.5","","3.3","","-41.7","","0.0","","12.7","","12.7","","","",,"",,""
"1884-01","1884","01","-17.6","","-30.3","","-24.0","","-1.1","","-44.4","","0.0","","14.0","","14.0","","","",,"",,""
"1884-02","1884","02","-18.5","","-30.7","","-24.6","","1.7","","-41.7","","0.0","","4.3","","4.3","","","",,"",,""
"1884-03","1884","03","-6.4","","-18.3","","-12.4","","5.0","","-34.4","S","0.0","","10.2","","10.2","","","",,"",,""
"1884-04","1884","04","5.3","","-5.9","","-0.3","","18.3","","-17.2","","7.1","","5.1","","12.2","","","",,"",,""
"1884-05","1884","05","19.7","","2.8","","11.3","","32.2","","-7.2","","7.6","","0.0","","7.6","","","",,"",,""
