"Station Name","SALT PRAIRIE LO"
"Province","ALBERTA"
"Latitude","55.67"
"Longitude","-115.83"
"Elevation","716.30"
"Climate Identifier","3065700"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1955-01","1955","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1955-02","1955","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1955-03","1955","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1955-04","1955","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1955-05","1955","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1955-06","1955","06","17.4","","4.4","","10.9","","27.8","","-3.3","","86.9","","0.0","","86.9","","","",,"",,""
"1955-07","1955","07","17.9","","8.3","","13.1","","","M","1.1","","","M","0.0","","","M","","",,"",,""
"1955-08","1955","08","16.8","","4.7","","10.8","","23.3","","0.0","S","25.1","","0.0","","25.1","","","",,"",,""
"1955-09","1955","09","10.3","","-0.1","","5.1","","21.1","","-7.8","","50.5","","0.0","","50.5","","","",,"",,""
"1955-10","1955","10","5.8","","-4.9","","0.5","","17.8","","-12.2","","7.6","","24.1","","31.8","","","",,"",,""
"1955-11","1955","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
