"Station Name","SANCTUARY"
"Province","SASKATCHEWAN"
"Latitude","51.03"
"Longitude","-108.05"
"Elevation","609.60"
"Climate Identifier","4027110"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-02","1976","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-03","1976","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-04","1976","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-05","1976","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-06","1976","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-07","1976","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-08","1976","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-09","1976","09","22.4","","6.2","","14.3","","31.1","","-1.7","","3.3","","0.0","","3.3","","0","",,"",,""
"1976-10","1976","10","10.3","","-1.7","","4.3","","23.3","","-13.3","S","2.5","","0.0","T","2.5","","0","",,"",,""
"1976-11","1976","11","2.4","","-10.6","","-4.1","","16.7","","-25.6","","0.0","T","0.0","T","0.0","T","0","T",,"",,""
"1976-12","1976","12","-4.6","","-15.7","","-10.2","","7.8","","-30.0","","0.0","T","19.6","","19.6","","8","",,"",,""
"1977-01","1977","01","-11.8","","-22.3","","-17.1","","0.6","S","-37.2","","0.0","","10.6","","10.6","","15","",,"",,""
"1977-02","1977","02","1.9","","-9.5","","-3.8","","7.2","","-22.8","","0.0","","6.1","","6.1","","7","",,"",,""
"1977-03","1977","03","5.9","","-7.1","","-0.6","","13.3","S","","M","0.0","","1.5","","1.5","","0","",,"",,""
"1977-04","1977","04","17.1","","-0.7","","8.2","","30.6","","-15.6","","0.0","T","1.0","","1.0","","0","",,"",,""
"1977-05","1977","05","20.2","","7.2","","13.7","","","M","-6.1","","115.0","","0.0","","115.0","","0","",,"",,""
"1977-06","1977","06","23.9","","10.3","","17.1","","32.2","S","1.7","","39.6","","0.0","","39.6","","0","",,"",,""
"1977-07","1977","07","24.8","","11.3","","18.1","","32.8","","5.6","S","50.8","","0.0","","50.8","","0","",,"",,""
"1977-08","1977","08","21.5","","7.5","","14.5","","31.1","","1.7","","14.3","","0.0","","14.3","","0","",,"",,""
"1977-09","1977","09","17.5","","5.4","","11.5","","27.2","","-1.7","","16.5","","0.0","","16.5","","0","",,"",,""
"1977-10","1977","10","13.5","","-0.3","","6.6","","23.9","","-9.4","","0.0","T","0.3","","0.3","","0","",,"",,""
"1977-11","1977","11","0.3","","-13.6","","-6.7","","13.9","","-32.2","","0.0","","8.4","","8.4","","5","E",,"",,""
"1977-12","1977","12","-13.0","","-23.1","","-18.1","","3.9","","-42.8","","0.0","T","24.6","","24.6","","15","E",,"",,""
"1978-01","1978","01","-16.5","","-26.0","","-21.3","","-0.6","S","-35.6","","0.0","","11.7","","11.7","","","M",,"",,""
