"Station Name","SARSFIELD"
"Province","ONTARIO"
"Latitude","45.43"
"Longitude","-75.35"
"Elevation","85.00"
"Climate Identifier","6107533"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1985-01","1985","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-03","1985","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","19.2","","5.5","","12.4","","28.0","","-1.5","","27.6","","0.0","","27.6","","0","",,"",,""
"1985-06","1985","06","21.4","","9.7","E","15.6","E","27.5","","6.5","S","","M","0.0","","","M","0","",,"",,""
"1985-07","1985","07","26.0","","12.8","","19.4","","30.5","S","5.5","","81.9","","0.0","","81.9","","0","",,"",,""
"1985-08","1985","08","24.6","","12.5","","18.6","","32.5","","7.5","","98.0","","0.0","","98.0","","0","",,"",,""
"1985-09","1985","09","21.8","E","8.7","","15.3","E","29.5","","0.5","","63.0","","0.0","","63.0","","0","",,"",,""
"1985-10","1985","10","13.6","","4.2","","8.9","","20.0","","-5.0","","110.8","","0.0","","110.8","","0","",,"",,""
"1985-11","1985","11","4.1","E","-3.2","E","0.5","E","18.5","","-11.0","","7.5","","1.0","","8.5","","","M",,"",,""
"1985-12","1985","12","-2.4","","-12.3","","-7.4","","10.0","","-28.0","S","0.0","","54.0","","54.0","","","M",,"",,""
"1986-01","1986","01","-3.4","E","-13.8","E","-8.6","E","15.0","","-26.5","","0.0","","42.0","","42.0","","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-05","1986","05","19.9","E","7.6","E","13.8","E","30.0","","-4.5","","163.5","","0.0","","163.5","","0","",,"",,""
"1986-06","1986","06","22.1","E","9.3","","15.7","E","30.0","","-3.0","","105.6","","0.0","","105.6","","0","",,"",,""
"1986-07","1986","07","25.0","E","13.5","","19.3","E","31.5","","6.0","","136.5","","0.0","","136.5","","0","",,"",,""
"1986-08","1986","08","23.3","E","11.3","","17.3","E","29.0","","1.5","","121.5","E","0.0","","121.5","E","0","",,"",,""
"1986-09","1986","09","18.2","","8.0","","13.1","","25.0","","0.5","","167.4","","0.0","","167.4","","0","",,"",,""
"1986-10","1986","10","12.0","E","3.0","E","7.5","E","20.0","","-6.5","","71.6","","0.0","","71.6","","0","",,"",,""
"1986-11","1986","11","3.2","","-4.4","","-0.6","","14.0","","-12.0","S","23.0","E","28.0","E","51.0","E","","M",,"",,""
"1986-12","1986","12","-1.2","E","-9.1","","-5.2","E","3.0","","-25.0","","","M","33.0","","","M","","M",,"",,""
"1987-01","1987","01","-3.6","E","-12.5","E","-8.1","E","5.0","","-28.5","B","0.0","","54.0","E","54.0","E","","M",,"",,""
"1987-02","1987","02","-6.4","E","-16.7","E","-11.6","E","1.0","B","-29.0","","0.0","","41.0","E","41.0","E","","M",,"",,""
"1987-03","1987","03","5.6","","-6.8","","-0.6","","17.0","","-22.0","","","M","","M","","M","","M",,"",,""
"1987-04","1987","04","15.0","E","2.9","","9.0","E","28.5","","-7.0","S","56.9","E","2.0","E","58.9","E","0","",,"",,""
"1987-05","1987","05","18.4","E","6.2","E","12.3","E","32.0","","-5.0","","87.3","E","0.0","","87.3","E","0","",,"",,""
"1987-06","1987","06","24.8","E","11.9","","18.4","E","33.5","","3.5","","76.6","","0.0","","76.6","","0","",,"",,""
"1987-07","1987","07","28.0","","15.9","","22.0","","34.0","","5.5","","113.2","","0.0","","113.2","","0","",,"",,""
"1987-08","1987","08","25.0","E","11.1","","18.1","E","33.0","","5.0","S","34.8","","0.0","","34.8","","0","",,"",,""
"1987-09","1987","09","20.4","E","8.3","","14.4","E","31.5","","-3.0","","139.7","","0.0","","139.7","","0","",,"",,""
"1987-10","1987","10","11.4","E","1.6","","6.5","E","20.0","","-6.0","","70.9","","2.0","","72.9","","0","",,"",,""
"1987-11","1987","11","5.0","E","-4.1","E","0.5","E","19.5","E","-17.0","","","M","","M","","M","","M",,"",,""
"1987-12","1987","12","0.0","","-7.5","E","-3.8","E","7.0","","-21.0","","13.0","E","39.0","","52.0","E","","M",,"",,""
"1988-01","1988","01","","M","-14.8","","","M","","M","-30.5","","","M","","M","","M","","M",,"",,""
"1988-02","1988","02","-2.9","E","-14.9","","-8.9","E","6.0","","-28.0","","","M","","M","","M","","M",,"",,""
