"Station Name","SCUDDER POINT"
"Province","BRITISH COLUMBIA"
"Latitude","52.45"
"Longitude","-131.23"
"Elevation","5.00"
"Climate Identifier","1057133"
"WMO Identifier",""
"TC Identifier","WZD"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-02","1992","02","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-03","1992","03","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-04","1992","04","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-05","1992","05","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-06","1992","06","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-07","1992","07","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-08","1992","08","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-09","1992","09","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-10","1992","10","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1992-11","1992","11","10.2","","6.5","","8.4","","14.2","","3.9","","","","","","352.6","","","",,"",,""
"1992-12","1992","12","6.6","E","2.7","","4.8","E","11.9","E","-6.7","","","","","","219.0","","","",,"",,""
"1993-01","1993","01","6.3","","2.9","E","4.6","E","10.4","","-0.8","B","","","","","168.6","","","",,"",,""
"1993-02","1993","02","7.6","","4.4","E","6.0","E","11.9","","-1.9","","","","","","291.2","","","",,"",,""
"1993-03","1993","03","8.1","","4.0","","6.0","","10.3","","0.5","","","","","","214.0","","","",,"",,""
"1993-04","1993","04","9.5","","6.0","","7.8","","11.8","","2.6","","","","","","170.8","","","",,"",,""
"1993-05","1993","05","13.3","","9.0","","11.2","","19.9","","5.2","","","","","","81.4","","","",,"",,""
"1993-06","1993","06","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1993-07","1993","07","16.2","","12.7","E","14.5","E","19.1","","10.8","E","","","","","13.0","","","",,"",,""
"1993-08","1993","08","17.9","","13.7","E","15.9","E","23.3","","11.4","E","","","","","34.1","","","",,"",,""
"1993-09","1993","09","16.5","E","12.7","","14.7","E","19.6","E","9.2","","","","","","30.8","","","",,"",,""
"1993-10","1993","10","13.7","","10.0","","11.9","","16.8","","6.6","","","","","","169.0","","","",,"",,""
"1993-11","1993","11","10.3","","6.2","","8.3","","15.5","S","0.7","","","","","","329.6","","","",,"",,""
"1993-12","1993","12","8.8","I","4.7","I","6.8","I","13.1","I","1.7","I","","","","","278.4","E","","",,"",,""
"1994-01","1994","01","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-02","1994","02","5.5","","1.8","","3.7","","10.2","","-3.4","","","","","","119.8","I","","",,"",,""
"1994-03","1994","03","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-04","1994","04","9.8","","6.1","","8.0","","12.2","","3.1","","","","","","","","","",,"",,""
"1994-05","1994","05","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-06","1994","06","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-07","1994","07","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-08","1994","08","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-09","1994","09","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","","","","","M","","",,"",,""
"1995-01","1995","01","","","","","","","","","","","","","","","","","","",,"",,""
"1995-02","1995","02","","","","","","","","","","","","","","","","","","",,"",,""
"1995-03","1995","03","","","","","","","","","","","","","","","","","","",,"",,""
"1995-04","1995","04","10.0","","5.9","E","8.0","E","15.4","","3.2","","","","","","150.8","","","",,"",,""
"1995-05","1995","05","","","","","","","","","","","","","","","","","","",,"",,""
"1995-06","1995","06","14.2","","9.9","","12.1","","21.5","","7.0","","","","","","52.8","","","",,"",,""
"1995-07","1995","07","17.2","","13.0","E","15.1","E","20.4","","10.9","E","","","","","38.4","","","",,"",,""
"1995-08","1995","08","15.9","","12.0","","14.0","","19.6","","10.1","","","","","","55.8","","","",,"",,""
"1995-09","1995","09","16.1","","12.6","","14.4","","20.3","","9.5","","","","","","61.4","","","",,"",,""
"1995-10","1995","10","11.7","","7.9","","9.8","","15.2","","3.5","","","","","","288.6","","","",,"",,""
"1995-11","1995","11","9.5","","5.6","","7.6","","12.9","","1.6","","","","","","254.2","","","",,"",,""
"1995-12","1995","12","","","","","","","","","","","","","","","","","","",,"",,""
"1996-01","1996","01","","","","","","","","","","","","","","","","","","",,"",,""
"1996-02","1996","02","","","","","","","","","","","","","","","149.6","","","",,"",,""
"1996-03","1996","03","","","","","","","","","","","","","","","127.2","","","",,"",,""
"1996-04","1996","04","9.7","I","6.1","I","7.9","I","11.0","I","4.6","I","","","","","232.8","","","",,"",,""
"1996-05","1996","05","11.1","E","7.1","E","9.1","E","13.4","","3.7","","","","","","72.6","E","","",,"",,""
"1996-06","1996","06","13.3","","9.2","","11.3","","17.2","","6.0","","","","","","130.4","","","",,"",,""
"1996-07","1996","07","","","","","","","","","","","","","","","","","","",,"",,""
"1996-08","1996","08","17.0","","12.9","","15.0","","21.1","","11.2","","","","","","83.8","","","",,"",,""
"1996-09","1996","09","","","","","","","","","","","","","","","","","","",,"",,""
"1996-10","1996","10","","","","","","","","","","","","","","","","","","",,"",,""
"1996-11","1996","11","","","","","","","","","","","","","","","","","","",,"",,""
"1996-12","1996","12","6.2","I","0.1","I","2.9","I","14.5","I","-1.5","I","","","","","205.6","","","",,"",,""
