"Station Name","SHANNONVILLE"
"Province","ONTARIO"
"Latitude","44.20"
"Longitude","-77.22"
"Elevation",""
"Climate Identifier","6157683"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1883-01","1883","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-02","1883","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-03","1883","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-04","1883","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-05","1883","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-06","1883","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-07","1883","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-08","1883","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-09","1883","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-10","1883","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-11","1883","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1883-12","1883","12","","","","","","","","","","","18.8","","31.8","","50.5","","","",,"",,""
"1884-01","1884","01","","","","","","","","","","","8.4","","147.1","","155.4","","","",,"",,""
"1884-02","1884","02","","","","","","","","","","","52.1","","33.8","","85.9","","","",,"",,""
"1884-03","1884","03","","","","","","","","","","","34.0","","39.9","","73.9","","","",,"",,""
"1884-04","1884","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-05","1884","05","","","","","","","","","","","27.9","","0.0","","27.9","","","",,"",,""
"1884-06","1884","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-07","1884","07","","","","","","","","","","","88.4","","0.0","","88.4","","","",,"",,""
"1884-08","1884","08","","","","","","","","","","","65.5","","0.0","","65.5","","","",,"",,""
"1884-09","1884","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-10","1884","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-11","1884","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1884-12","1884","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1885-01","1885","01","","","","","","","","","","","18.8","","33.3","","52.1","","","",,"",,""
"1885-02","1885","02","","","","","","","","","","","21.8","","50.8","","72.6","","","",,"",,""
"1885-03","1885","03","","","","","","","","","","","9.7","","58.4","","68.1","","","",,"",,""
"1885-04","1885","04","","","","","","","","","","","63.2","","40.6","","103.9","","","",,"",,""
"1885-05","1885","05","","","","","","","","","","","80.3","","7.6","","87.9","","","",,"",,""
"1885-06","1885","06","","","","","","","","","","","114.0","","0.0","","114.0","","","",,"",,""
"1885-07","1885","07","","","","","","","","","","","83.6","","0.0","","83.6","","","",,"",,""
"1885-08","1885","08","","","","","","","","","","","60.7","","0.0","","60.7","","","",,"",,""
"1885-09","1885","09","","","","","","","","","","","68.3","","0.0","","68.3","","","",,"",,""
"1885-10","1885","10","","","","","","","","","","","73.9","","0.8","","74.7","","","",,"",,""
"1885-11","1885","11","","","","","","","","","","","48.8","","2.8","","51.6","","","",,"",,""
"1885-12","1885","12","","","","","","","","","","","6.4","","45.7","","52.1","","","",,"",,""
"1886-01","1886","01","","","","","","","","","","","53.3","","63.5","","116.8","","","",,"",,""
"1886-02","1886","02","","","","","","","","","","","26.2","","45.7","","71.9","","","",,"",,""
"1886-03","1886","03","","","","","","","","","","","67.1","","12.7","","79.8","","","",,"",,""
"1886-04","1886","04","","","","","","","","","","","40.6","","55.9","","96.5","","","",,"",,""
"1886-05","1886","05","","","","","","","","","","","23.6","","0.0","","23.6","","","",,"",,""
"1886-06","1886","06","","","","","","","","","","","46.5","","0.0","","46.5","","","",,"",,""
"1886-07","1886","07","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1886-08","1886","08","","","","","","","","","","","25.9","","0.0","","25.9","","","",,"",,""
"1886-09","1886","09","","","","","","","","","","","97.3","","0.0","","97.3","","","",,"",,""
"1886-10","1886","10","","","","","","","","","","","26.7","","0.0","","26.7","","","",,"",,""
"1886-11","1886","11","","","","","","","","","","","77.5","","27.9","","105.4","","","",,"",,""
"1886-12","1886","12","","","","","","","","","","","24.6","","12.7","","37.3","","","",,"",,""
"1887-01","1887","01","","","","","","","","","","","33.5","","66.0","","99.6","","","",,"",,""
"1887-02","1887","02","","","","","","","","","","","64.8","","55.9","","120.7","","","",,"",,""
"1887-03","1887","03","","","","","","","","","","","20.8","","30.5","","51.3","","","",,"",,""
"1887-04","1887","04","","","","","","","","","","","28.2","","2.5","","30.7","","","",,"",,""
"1887-05","1887","05","","","","","","","","","","","24.1","","0.0","","24.1","","","",,"",,""
"1887-06","1887","06","","","","","","","","","","","43.4","","0.0","","43.4","","","",,"",,""
"1887-07","1887","07","","","","","","","","","","","32.3","","0.0","","32.3","","","",,"",,""
"1887-08","1887","08","","","","","","","","","","","24.9","","0.0","","24.9","","","",,"",,""
"1887-09","1887","09","","","","","","","","","","","32.3","","0.0","","32.3","","","",,"",,""
"1887-10","1887","10","","","","","","","","","","","79.0","","2.5","","81.5","","","",,"",,""
"1887-11","1887","11","","","","","","","","","","","26.7","","17.8","","44.5","","","",,"",,""
"1887-12","1887","12","","","","","","","","","","","49.3","","22.9","","72.1","","","",,"",,""
"1888-01","1888","01","","","","","","","","","","","16.8","","71.1","","87.9","","","",,"",,""
"1888-02","1888","02","","","","","","","","","","","0.0","T","25.4","","25.4","","","",,"",,""
"1888-03","1888","03","","","","","","","","","","","37.1","","35.6","","72.6","","","",,"",,""
"1888-04","1888","04","","","","","","","","","","","38.1","","0.0","","38.1","","","",,"",,""
"1888-05","1888","05","","","","","","","","","","","22.9","","0.0","","22.9","","","",,"",,""
"1888-06","1888","06","","","","","","","","","","","","M","0.0","","","M","","",,"",,""
"1888-07","1888","07","","","","","","","","","","","33.0","","0.0","","33.0","","","",,"",,""
"1888-08","1888","08","","","","","","","","","","","126.0","","0.0","","126.0","","","",,"",,""
"1888-09","1888","09","","","","","","","","","","","63.5","","0.0","","63.5","","","",,"",,""
"1888-10","1888","10","","","","","","","","","","","77.5","","0.0","","77.5","","","",,"",,""
"1888-11","1888","11","","","","","","","","","","","93.7","","1.3","","95.0","","","",,"",,""
"1888-12","1888","12","","","","","","","","","","","39.9","","10.2","","50.0","","","",,"",,""
"1889-01","1889","01","","","","","","","","","","","45.7","","40.6","","86.4","","","",,"",,""
"1889-02","1889","02","","","","","","","","","","","2.5","","124.5","","127.0","","","",,"",,""
"1889-03","1889","03","","","","","","","","","","","0.0","","27.9","","27.9","","","",,"",,""
"1889-04","1889","04","","","","","","","","","","","46.2","","22.9","","69.1","","","",,"",,""
