"Station Name","SHEENBORO"
"Province","QUEBEC"
"Latitude","45.97"
"Longitude","-77.25"
"Elevation","137.20"
"Climate Identifier","7038080"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-02","1948","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-03","1948","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-04","1948","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-05","1948","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-06","1948","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-07","1948","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-08","1948","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-09","1948","09","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-10","1948","10","","","","","","","","","","","46.5","","0.0","T","46.5","","","",,"",,""
"1948-11","1948","11","","","","","","","","","","","81.5","","0.0","T","81.5","","","",,"",,""
"1948-12","1948","12","","","","","","","","","","","3.8","","76.7","","80.5","","","",,"",,""
"1949-01","1949","01","","","","","","","","","","","","M","43.2","","","M","","",,"",,""
"1949-02","1949","02","","","","","","","","","","","0.0","","41.4","","41.4","","","",,"",,""
"1949-03","1949","03","","","","","","","","","","","14.2","","54.1","","68.3","","","",,"",,""
"1949-04","1949","04","","","","","","","","","","","63.5","","0.0","T","63.5","","","",,"",,""
"1949-05","1949","05","","","","","","","","","","","49.3","","0.0","","49.3","","","",,"",,""
"1949-06","1949","06","","","","","","","","","","","53.1","","0.0","","53.1","","","",,"",,""
"1949-07","1949","07","","","","","","","","","","","58.2","","0.0","","58.2","","","",,"",,""
"1949-08","1949","08","","","","","","","","","","","56.9","","0.0","","56.9","","","",,"",,""
"1949-09","1949","09","","","","","","","","","","","106.9","","0.0","","106.9","","","",,"",,""
"1949-10","1949","10","","","","","","","","","","","32.0","","0.0","","32.0","","","",,"",,""
"1949-11","1949","11","","","","","","","","","","","22.4","","16.8","","39.1","","","",,"",,""
"1949-12","1949","12","","","","","","","","","","","67.8","","7.1","","74.9","","","",,"",,""
"1950-01","1950","01","","","","","","","","","","","19.6","","10.2","","29.7","","","",,"",,""
"1950-02","1950","02","","","","","","","","","","","0.0","","66.8","","66.8","","","",,"",,""
"1950-03","1950","03","","","","","","","","","","","6.4","","11.7","","18.0","","","",,"",,""
"1950-04","1950","04","","","","","","","","","","","54.1","","13.2","","67.3","","","",,"",,""
"1950-05","1950","05","","","","","","","","","","","25.1","","0.0","","25.1","","","",,"",,""
"1950-06","1950","06","","","","","","","","","","","48.3","","0.0","","48.3","","","",,"",,""
"1950-07","1950","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1950-08","1950","08","","","","","","","","","","","122.9","","0.0","","122.9","","","",,"",,""
"1950-09","1950","09","","","","","","","","","","","24.1","","0.0","","24.1","","","",,"",,""
"1950-10","1950","10","","","","","","","","","","","82.0","","0.0","T","82.0","","","",,"",,""
"1950-11","1950","11","","","","","","","","","","","34.5","","27.9","","62.5","","","",,"",,""
"1950-12","1950","12","","","","","","","","","","","29.0","","27.9","","56.9","","","",,"",,""
"1951-01","1951","01","","","","","","","","","","","0.0","","56.4","","56.4","","0","",,"",,""
"1951-02","1951","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1951-03","1951","03","","","","","","","","","","","26.9","","41.1","","68.1","","","M",,"",,""
"1951-04","1951","04","","","","","","","","","","","83.6","","2.5","","86.1","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","53.1","","0.0","","53.1","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","80.5","","0.0","","80.5","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","91.4","","0.0","","91.4","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","76.2","","0.0","","76.2","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","61.0","","0.0","","61.0","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","100.8","","0.0","T","100.8","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","42.9","","36.1","","79.0","","0","",,"",,""
"1951-12","1951","12","","","","","","","","","","","9.7","","59.2","","68.8","","0","",,"",,""
"1952-01","1952","01","","","","","","","","","","","0.0","","42.2","","42.2","","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","0.0","","20.8","","20.8","","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","75.2","","0.0","","75.2","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","57.7","","0.0","","57.7","","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","108.2","","0.0","","108.2","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","40.6","","0.0","","40.6","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","38.9","","0.0","T","38.9","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","69.6","","0.0","T","69.6","","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","35.1","","12.7","","47.8","","","",,"",,""
"1953-01","1953","01","","","","","","","","","","","55.1","","33.5","","88.6","","","",,"",,""
"1953-02","1953","02","","","","","","","","","","","1.5","","15.2","","16.8","","","",,"",,""
"1953-03","1953","03","","","","","","","","","","","80.5","","7.6","","88.1","","","",,"",,""
"1953-04","1953","04","","","","","","","","","","","48.5","","0.0","T","48.5","","","",,"",,""
"1953-05","1953","05","","","","","","","","","","","37.1","","0.0","","37.1","","","",,"",,""
"1953-06","1953","06","","","","","","","","","","","86.6","","0.0","","86.6","","","",,"",,""
"1953-07","1953","07","","","","","","","","","","","64.0","","0.0","","64.0","","","",,"",,""
"1953-08","1953","08","","","","","","","","","","","50.5","","0.0","","50.5","","","",,"",,""
"1953-09","1953","09","","","","","","","","","","","127.3","","0.0","","127.3","","","",,"",,""
"1953-10","1953","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-11","1953","11","","","","","","","","","","","24.1","","25.7","","49.8","","","",,"",,""
"1953-12","1953","12","","","","","","","","","","","38.1","","32.5","","70.6","","","",,"",,""
"1954-01","1954","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1954-02","1954","02","","","","","","","","","","","14.5","","22.9","","37.3","","","",,"",,""
"1954-03","1954","03","","","","","","","","","","","44.2","","40.1","","84.3","","","",,"",,""
"1954-04","1954","04","","","","","","","","","","","81.8","","0.0","","81.8","","","",,"",,""
"1954-05","1954","05","","","","","","","","","","","74.4","","0.0","","74.4","","","",,"",,""
"1954-06","1954","06","","","","","","","","","","","181.4","","0.0","","181.4","","","",,"",,""
"1954-07","1954","07","","","","","","","","","","","59.9","","0.0","","59.9","","","",,"",,""
"1954-08","1954","08","","","","","","","","","","","119.9","","0.0","","119.9","","","",,"",,""
"1954-09","1954","09","","","","","","","","","","","164.3","","0.0","","164.3","","","",,"",,""
"1954-10","1954","10","","","","","","","","","","","49.3","","0.0","T","49.3","","","",,"",,""
"1954-11","1954","11","","","","","","","","","","","59.7","","0.0","T","59.7","","","",,"",,""
"1954-12","1954","12","","","","","","","","","","","0.0","","82.0","","82.0","","","",,"",,""
"1955-01","1955","01","","","","","","","","","","","0.0","","31.8","","31.8","","","",,"",,""
"1955-02","1955","02","","","","","","","","","","","0.0","","29.2","","29.2","","","",,"",,""
"1955-03","1955","03","","","","","","","","","","","56.9","","24.1","","81.0","","","",,"",,""
"1955-04","1955","04","","","","","","","","","","","64.5","","0.0","","64.5","","","",,"",,""
"1955-05","1955","05","","","","","","","","","","","16.8","","0.0","","16.8","","","",,"",,""
"1955-06","1955","06","","","","","","","","","","","46.2","","0.0","","46.2","","","",,"",,""
"1955-07","1955","07","","","","","","","","","","","89.2","","0.0","","89.2","","","",,"",,""
"1955-08","1955","08","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1955-09","1955","09","","","","","","","","","","","23.9","","0.0","","23.9","","","",,"",,""
"1955-10","1955","10","","","","","","","","","","","224.3","","1.3","","225.6","","","",,"",,""
"1955-11","1955","11","","","","","","","","","","","25.7","","7.6","","33.3","","","",,"",,""
"1955-12","1955","12","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1956-01","1956","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","5.1","","57.9","","63.0","","0","",,"",,""
"1956-03","1956","03","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1956-04","1956","04","","","","","","","","","","","57.9","","8.9","","66.8","","","M",,"",,""
"1956-05","1956","05","","","","","","","","","","","87.1","","0.0","","87.1","","0","",,"",,""
"1956-06","1956","06","","","","","","","","","","","54.4","","0.0","","54.4","","0","",,"",,""
"1956-07","1956","07","","","","","","","","","","","129.3","","0.0","","129.3","","0","",,"",,""
"1956-08","1956","08","","","","","","","","","","","141.5","","0.0","","141.5","","0","",,"",,""
"1956-09","1956","09","","","","","","","","","","","54.9","","0.0","","54.9","","0","",,"",,""
"1956-10","1956","10","","","","","","","","","","","32.8","","0.0","","32.8","","0","",,"",,""
"1956-11","1956","11","","","","","","","","","","","46.2","","26.2","","72.4","","0","",,"",,""
"1956-12","1956","12","","","","","","","","","","","6.9","","30.5","","37.3","","0","",,"",,""
"1957-01","1957","01","","","","","","","","","","","4.1","","20.3","","24.4","","","M",,"",,""
"1957-02","1957","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1957-03","1957","03","","","","","","","","","","","8.9","","0.0","","8.9","","","M",,"",,""
"1957-04","1957","04","","","","","","","","","","","35.8","","0.0","","35.8","","","M",,"",,""
"1957-05","1957","05","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1957-06","1957","06","","","","","","","","","","","131.6","","0.0","","131.6","","0","",,"",,""
"1957-07","1957","07","","","","","","","","","","","100.6","","0.0","","100.6","","0","",,"",,""
"1957-08","1957","08","","","","","","","","","","","24.6","","0.0","","24.6","","0","",,"",,""
"1957-09","1957","09","","","","","","","","","","","157.7","","0.0","","157.7","","0","",,"",,""
"1957-10","1957","10","","","","","","","","","","","94.7","","0.0","","94.7","","","M",,"",,""
"1957-11","1957","11","","","","","","","","","","","51.8","","7.6","","59.4","","","M",,"",,""
"1957-12","1957","12","","","","","","","","","","","5.1","","37.8","","42.9","","","M",,"",,""
"1958-01","1958","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-02","1958","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-03","1958","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-04","1958","04","","","","","","","","","","","19.8","","5.6","","25.4","","","",,"",,""
"1958-05","1958","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-06","1958","06","","","","","","","","","","","95.8","","0.0","","95.8","","","",,"",,""
"1958-07","1958","07","","","","","","","","","","","74.9","","0.0","","74.9","","","",,"",,""
"1958-08","1958","08","","","","","","","","","","","119.4","","0.0","","119.4","","","",,"",,""
"1958-09","1958","09","","","","","","","","","","","90.9","","0.0","","90.9","","","",,"",,""
"1958-10","1958","10","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1958-11","1958","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1958-12","1958","12","","","","","","","","","","","0.0","","31.0","","31.0","","","",,"",,""
"1959-01","1959","01","","","","","","","","","","","0.0","","37.8","","37.8","","","",,"",,""
"1959-02","1959","02","","","","","","","","","","","0.0","","39.4","","39.4","","","",,"",,""
"1959-03","1959","03","","","","","","","","","","","0.0","","17.8","","17.8","","","",,"",,""
"1959-04","1959","04","","","","","","","","","","","53.3","","0.8","","54.1","","","",,"",,""
"1959-05","1959","05","","","","","","","","","","","55.9","","0.0","","55.9","","","",,"",,""
"1959-06","1959","06","","","","","","","","","","","21.6","","0.0","","21.6","","","",,"",,""
"1959-07","1959","07","","","","","","","","","","","68.8","","0.0","","68.8","","","",,"",,""
"1959-08","1959","08","","","","","","","","","","","144.5","","0.0","","144.5","","","",,"",,""
"1959-09","1959","09","","","","","","","","","","","90.4","","0.0","","90.4","","","",,"",,""
"1959-10","1959","10","","","","","","","","","","","98.8","","6.4","","105.2","","","",,"",,""
"1959-11","1959","11","","","","","","","","","","","64.0","","","M","","M","","",,"",,""
"1959-12","1959","12","","","","","","","","","","","20.6","","65.3","","85.9","","","",,"",,""
"1960-01","1960","01","","","","","","","","","","","0.0","","41.4","","41.4","","","",,"",,""
"1960-02","1960","02","","","","","","","","","","","34.8","","64.8","","99.6","","","",,"",,""
"1960-03","1960","03","","","","","","","","","","","7.1","","5.1","","12.2","","","",,"",,""
"1960-04","1960","04","","","","","","","","","","","52.3","","0.0","","52.3","","","",,"",,""
"1960-05","1960","05","","","","","","","","","","","75.9","","0.0","","75.9","","","",,"",,""
"1960-06","1960","06","","","","","","","","","","","86.1","","0.0","","86.1","","","",,"",,""
"1960-07","1960","07","","","","","","","","","","","96.3","","0.0","","96.3","","","",,"",,""
"1960-08","1960","08","","","","","","","","","","","18.5","","0.0","","18.5","","","",,"",,""
"1960-09","1960","09","","","","","","","","","","","46.5","","0.0","","46.5","","","",,"",,""
