"Station Name","SHEEP RIVER 2"
"Province","ALBERTA"
"Latitude","50.65"
"Longitude","-114.62"
"Elevation","1524.00"
"Climate Identifier","3055H8C"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-06","1998","06","","","","","","","","","","","176.7","E","6.5","E","183.2","E","0","",,"",,""
"1998-07","1998","07","","","","","","","","","","","42.1","E","0.0","","42.1","E","0","",,"",,""
"1998-08","1998","08","","","","","","","","","","","36.8","E","0.0","","36.8","E","0","",,"",,""
"1998-09","1998","09","","","","","","","","","","","23.7","","0.0","","23.7","","0","E",,"",,""
"1998-10","1998","10","","","","","","","","","","","3.3","","27.9","E","31.2","E","","",,"",,""
"1998-11","1998","11","","","","","","","","","","","6.1","E","10.8","","16.9","E","","",,"",,""
"1998-12","1998","12","","","","","","","","","","","0.0","","21.9","","21.9","","","",,"",,""
"1999-01","1999","01","","","","","","","","","","","","","","","","","","",,"",,""
"1999-02","1999","02","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1999-03","1999","03","","","","","","","","","","","0.0","","10.1","E","10.1","E","","",,"",,""
"1999-04","1999","04","","","","","","","","","","","0.0","","91.1","","91.1","","","",,"",,""
"1999-05","1999","05","","","","","","","","","","","21.3","","21.6","","42.9","","","",,"",,""
"1999-06","1999","06","","","","","","","","","","","100.8","","0.0","","100.8","","0","",,"",,""
"1999-07","1999","07","","","","","","","","","","","116.9","","0.0","","116.9","","","",,"",,""
"1999-08","1999","08","","","","","","","","","","","59.0","E","0.0","","59.0","E","","",,"",,""
"1999-09","1999","09","","","","","","","","","","","37.6","E","7.6","E","45.2","E","","",,"",,""
"1999-10","1999","10","","","","","","","","","","","0.0","","21.1","E","21.1","E","","",,"",,""
"1999-11","1999","11","","","","","","","","","","","0.0","","33.5","E","33.5","E","","",,"",,""
