"Station Name","SNELGROVE"
"Province","ONTARIO"
"Latitude","43.75"
"Longitude","-79.83"
"Elevation","251.50"
"Climate Identifier","6157859"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1950-01","1950","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-02","1950","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-03","1950","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-04","1950","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-05","1950","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-06","1950","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-07","1950","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-08","1950","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-09","1950","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-10","1950","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-11","1950","11","","","","","","","","","","","30.5","","69.9","","100.3","","28","",,"",,""
"1950-12","1950","12","","","","","","","","","","","37.8","","0.5","","38.4","","0","",,"",,""
"1951-01","1951","01","","","","","","","","","","","34.5","","27.9","","62.5","","10","",,"",,""
"1951-02","1951","02","","","","","","","","","","","26.4","","10.7","","37.1","","","M",,"",,""
"1951-03","1951","03","","","","","","","","","","","56.6","","44.7","","101.3","","0","",,"",,""
"1951-04","1951","04","","","","","","","","","","","114.3","","0.0","T","114.3","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","43.7","","0.0","","43.7","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","106.7","","0.0","","106.7","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","93.5","","0.0","","93.5","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","41.1","","0.0","","41.1","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","40.1","","0.0","","40.1","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","81.3","","0.0","","81.3","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","14.2","","33.0","","47.2","","","M",,"",,""
"1951-12","1951","12","","","","","","","","","","","15.2","","55.9","","71.1","","41","",,"",,""
"1952-01","1952","01","","","","","","","","","","","5.8","","47.5","","53.3","","20","",,"",,""
"1952-02","1952","02","","","","","","","","","","","16.5","","21.6","","38.1","","","M",,"",,""
"1952-03","1952","03","","","","","","","","","","","61.2","","12.7","","73.9","","","M",,"",,""
"1952-04","1952","04","","","","","","","","","","","66.0","","0.0","","66.0","","","M",,"",,""
"1952-05","1952","05","","","","","","","","","","","67.1","","0.0","","67.1","","","M",,"",,""
"1952-06","1952","06","","","","","","","","","","","20.6","","0.0","","20.6","","","M",,"",,""
"1952-07","1952","07","","","","","","","","","","","73.4","","0.0","","73.4","","","M",,"",,""
"1952-08","1952","08","","","","","","","","","","","80.5","","0.0","","80.5","","","M",,"",,""
"1952-09","1952","09","","","","","","","","","","","43.7","","0.0","","43.7","","","M",,"",,""
"1952-10","1952","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1952-11","1952","11","","","","","","","","","","","91.4","","0.0","","91.4","","0","",,"",,""
"1952-12","1952","12","","","","","","","","","","","29.7","","15.2","","45.0","","","M",,"",,""
"1953-01","1953","01","","","","","","","","","","","19.8","","12.7","","32.5","","","",,"",,""
"1953-02","1953","02","","","","","","","","","","","3.8","","44.5","","48.3","","","",,"",,""
"1953-03","1953","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1953-04","1953","04","","","","","","","","","","","61.5","","0.5","","62.0","","","",,"",,""
"1953-05","1953","05","","","","","","","","","","","153.4","","0.0","","153.4","","","",,"",,""
"1953-06","1953","06","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1953-07","1953","07","","","","","","","","","","","64.3","","0.0","","64.3","","","",,"",,""
"1953-08","1953","08","","","","","","","","","","","83.1","","0.0","","83.1","","","",,"",,""
"1953-09","1953","09","","","","","","","","","","","81.5","","0.0","","81.5","","","",,"",,""
"1953-10","1953","10","","","","","","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1953-11","1953","11","","","","","","","","","","","21.3","","15.2","","36.6","","","",,"",,""
"1953-12","1953","12","","","","","","","","","","","31.0","","20.3","","51.3","","","",,"",,""
"1954-01","1954","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1954-02","1954","02","","","","","","","","","","","18.5","","39.4","","57.9","","","",,"",,""
"1954-03","1954","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1954-04","1954","04","","","","","","","","","","","110.5","","0.0","","110.5","","","",,"",,""
"1954-05","1954","05","","","","","","","","","","","46.5","","0.0","","46.5","","","",,"",,""
"1954-06","1954","06","","","","","","","","","","","116.8","","0.0","","116.8","","","",,"",,""
"1954-07","1954","07","","","","","","","","","","","22.4","","0.0","","22.4","","","",,"",,""
"1954-08","1954","08","","","","","","","","","","","70.4","","0.0","","70.4","","","",,"",,""
"1954-09","1954","09","","","","","","","","","","","47.0","","0.0","","47.0","","","",,"",,""
"1954-10","1954","10","","","","","","","","","","","270.3","","0.0","","270.3","","","",,"",,""
"1954-11","1954","11","","","","","","","","","","","35.3","","2.5","","37.8","","","",,"",,""
"1954-12","1954","12","","","","","","","","","","","57.7","","20.8","","78.5","","","",,"",,""
"1955-01","1955","01","","","","","","","","","","","16.5","","20.8","","37.3","","","",,"",,""
"1955-02","1955","02","","","","","","","","","","","9.7","","29.2","","38.9","","","",,"",,""
"1955-03","1955","03","","","","","","","","","","","20.8","","38.6","","59.4","","","",,"",,""
"1955-04","1955","04","","","","","","","","","","","72.4","","1.0","","73.4","","","",,"",,""
"1955-05","1955","05","","","","","","","","","","","92.5","","0.0","","92.5","","","",,"",,""
"1955-06","1955","06","","","","","","","","","","","37.6","","0.0","","37.6","","","",,"",,""
"1955-07","1955","07","","","","","","","","","","","15.7","","0.0","","15.7","","","",,"",,""
"1955-08","1955","08","","","","","","","","","","","111.0","","0.0","","111.0","","","",,"",,""
"1955-09","1955","09","","","","","","","","","","","38.4","","0.0","","38.4","","","",,"",,""
"1955-10","1955","10","","","","","","","","","","","114.3","","0.0","","114.3","","","",,"",,""
"1955-11","1955","11","","","","","","","","","","","54.9","","10.7","","65.5","","","",,"",,""
"1955-12","1955","12","","","","","","","","","","","9.7","","46.2","","55.9","","","",,"",,""
"1956-01","1956","01","","","","","","","","","","","3.8","","38.6","","42.4","","","M",,"",,""
"1956-02","1956","02","","","","","","","","","","","9.1","","40.1","","49.3","","0","",,"",,""
"1956-03","1956","03","","","","","","","","","","","43.9","","26.2","","70.1","","0","",,"",,""
"1956-04","1956","04","","","","","","","","","","","65.0","","9.4","","74.4","","0","",,"",,""
