"Station Name","SOLANDER ISLAND (AUT)"
"Province","BRITISH COLUMBIA"
"Latitude","50.11"
"Longitude","-127.94"
"Elevation","94.20"
"Climate Identifier","1037553"
"WMO Identifier","71479"
"TC Identifier","WRU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-02","2007","02","7.4","E","4.3","E","5.9","E","13.7","E","-1.9","E","","","","","18.0","I","","",,"",,""
