"Station Name","SOUTH DURHAM"
"Province","QUEBEC"
"Latitude","45.63"
"Longitude","-72.35"
"Elevation","190.50"
"Climate Identifier","7028211"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1968-01","1968","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-05","1968","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1968-06","1968","06","19.6","","10.2","","14.9","","25.6","","","M","96.0","","0.0","","96.0","","0","",,"",,""
"1968-07","1968","07","24.8","","13.8","","19.3","","31.1","S","6.7","","168.1","","0.0","","168.1","","0","",,"",,""
"1968-08","1968","08","21.1","","10.8","","16.0","","27.2","","4.4","","56.4","","0.0","","56.4","","0","",,"",,""
"1968-09","1968","09","20.6","","10.0","","15.3","","26.7","S","2.8","S","96.8","","0.0","","96.8","","0","",,"",,""
"1968-10","1968","10","13.9","","5.3","","9.6","","25.6","","-1.7","S","74.7","","0.0","","74.7","","0","",,"",,""
"1968-11","1968","11","1.8","","-4.4","","-1.3","","8.3","S","-11.7","","75.7","","26.7","","102.4","","0","",,"",,""
"1968-12","1968","12","-5.7","","-12.7","","-9.2","","7.2","","-31.7","","16.0","","137.2","","153.2","","33","",,"",,""
"1969-01","1969","01","-4.3","","-13.2","","-8.8","","9.4","","-25.0","","24.9","","79.0","","103.9","","58","",,"",,""
"1969-02","1969","02","-3.7","","-10.9","","-7.3","","3.9","","-20.6","","0.3","","64.5","","64.8","","84","",,"",,""
"1969-03","1969","03","-0.6","","-8.3","","-4.5","","11.7","","-22.2","","40.4","","42.9","","83.3","","38","",,"",,""
"1969-04","1969","04","8.0","","-1.3","","3.4","","21.1","","-13.9","","57.7","","9.7","","67.3","","0","",,"",,""
"1969-05","1969","05","15.6","","4.2","","9.9","","26.7","","-2.2","S","72.4","","0.0","","72.4","","0","",,"",,""
"1969-06","1969","06","21.7","","11.4","","16.6","","31.1","","3.9","S","198.4","","0.0","","198.4","","0","",,"",,""
"1969-07","1969","07","24.1","","13.7","","18.9","","30.0","","5.6","","120.1","","0.0","","120.1","","0","",,"",,""
"1969-08","1969","08","23.9","","14.2","","19.1","","28.9","S","4.4","","83.3","","0.0","","83.3","","0","",,"",,""
"1969-09","1969","09","17.9","","8.1","","13.0","","26.1","","-1.7","","127.0","","0.0","","127.0","","0","",,"",,""
"1969-10","1969","10","11.8","","2.3","","7.1","","23.3","","-8.3","","70.4","","5.1","","75.4","","0","",,"",,""
"1969-11","1969","11","5.2","","-1.7","","1.8","","14.4","S","-18.9","","117.6","","31.5","","149.1","","18","",,"",,""
"1969-12","1969","12","-4.7","","-11.7","","-8.2","","10.0","","-28.3","","28.2","","69.3","","97.5","","51","",,"",,""
