"Station Name","SOUTH MOUNTAIN"
"Province","NOVA SCOTIA"
"Latitude","45.02"
"Longitude","-64.68"
"Elevation","134.70"
"Climate Identifier","8205185"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1994-12","1994","12","2.5","","-6.0","","-1.7","","12.0","S","-16.0","","94.3","","73.5","","167.8","","12","",,"",,""
"1995-01","1995","01","1.1","","-6.2","","-2.5","","16.0","S","-21.5","","84.0","","49.1","","133.1","","5","",,"",,""
"1995-02","1995","02","-1.3","","-11.8","","-6.6","","9.5","","-22.0","","70.8","","36.5","","107.3","","5","",,"",,""
"1995-03","1995","03","3.0","","-4.5","","-0.8","","14.0","S","-17.5","","5.2","","16.0","","21.2","","0","",,"",,""
"1995-04","1995","04","8.0","","-1.3","","3.4","","16.5","","-13.5","S","36.4","","13.6","","50.0","","7","",,"",,""
"1995-05","1995","05","15.5","","4.4","","10.0","","22.5","S","-2.0","","41.2","","3.5","","44.7","","0","",,"",,""
"1995-06","1995","06","22.4","E","10.9","E","16.5","E","30.0","E","6.0","B","112.6","","0.0","","112.6","","0","",,"",,""
"1995-07","1995","07","25.3","","15.2","","20.2","","28.5","S","10.0","","97.8","","0.0","","97.8","","0","",,"",,""
"1995-08","1995","08","23.9","","12.9","","18.4","","33.0","","6.0","","63.0","","0.0","","63.0","","0","",,"",,""
"1995-09","1995","09","18.6","","7.9","E","13.3","E","26.0","","-1.5","E","66.2","","0.0","","66.2","","0","",,"",,""
"1995-10","1995","10","15.7","","7.4","","11.5","","26.0","","-1.5","","106.2","","0.0","T","106.2","","0","",,"",,""
"1995-11","1995","11","7.1","","-0.9","","3.1","","17.0","","-8.5","","170.8","","2.4","","173.2","","3","",,"",,""
"1995-12","1995","12","-0.8","","-7.8","","-4.3","","8.0","","-18.5","","13.8","","104.0","","117.8","","43","",,"",,""
"1996-01","1996","01","-1.1","","-11.0","","-6.1","","14.0","","-22.0","","68.8","","28.3","E","97.1","E","0","T",,"",,""
"1996-02","1996","02","-0.4","E","-8.2","E","-4.3","E","10.0","","-25.0","","85.8","","36.5","","122.3","","0","",,"",,""
"1996-03","1996","03","2.8","","-5.8","","-1.5","","12.0","","-14.0","","36.4","","56.7","","93.1","","0","",,"",,""
"1996-04","1996","04","9.5","","0.5","","5.0","","22.5","","-5.5","","95.6","E","32.0","","127.6","E","0","",,"",,""
"1996-05","1996","05","14.2","","4.3","","9.3","","22.0","","-4.0","","128.0","","0.0","T","128.0","","0","",,"",,""
"1996-06","1996","06","22.5","","9.8","","16.1","","30.0","","0.5","","42.0","","0.0","","42.0","","0","",,"",,""
