"Station Name","SOUTHWEST HEAD"
"Province","NEW BRUNSWICK"
"Latitude","44.60"
"Longitude","-66.90"
"Elevation","48.80"
"Climate Identifier","8105065"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-06","1973","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-07","1973","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","15.6","","10.1","","12.9","","23.9","","6.1","S","63.2","","0.0","","63.2","","0","",,"",,""
"1973-10","1973","10","12.1","","7.6","","9.9","","16.1","","1.1","","61.5","","0.0","","61.5","","0","",,"",,""
"1973-11","1973","11","6.8","","1.5","","4.2","","12.2","S","-3.3","","62.5","","0.0","","62.5","","0","",,"",,""
"1973-12","1973","12","6.1","","-1.6","","2.3","","13.9","","-12.2","S","177.5","","8.1","","185.7","","0","T",,"",,""
"1974-01","1974","01","0.1","","-7.7","","-3.8","","8.9","","-21.7","","59.4","","21.8","","81.3","","","M",,"",,""
"1974-02","1974","02","-1.1","","-8.2","","-4.7","","8.9","","-15.6","S","56.6","","55.9","","112.5","","","M",,"",,""
"1974-03","1974","03","2.8","","-3.9","","-0.6","","10.0","","-13.3","S","77.7","","3.6","","81.3","","","M",,"",,""
"1974-04","1974","04","6.8","","1.4","","4.1","","14.4","","-2.8","S","78.2","","36.1","","114.3","","","M",,"",,""
"1974-05","1974","05","9.6","","4.3","","7.0","","14.4","","-2.2","","107.7","","0.0","","107.7","","","M",,"",,""
"1974-06","1974","06","15.5","","8.6","","12.1","","20.6","","5.0","S","81.3","","0.0","","81.3","","0","",,"",,""
"1974-07","1974","07","16.8","","10.8","","13.8","","23.9","","8.9","","51.3","","0.0","","51.3","","0","",,"",,""
"1974-08","1974","08","18.6","","12.2","","15.4","","24.4","","5.6","","68.6","","0.0","","68.6","","0","",,"",,""
"1974-09","1974","09","15.2","","10.3","","12.8","","19.4","","5.0","S","145.5","","0.0","","145.5","","0","",,"",,""
"1974-10","1974","10","10.2","","4.8","","7.5","","15.0","","-1.1","S","60.5","","17.8","","78.2","","0","",,"",,""
"1974-11","1974","11","7.4","","2.3","","4.9","","13.9","","-11.7","","113.0","","3.8","","116.8","","","M",,"",,""
"1974-12","1974","12","3.8","","-1.9","","1.0","","12.2","S","-10.6","","107.2","","13.5","","120.7","","","M",,"",,""
"1975-01","1975","01","1.3","","-6.6","","-2.7","","9.4","","-17.8","S","75.9","","78.0","","153.9","","","M",,"",,""
"1975-02","1975","02","-1.2","","-7.1","","-4.2","","7.2","","-20.6","","29.0","","26.9","","55.9","","","M",,"",,""
"1975-03","1975","03","2.3","","-3.5","","-0.6","","8.3","","-13.3","","82.0","","55.9","","137.9","","","M",,"",,""
"1975-04","1975","04","6.2","","0.7","","3.5","","11.1","S","-5.6","","40.9","","5.3","","46.2","","","M",,"",,""
"1975-05","1975","05","11.1","","5.6","","8.4","","17.8","","2.2","","88.1","","0.0","","88.1","","0","",,"",,""
"1975-06","1975","06","14.8","","8.6","","11.7","","25.6","","3.3","","67.8","","0.0","","67.8","","0","",,"",,""
"1975-07","1975","07","16.3","","10.3","","13.3","","25.0","","8.9","S","111.0","","0.0","","111.0","","0","",,"",,""
"1975-08","1975","08","18.7","","12.0","","15.4","","23.9","","9.4","","48.5","","0.0","","48.5","","0","",,"",,""
