"Station Name","SPOKIN LAKE 4E"
"Province","BRITISH COLUMBIA"
"Latitude","52.18"
"Longitude","-121.69"
"Elevation","1033.00"
"Climate Identifier","1097646"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1983-01","1983","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-02","1983","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-03","1983","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-04","1983","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-05","1983","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1983-06","1983","06","17.4","E","5.5","E","11.5","E","","M","","M","","M","0.0","","","M","0","",,"",,""
"1983-07","1983","07","19.7","","5.7","","12.7","","31.0","","0.0","","87.0","","0.0","","87.0","","0","",,"",,""
"1983-08","1983","08","22.1","","4.5","","13.3","","28.0","","-2.0","","13.6","","0.0","","13.6","","0","",,"",,""
"1983-09","1983","09","13.6","","0.8","","7.2","","22.5","","-9.0","S","51.6","","1.2","E","52.8","E","0","",,"",,""
"1983-10","1983","10","9.5","","-2.5","","3.5","","17.0","","-7.0","S","34.1","","0.4","","34.5","","0","",,"",,""
"1983-11","1983","11","2.6","","-3.5","","-0.5","","11.0","","-16.0","","5.8","","40.2","","46.0","","18","",,"",,""
"1983-12","1983","12","-10.0","","-20.3","","-15.2","","1.0","","-36.0","S","0.0","","40.6","","40.6","","39","",,"",,""
"1984-01","1984","01","-1.1","","-10.5","","-5.8","","8.0","","-31.0","","13.4","","33.8","","47.2","","46","",,"",,""
"1984-02","1984","02","3.7","","-6.1","","-1.2","","10.0","","-17.0","","0.6","","15.2","E","15.8","E","45","",,"",,""
"1984-03","1984","03","7.1","","-4.8","","1.2","","12.5","","-13.0","","25.1","E","14.5","E","39.6","E","11","",,"",,""
"1984-04","1984","04","8.6","","-2.6","","3.0","","21.5","","-8.0","","11.9","","16.0","","27.9","","0","",,"",,""
"1984-05","1984","05","11.9","","-0.3","","5.8","","19.5","","-5.0","","46.7","E","1.5","E","48.2","E","0","",,"",,""
"1984-06","1984","06","17.1","","3.9","","10.5","","23.5","S","-2.0","","96.6","","0.0","","96.6","","0","",,"",,""
"1984-07","1984","07","22.1","","4.4","","13.3","","31.5","","0.0","","27.2","","0.0","","27.2","","0","",,"",,""
"1984-08","1984","08","21.1","","4.6","","12.9","","28.0","","-4.0","","76.4","","0.0","","76.4","","0","",,"",,""
"1984-09","1984","09","13.1","","0.2","","6.7","","20.0","","-8.0","S","100.0","","0.0","T","100.0","","0","",,"",,""
"1984-10","1984","10","6.1","","-4.2","","1.0","","20.0","","-32.0","","21.1","E","14.0","E","35.1","E","9","",,"",,""
"1984-11","1984","11","-0.1","","-9.6","","-4.9","","5.0","","-23.5","","0.2","","74.2","","74.4","","39","",,"",,""
"1984-12","1984","12","-9.0","","-19.7","","-14.4","","2.5","","-45.0","","0.0","","88.4","E","88.4","E","72","",,"",,""
"1985-01","1985","01","-3.0","","-12.9","","-8.0","","3.0","","-25.5","","11.0","","11.8","","22.8","","65","",,"",,""
"1985-02","1985","02","-1.8","","-12.7","","-7.3","","8.0","","-31.0","","2.2","","69.8","","72.0","","87","",,"",,""
"1985-03","1985","03","4.2","","-10.0","","-2.9","","12.0","","-20.0","","0.0","","12.8","","12.8","","75","",,"",,""
"1985-04","1985","04","8.3","","-4.4","","2.0","","15.5","","-12.0","","2.8","","35.0","","37.8","","10","",,"",,""
"1985-05","1985","05","16.5","","1.0","","8.8","","27.0","","-6.0","","41.4","E","4.2","E","45.6","E","0","",,"",,""
