"Station Name","SPRUCE GROVE"
"Province","ALBERTA"
"Latitude","53.55"
"Longitude","-113.90"
"Elevation","693.40"
"Climate Identifier","3016083"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01","1990","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-02","1990","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-03","1990","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-04","1990","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-05","1990","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-06","1990","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-07","1990","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-08","1990","08","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1990-09","1990","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-10","1990","10","8.4","E","-3.2","E","2.6","E","17.5","","-10.0","","0.0","","14.3","E","14.3","E","0","",,"",,""
"1990-11","1990","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1990-12","1990","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-01","1991","01","-6.3","E","-16.0","E","-11.3","E","9.5","E","-35.5","E","0.0","T","8.4","","8.4","","23","",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-04","1991","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-05","1991","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-06","1991","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-07","1991","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-08","1991","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-09","1991","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-10","1991","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
