"Station Name","SQUAMISH UPPER"
"Province","BRITISH COLUMBIA"
"Latitude","49.90"
"Longitude","-123.28"
"Elevation","46.00"
"Climate Identifier","1047672"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1979-01","1979","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-02","1979","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-03","1979","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-04","1979","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1979-05","1979","05","18.5","E","5.1","E","11.8","E","29.0","","0.3","E","","M","0.0","","","M","0","",,"",,""
"1979-06","1979","06","21.2","","7.8","","14.5","","28.5","","2.5","","79.5","","0.0","","79.5","","0","",,"",,""
"1979-07","1979","07","24.8","","10.6","","17.7","","34.5","","6.0","","57.1","","0.0","","57.1","","0","",,"",,""
"1979-08","1979","08","24.9","","11.0","","18.0","","29.5","","6.5","","51.5","","0.0","","51.5","","0","",,"",,""
"1979-09","1979","09","20.5","","9.3","","14.9","","29.5","","5.5","S","216.2","","0.0","","216.2","","0","",,"",,""
"1979-10","1979","10","14.8","","5.0","","9.9","","23.5","S","0.0","","206.6","","0.0","","206.6","","0","",,"",,""
"1979-11","1979","11","7.6","","-1.1","","3.3","","15.0","","-6.0","","126.9","","0.0","T","126.9","","0","",,"",,""
"1979-12","1979","12","2.8","","-0.4","","1.2","","7.5","","-4.0","","549.5","","67.4","","616.9","","14","",,"",,""
"1980-01","1980","01","0.8","","-6.8","","-3.0","","5.0","","-19.0","","58.0","","83.6","","141.6","","38","",,"",,""
"1980-02","1980","02","5.9","","-1.6","","2.2","","10.5","","-7.0","","290.0","","14.0","","304.0","","14","",,"",,""
"1980-03","1980","03","8.0","","-0.5","","3.8","","14.0","","-5.5","","133.0","","51.2","","184.2","","0","",,"",,""
"1980-04","1980","04","16.0","","3.4","","9.7","","24.5","","-2.0","","161.0","","0.0","","161.0","","0","",,"",,""
"1980-05","1980","05","18.0","","7.1","","12.6","","28.5","","1.0","","67.7","","0.0","","67.7","","0","",,"",,""
"1980-06","1980","06","19.1","","9.8","","14.5","","24.5","S","6.0","S","95.6","","0.0","","95.6","","0","",,"",,""
"1980-07","1980","07","23.5","","10.5","","17.0","","33.0","","7.5","S","51.7","","0.0","","51.7","","0","",,"",,""
"1980-08","1980","08","22.7","","10.5","","16.6","","32.0","S","6.0","S","37.3","","0.0","","37.3","","0","",,"",,""
"1980-09","1980","09","19.2","","8.8","","14.0","","26.5","","6.0","S","163.8","","0.0","","163.8","","0","",,"",,""
"1980-10","1980","10","15.7","","4.5","","10.1","","24.0","S","-1.0","","130.3","","0.0","","130.3","","0","",,"",,""
"1980-11","1980","11","6.8","","2.0","","4.4","","12.5","","-4.5","","440.3","","19.4","","459.7","","4","",,"",,""
"1980-12","1980","12","3.5","","-0.6","","1.5","","13.5","","-15.0","","451.9","","39.2","","491.1","","0","",,"",,""
"1981-01","1981","01","6.3","","1.0","","3.7","","11.0","","-3.5","","176.8","","0.0","T","176.8","","0","",,"",,""
