"Station Name","ST ALEXIS DE MATAPEDIA"
"Province","QUEBEC"
"Latitude","47.98"
"Longitude","-67.07"
"Elevation","274.00"
"Climate Identifier","7056814"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-06","1964","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-07","1964","07","","M","","M","","M","30.6","","3.3","","","M","0.0","","","M","0","",,"",,""
"1964-08","1964","08","19.0","","8.5","","13.8","","24.4","","2.2","","73.4","","0.0","","73.4","","0","",,"",,""
"1964-09","1964","09","14.9","","4.2","","9.6","","21.7","","-3.9","","25.9","","0.0","","25.9","","0","",,"",,""
"1964-10","1964","10","8.6","","-0.8","","3.9","","18.3","","-7.8","","95.0","","2.3","","97.3","","0","",,"",,""
"1964-11","1964","11","0.8","","-7.4","","-3.3","","8.3","","-18.9","","46.0","","21.6","","67.6","","10","",,"",,""
"1964-12","1964","12","-5.5","","-14.7","","-10.1","","11.7","","-28.3","","7.1","","71.1","","78.2","","13","",,"",,""
"1965-01","1965","01","-9.9","","-19.7","","-14.8","","-1.7","","-30.6","S","1.5","","27.9","","29.5","","20","",,"",,""
"1965-02","1965","02","-6.5","","-18.9","","-12.7","","2.8","","-29.4","","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","-0.4","","-10.6","","-5.5","","9.4","","-26.7","","0.0","T","27.9","E","27.9","E","","M",,"",,""
"1965-04","1965","04","5.7","","-4.1","","0.8","","13.3","","-11.1","","","M","","M","","M","0","",,"",,""
"1965-05","1965","05","12.8","","1.6","","7.2","","22.2","","-4.4","","79.0","","0.0","","79.0","","0","",,"",,""
"1965-06","1965","06","20.3","","8.1","","14.2","","28.9","S","2.2","S","49.3","","0.0","","49.3","","0","",,"",,""
