"Station Name","ST AMBROISE"
"Province","MANITOBA"
"Latitude","50.23"
"Longitude","-98.03"
"Elevation","251.50"
"Climate Identifier","5042546"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1970-01","1970","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-02","1970","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-03","1970","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-04","1970","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-05","1970","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-06","1970","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1970-07","1970","07","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1970-08","1970","08","24.7","","11.9","","18.3","","33.9","","3.9","","27.7","","0.0","","27.7","","0","",,"",,""
"1970-09","1970","09","17.8","E","6.8","E","12.3","E","","M","-2.8","S","64.5","","0.0","","64.5","","0","",,"",,""
"1970-10","1970","10","10.6","","0.6","","5.6","","20.0","","-5.0","","31.2","","0.0","T","31.2","","0","",,"",,""
"1970-11","1970","11","-1.2","E","-8.1","E","-4.7","E","11.7","","-26.1","","1.3","","15.2","E","16.5","E","3","",,"",,""
"1970-12","1970","12","-12.8","","-21.1","","-17.0","","-1.1","","-35.0","","0.0","","16.5","","16.5","","","M",,"",,""
"1971-01","1971","01","-16.9","","-25.9","","-21.4","","-1.7","","-37.2","","0.0","","15.7","","15.7","","","M",,"",,""
"1971-02","1971","02","-8.3","","-18.8","","-13.6","","4.4","","-32.8","","0.0","","3.3","","3.3","","","M",,"",,""
"1971-03","1971","03","-2.0","","-11.9","","-7.0","","5.0","S","-24.4","","0.0","T","25.7","","25.7","","","M",,"",,""
"1971-04","1971","04","8.0","","-3.2","","2.4","","20.0","","-21.1","","57.7","","26.9","","84.6","","","M",,"",,""
"1971-05","1971","05","17.7","","3.7","","10.7","","28.9","","-3.9","","15.5","","0.0","","15.5","","0","",,"",,""
"1971-06","1971","06","22.4","","11.7","","17.1","","30.0","","1.7","","102.4","","0.0","","102.4","","0","",,"",,""
"1971-07","1971","07","21.7","","11.4","","16.6","","30.0","","5.0","","93.7","","0.0","","93.7","","0","",,"",,""
"1971-08","1971","08","25.7","","12.4","","19.1","","34.4","","5.0","","11.2","","0.0","","11.2","","0","",,"",,""
"1971-09","1971","09","17.9","E","7.3","E","12.6","E","25.6","S","-2.2","","68.8","E","0.0","","68.8","E","0","",,"",,""
"1971-10","1971","10","11.0","","2.1","","6.6","","18.3","","-9.4","","66.5","","15.2","","81.8","","15","",,"",,""
"1971-11","1971","11","-1.9","E","-8.7","E","-5.3","E","5.6","","-27.2","","3.0","E","21.6","E","24.6","E","10","",,"",,""
"1971-12","1971","12","-9.8","","-20.8","","-15.3","","1.1","","-29.4","","0.0","","13.5","","13.5","","","M",,"",,""
"1972-01","1972","01","-16.1","","-26.7","","-21.4","","-1.1","S","-37.8","","0.0","","21.8","","21.8","","","M",,"",,""
"1972-02","1972","02","-14.1","","-23.8","","-19.0","","2.8","","-34.4","","0.0","","12.4","","12.4","","","M",,"",,""
"1972-03","1972","03","-3.7","","-12.9","","-8.3","","5.6","","-32.8","","9.9","","38.6","","48.5","","","M",,"",,""
"1972-04","1972","04","8.4","","-2.9","","2.8","","22.2","","-20.6","","19.1","","3.6","","22.6","","0","",,"",,""
"1972-05","1972","05","20.6","","6.9","","13.8","","32.2","","-3.3","","19.8","","1.5","","21.3","","0","",,"",,""
"1972-06","1972","06","23.9","","9.8","","16.9","","32.2","","-1.1","","56.4","","0.0","","56.4","","0","",,"",,""
"1972-07","1972","07","23.0","","10.3","","16.7","","30.6","","1.7","S","35.1","","0.0","","35.1","","0","",,"",,""
"1972-08","1972","08","24.9","","11.1","","18.0","","36.1","","3.3","","69.9","","0.0","","69.9","","0","",,"",,""
"1972-09","1972","09","15.2","","3.6","","9.4","","25.6","S","-5.0","","64.8","","0.0","T","64.8","","0","",,"",,""
"1972-10","1972","10","7.7","","-2.3","","2.7","","21.1","","-12.2","","3.0","","14.7","","17.8","","","M",,"",,""
"1972-11","1972","11","-2.7","","-9.1","","-5.9","","4.4","","-20.0","","0.0","","8.4","","8.4","","","M",,"",,""
"1972-12","1972","12","-14.6","","-24.4","","-19.5","","-1.7","","-33.3","","0.0","","24.1","","24.1","","","M",,"",,""
"1973-01","1973","01","-8.6","","-19.2","","-13.9","","6.7","","-38.9","","8.9","","1.5","","10.4","","","M",,"",,""
"1973-02","1973","02","-8.3","","-19.5","","-13.9","","2.2","S","-35.6","","0.0","","7.9","","7.9","","","M",,"",,""
"1973-03","1973","03","4.8","","-4.9","","-0.1","","18.9","","-13.3","","11.4","","4.1","","15.5","","0","",,"",,""
"1973-04","1973","04","7.6","","-4.1","","1.8","","21.7","","-11.7","","20.6","","1.0","","21.6","","0","",,"",,""
"1973-05","1973","05","17.7","","4.5","","11.1","","28.9","","-6.1","","51.8","","0.0","","51.8","","0","",,"",,""
"1973-06","1973","06","21.3","","10.2","","15.8","","31.1","","0.6","","108.0","E","0.0","","108.0","E","0","",,"",,""
"1973-07","1973","07","24.1","","12.4","","18.3","","29.4","","5.0","","28.4","","0.0","","28.4","","0","",,"",,""
"1973-08","1973","08","27.1","","12.3","","19.7","","","M","5.6","S","82.6","","0.0","","82.6","","0","",,"",,""
"1973-09","1973","09","18.4","","6.3","","12.4","","26.7","S","-6.7","","103.1","","0.0","","103.1","","0","",,"",,""
"1973-10","1973","10","12.8","","2.7","","7.8","","26.1","","-3.9","S","46.5","","0.5","","47.0","","0","",,"",,""
"1973-11","1973","11","-4.3","","-11.1","","-7.7","","3.3","","-20.6","","2.8","","51.8","","54.6","","","M",,"",,""
"1973-12","1973","12","-11.7","","-19.5","","-15.6","","0.6","S","-33.9","","0.5","","20.3","","20.8","","","M",,"",,""
"1974-01","1974","01","-17.6","","-27.3","","-22.5","","-3.9","","-41.1","","0.0","T","35.3","","35.3","","","M",,"",,""
"1974-02","1974","02","-10.5","","-24.2","","-17.4","","0.0","S","-41.1","","0.0","","18.8","","18.8","","","M",,"",,""
"1974-03","1974","03","-6.0","","-17.3","","-11.7","","4.4","","-33.9","","1.0","","19.6","","20.6","","","M",,"",,""
"1974-04","1974","04","6.5","","-3.2","","1.7","","23.9","","-20.6","","27.4","","19.3","","46.7","","0","",,"",,""
"1974-05","1974","05","11.9","","3.8","","7.9","","22.2","","-2.2","S","88.4","","0.0","","88.4","","0","",,"",,""
"1974-06","1974","06","23.2","","10.8","","17.0","","31.1","S","5.0","","24.4","","0.0","","24.4","","0","",,"",,""
"1974-07","1974","07","26.8","","14.8","","20.8","","33.9","","6.7","","59.2","","0.0","","59.2","","0","",,"",,""
"1974-08","1974","08","21.9","","11.0","","16.5","","31.7","","3.9","","48.3","","0.0","","48.3","","0","",,"",,""
