"Station Name","ST CAMILLE WOLFE"
"Province","QUEBEC"
"Latitude","45.67"
"Longitude","-71.73"
"Elevation","268.20"
"Climate Identifier","702FR30"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1975-01","1975","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-02","1975","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-03","1975","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-04","1975","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-05","1975","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-06","1975","06","22.8","","","M","","M","30.6","","-0.6","","","M","","M","","M","0","",,"",,""
"1975-07","1975","07","26.9","","14.6","","20.8","","30.6","","7.2","","127.3","","0.0","","127.3","","0","",,"",,""
"1975-08","1975","08","24.1","","11.1","","17.6","","33.9","","1.1","","123.4","","0.0","","123.4","","0","",,"",,""
"1975-09","1975","09","17.5","","7.5","","12.5","","23.9","","-1.1","","157.2","","0.0","","157.2","","0","",,"",,""
"1975-10","1975","10","12.9","","1.7","","7.3","","21.7","","-10.6","","103.9","","0.0","","103.9","","","M",,"",,""
"1975-11","1975","11","7.0","","-2.4","","2.3","","20.0","S","-12.8","","76.5","","7.1","","83.6","","0","",,"",,""
