"Station Name","ST CHARLES CREEK"
"Province","NORTHWEST TERRITORIES"
"Latitude","64.78"
"Longitude","-124.22"
"Elevation","341.00"
"Climate Identifier","2203656"
"WMO Identifier",""
"TC Identifier","WMV"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-08","1998","08","19.2","E","8.7","E","13.9","E","27.3","","3.5","E","9.1","E","0.0","","9.1","E","0","",,"",,""
"1998-09","1998","09","10.8","E","2.4","E","6.6","E","20.2","E","-6.4","","","","","","","","","",,"",,""
"1998-10","1998","10","0.0","E","-6.9","E","-3.5","E","11.2","","-17.6","E","","","","","","","","",,"",,""
"1998-11","1998","11","","","","","","","","","","","","","","","","","","",,"",,""
"1998-12","1998","12","-18.1","I","-25.4","I","-22.4","I","-5.3","I","-37.2","I","","","","","","","","",,"",,""
"1999-01","1999","01","-22.4","I","-28.6","I","-25.5","I","-6.5","I","-36.7","I","","","","","","","","",,"",,""
"1999-02","1999","02","-10.1","I","-17.2","I","-13.7","I","-4.9","I","-23.2","I","","","","","","","","",,"",,""
"1999-03","1999","03","-10.7","","-19.7","","-15.2","","4.1","","-29.7","","","","","","","","","",,"",,""
"1999-04","1999","04","-2.9","I","-14.9","I","-8.9","I","3.9","I","-20.0","I","","","","","","","","",,"",,""
"1999-05","1999","05","","","","","","","","","","","","","","","","","","",,"",,""
"1999-06","1999","06","18.9","","7.2","","13.1","","32.0","","-1.5","","3.2","","0.0","","3.2","","0","",,"",,""
"1999-07","1999","07","17.5","","7.2","","12.4","","29.5","","2.7","","30.3","","0.0","","30.3","","0","",,"",,""
"1999-08","1999","08","18.7","","8.1","","13.4","","28.3","","1.8","","23.2","E","0.0","","23.2","E","","",,"",,""
"1999-09","1999","09","11.2","","1.5","","6.4","","21.2","","-9.2","","18.4","","0.0","","18.4","","","",,"",,""
"1999-10","1999","10","-3.0","","-9.8","","-6.5","","1.4","","-16.2","","","","","","","","","",,"",,""
"1999-11","1999","11","-13.2","","-20.6","","-17.0","","6.7","","-30.0","","0.0","T","6.0","E","6.0","","","",,"",,""
"1999-12","1999","12","-18.8","","-26.5","","-22.7","","11.1","","-37.8","","","","","","","","","",,"",,""
"2000-01","2000","01","-16.6","","-24.7","","-20.7","","5.0","","-39.0","","","","","","","","","",,"",,""
"2000-02","2000","02","-11.7","","-22.8","","-17.3","","6.8","","-32.6","","","","","","","","","",,"",,""
"2000-03","2000","03","-10.6","","-22.2","","-16.4","","10.9","","-35.0","","","","","","","","","",,"",,""
"2000-04","2000","04","-1.1","","-13.9","","-7.6","","13.6","","-29.5","","9.6","","7.0","E","16.6","","","",,"",,""
"2000-05","2000","05","10.6","","-1.2","","4.8","","19.5","","-11.0","","6.7","","0.0","","6.7","","0","",,"",,""
"2000-06","2000","06","18.7","","8.1","","13.4","","28.8","","-1.4","","","","","","","","0","",,"",,""
"2000-07","2000","07","21.8","","9.4","","15.7","","29.2","","3.9","","2.3","","0.0","","2.3","","0","",,"",,""
"2000-08","2000","08","14.2","","5.1","","9.7","","26.4","","-2.8","","4.0","","0.0","","4.0","","0","",,"",,""
"2000-09","2000","09","8.3","","0.2","","4.3","","17.0","","-6.9","","7.1","","4.0","E","11.1","","","M",,"",,""
"2000-10","2000","10","-1.4","","-9.4","","-5.5","","11.4","","-18.9","","","","","","","","","",,"",,""
"2000-11","2000","11","-10.3","I","-17.1","I","-13.7","I","-2.1","I","-29.1","I","","","","","","","","",,"",,""
"2000-12","2000","12","","","","","","","","","","","","","","","","","","",,"",,""
"2001-01","2001","01","","","","","","","","","","","","","","","","","","",,"",,""
"2001-02","2001","02","","","","","","","","","","","","","","","","","","",,"",,""
"2001-03","2001","03","","","","","","","","","","","","","","","","","","",,"",,""
"2001-04","2001","04","","","","","","","","","","","","","","","","","","",,"",,""
"2001-05","2001","05","","","","","","","","","","","","","","","","","","",,"",,""
"2001-06","2001","06","","","","","","","","","","","","","","","","","","",,"",,""
"2001-07","2001","07","21.8","","10.4","","16.1","","33.7","","3.5","","21.5","","0.0","","21.5","","0","",,"",,""
"2001-08","2001","08","18.1","","7.6","","12.9","","30.4","","1.5","","25.2","","0.0","","25.2","","0","",,"",,""
"2001-09","2001","09","12.6","","3.3","","8.0","","20.0","","-4.2","","47.7","","0.0","","47.7","","0","",,"",,""
