"Station Name","ST DONATUS"
"Province","SASKATCHEWAN"
"Latitude","51.98"
"Longitude","-109.90"
"Elevation","745.00"
"Climate Identifier","4047050"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","132.8","","0.0","","132.8","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","26.9","","0.0","","26.9","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","70.1","","0.0","","70.1","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","9.4","","0.0","","9.4","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","4.8","","0.5","","5.3","","0","T",,"",,""
"1973-11","1973","11","","","","","","","","","","","10.7","","8.9","","19.6","","5","",,"",,""
"1973-12","1973","12","","","","","","","","","","","0.0","","11.9","","11.9","","","M",,"",,""
"1974-01","1974","01","","","","","","","","","","","0.0","","21.1","","21.1","","30","",,"",,""
"1974-02","1974","02","","","","","","","","","","","0.0","T","5.8","","5.8","","33","",,"",,""
"1974-03","1974","03","","","","","","","","","","","0.0","","24.4","E","24.4","E","43","",,"",,""
"1974-04","1974","04","","","","","","","","","","","7.9","","2.5","","10.4","","0","",,"",,""
"1974-05","1974","05","","","","","","","","","","","50.5","","0.0","T","50.5","","0","",,"",,""
"1974-06","1974","06","","","","","","","","","","","68.6","","0.0","","68.6","","0","",,"",,""
"1974-07","1974","07","","","","","","","","","","","47.5","","0.0","","47.5","","0","",,"",,""
"1974-08","1974","08","","","","","","","","","","","49.0","","0.0","","49.0","","0","",,"",,""
"1974-09","1974","09","","","","","","","","","","","11.2","","1.3","","12.4","","0","T",,"",,""
"1974-10","1974","10","","","","","","","","","","","2.0","","2.5","","4.6","","0","",,"",,""
"1974-11","1974","11","","","","","","","","","","","0.0","","6.6","","6.6","","0","",,"",,""
"1974-12","1974","12","","","","","","","","","","","0.0","","9.9","","9.9","","8","",,"",,""
"1975-01","1975","01","","","","","","","","","","","0.0","T","8.4","","8.4","","13","",,"",,""
"1975-02","1975","02","","","","","","","","","","","0.0","","8.9","","8.9","","18","",,"",,""
"1975-03","1975","03","","","","","","","","","","","0.0","T","11.9","","11.9","","20","",,"",,""
"1975-04","1975","04","","","","","","","","","","","24.4","","19.1","","43.4","","","M",,"",,""
"1975-05","1975","05","","","","","","","","","","","70.9","","0.0","","70.9","","0","",,"",,""
"1975-06","1975","06","","","","","","","","","","","80.5","","0.0","","80.5","","0","",,"",,""
"1975-07","1975","07","","","","","","","","","","","43.7","","0.0","","43.7","","0","",,"",,""
