"Station Name","ST GEORGE P AND P CO"
"Province","NEW BRUNSWICK"
"Latitude","45.13"
"Longitude","-66.82"
"Elevation","22.90"
"Climate Identifier","8104705"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1958-01","1958","01","","","","","","","","","","","292.1","","15.2","","307.3","","5","",,"",,""
"1958-02","1958","02","","","","","","","","","","","64.3","","48.3","","112.5","","15","",,"",,""
"1958-03","1958","03","","","","","","","","","","","10.2","","30.5","","40.6","","0","",,"",,""
"1958-04","1958","04","","","","","","","","","","","126.5","","12.7","","139.2","","0","",,"",,""
"1958-05","1958","05","","","","","","","","","","","123.4","","0.0","","123.4","","","M",,"",,""
"1958-06","1958","06","","","","","","","","","","","89.2","","0.0","","89.2","","","M",,"",,""
"1958-07","1958","07","","","","","","","","","","","177.0","","0.0","","177.0","","","M",,"",,""
"1958-08","1958","08","","","","","","","","","","","79.8","","0.0","","79.8","","","M",,"",,""
"1958-09","1958","09","","","","","","","","","","","64.8","","0.0","","64.8","","","M",,"",,""
"1958-10","1958","10","","","","","","","","","","","126.5","","0.0","","126.5","","","M",,"",,""
"1958-11","1958","11","","","","","","","","","","","129.3","","0.0","T","129.3","","","M",,"",,""
"1958-12","1958","12","","","","","","","","","","","42.2","","38.1","","80.3","","3","",,"",,""
"1959-01","1959","01","","","","","","","","","","","97.5","","55.9","","153.4","","0","",,"",,""
"1959-02","1959","02","","","","","","","","","","","99.3","","54.6","","153.9","","20","",,"",,""
"1959-03","1959","03","","","","","","","","","","","89.2","","48.3","","137.4","","","M",,"",,""
"1959-04","1959","04","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1959-05","1959","05","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1959-06","1959","06","","","","","","","","","","","231.1","","0.0","","231.1","","","M",,"",,""
"1959-07","1959","07","","","","","","","","","","","87.1","","0.0","","87.1","","","M",,"",,""
"1959-08","1959","08","","","","","","","","","","","108.2","","0.0","","108.2","","","M",,"",,""
"1959-09","1959","09","","","","","","","","","","","75.9","","0.0","","75.9","","","M",,"",,""
"1959-10","1959","10","","","","","","","","","","","149.9","","0.0","","149.9","","","M",,"",,""
"1959-11","1959","11","","","","","","","","","","","180.3","","0.0","T","180.3","","","M",,"",,""
"1959-12","1959","12","","","","","","","","","","","116.1","","30.5","","146.6","","20","",,"",,""
"1960-01","1960","01","","","","","","","","","","","","M","","M","","M","30","",,"",,""
"1960-02","1960","02","","","","","","","","","","","165.4","","22.9","","188.2","","28","",,"",,""
"1960-03","1960","03","","","","","","","","","","","37.3","","27.9","","65.3","","5","",,"",,""
"1960-04","1960","04","","","","","","","","","","","112.5","","0.0","T","112.5","","0","",,"",,""
"1960-05","1960","05","","","","","","","","","","","143.5","","0.0","","143.5","","","M",,"",,""
"1960-06","1960","06","","","","","","","","","","","77.7","","0.0","","77.7","","","M",,"",,""
"1960-07","1960","07","","","","","","","","","","","111.3","","0.0","","111.3","","","M",,"",,""
"1960-08","1960","08","","","","","","","","","","","11.7","","0.0","","11.7","","","M",,"",,""
"1960-09","1960","09","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1960-10","1960","10","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1960-11","1960","11","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1960-12","1960","12","","","","","","","","","","","70.6","","","M","","M","","M",,"",,""
"1961-01","1961","01","","","","","","","","","","","32.0","","","M","","M","","M",,"",,""
"1961-02","1961","02","","","","","","","","","","","68.3","","","M","","M","","M",,"",,""
"1961-03","1961","03","","","","","","","","","","","9.1","","64.3","","73.4","","","M",,"",,""
"1961-04","1961","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-05","1961","05","","","","","","","","","","","177.3","","0.0","T","177.3","","","M",,"",,""
"1961-06","1961","06","","","","","","","","","","","111.8","","0.0","","111.8","","","M",,"",,""
"1961-07","1961","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1961-08","1961","08","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-09","1961","09","","","","","","","","","","","","M","0.0","","","M","","M",,"",,""
"1961-10","1961","10","","","","","","","","","","","","M","0.0","T","","M","0","",,"",,""
"1961-11","1961","11","","","","","","","","","","","129.8","","2.5","","132.3","","","M",,"",,""
"1961-12","1961","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","","","","","","","","","","","M","","M","","M","36","",,"",,""
"1962-03","1962","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1962-06","1962","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","140.5","","0.0","","140.5","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","91.7","","0.0","","91.7","","0","",,"",,""
