"Station Name","ST JOACHIM"
"Province","ONTARIO"
"Latitude","42.17"
"Longitude","-82.63"
"Elevation","178.00"
"Climate Identifier","6137323"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1951-01","1951","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","56.6","","0.0","","56.6","","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","51.6","","0.0","","51.6","","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","49.5","","0.0","","49.5","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","39.9","","67.3","","107.2","","","",,"",,""
"1952-01","1952","01","","","","","","","","","","","30.2","","16.5","","46.7","","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","15.5","","9.9","","25.4","","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","74.2","","0.0","","74.2","","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","66.8","","0.0","","66.8","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","64.5","","0.0","","64.5","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","38.9","","0.0","","38.9","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","24.1","","0.0","","24.1","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","29.2","","8.9","","38.1","","","",,"",,""
