"Station Name","ST LAURENT (COLLEGE)"
"Province","QUEBEC"
"Latitude","45.52"
"Longitude","-73.67"
"Elevation","38.10"
"Climate Identifier","7027440"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1931-01","1931","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1931-02","1931","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1931-03","1931","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1931-04","1931","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1931-05","1931","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1931-06","1931","06","24.8","","12.2","","18.5","","32.2","","5.6","","70.4","","0.0","","70.4","","","",,"",,""
"1931-07","1931","07","28.2","","17.3","","22.8","","36.1","","11.7","","93.5","","0.0","","93.5","","","",,"",,""
"1931-08","1931","08","25.7","","13.9","","19.8","","33.3","","7.8","","40.1","","0.0","","40.1","","","",,"",,""
"1931-09","1931","09","21.8","","10.8","","16.3","","32.8","","1.7","","153.7","","0.0","","153.7","","","",,"",,""
"1931-10","1931","10","15.3","","5.9","","10.6","","26.7","","-2.2","","86.9","","0.0","","86.9","","","",,"",,""
"1931-11","1931","11","8.9","","0.2","","4.6","","20.0","","-7.2","","64.0","","0.0","T","64.0","","","",,"",,""
"1931-12","1931","12","-1.8","","-10.8","","-6.3","","6.1","","-21.1","","25.4","","43.2","","68.6","","","",,"",,""
"1932-01","1932","01","","M","-8.0","","","M","","M","-18.3","S","82.8","","25.4","","108.2","","","",,"",,""
"1932-02","1932","02","-5.6","","-13.4","","-9.5","","8.9","","-22.2","","42.9","","48.3","","91.2","","","",,"",,""
"1932-03","1932","03","-1.6","","-10.1","","-5.9","","6.1","S","-16.7","S","42.2","","120.1","","162.3","","","",,"",,""
"1932-04","1932","04","8.1","","-1.2","","3.5","","21.7","","-10.0","","57.4","","25.4","","82.8","","","",,"",,""
"1932-05","1932","05","19.3","","6.7","","13.0","","31.7","","-0.6","","36.8","","0.0","","36.8","","","",,"",,""
"1932-06","1932","06","24.1","","12.3","","18.2","","31.1","","4.4","S","92.7","","0.0","","92.7","","","",,"",,""
"1932-07","1932","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1932-08","1932","08","26.3","","14.7","","20.5","","32.8","","7.2","","80.3","","0.0","","80.3","","","",,"",,""
"1932-09","1932","09","21.8","","10.3","","16.1","","31.7","","0.6","","49.3","","0.0","","49.3","","","",,"",,""
"1932-10","1932","10","14.3","","4.4","","9.4","","26.1","","-3.3","","137.2","","0.0","","137.2","","","",,"",,""
"1932-11","1932","11","3.5","","-5.4","","-1.0","","13.9","","-17.2","","87.1","","23.6","","110.7","","","",,"",,""
"1932-12","1932","12","0.2","","-8.1","","-4.0","","12.8","","-30.6","","38.9","","24.1","","63.0","","","",,"",,""
"1933-01","1933","01","0.6","","-9.6","","-4.5","","7.8","","-21.1","","35.1","","29.2","","64.3","","","",,"",,""
"1933-02","1933","02","-2.0","","-12.1","","-7.1","","5.0","S","-25.0","","28.7","","22.9","","51.6","","","",,"",,""
"1933-03","1933","03","0.4","","-9.7","","-4.7","","7.8","","-19.4","","5.6","","65.8","","71.4","","","",,"",,""
"1933-04","1933","04","9.7","","0.9","","5.3","","19.4","","-3.9","","102.9","","1.0","","103.9","","","",,"",,""
"1933-05","1933","05","19.6","","7.7","","13.7","","27.2","S","-1.7","","164.3","","0.0","","164.3","","","",,"",,""
"1933-06","1933","06","25.7","","13.2","","19.5","","34.4","","5.0","S","28.7","","0.0","","28.7","","","",,"",,""
"1933-07","1933","07","26.2","","14.4","","20.3","","31.7","","9.4","","92.2","","0.0","","92.2","","","",,"",,""
"1933-08","1933","08","25.2","","13.8","","19.5","","30.6","","8.3","","131.8","","0.0","","131.8","","","",,"",,""
"1933-09","1933","09","21.7","","10.1","","15.9","","28.3","","2.8","S","50.3","","0.0","","50.3","","","",,"",,""
"1933-10","1933","10","12.2","","3.4","","7.8","","22.2","","-8.3","","39.4","","21.6","","61.0","","","",,"",,""
"1933-11","1933","11","0.1","","-9.8","","-4.9","","14.4","","-21.1","","45.7","","41.9","","87.6","","","",,"",,""
"1933-12","1933","12","-8.2","","-18.0","","-13.1","","2.8","","-35.6","","7.1","","73.7","","80.8","","","",,"",,""
