"Station Name","ST MATHIEU LAPRAIRIE"
"Province","QUEBEC"
"Latitude","45.35"
"Longitude","-73.53"
"Elevation","30.50"
"Climate Identifier","7027560"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-02","1948","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-03","1948","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-04","1948","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-05","1948","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-06","1948","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-07","1948","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-08","1948","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1948-09","1948","09","","","","","","","","","","","24.6","","0.0","","24.6","","","",,"",,""
"1948-10","1948","10","","","","","","","","","","","77.5","","0.0","","77.5","","","",,"",,""
"1948-11","1948","11","","","","","","","","","","","113.3","","2.8","","116.1","","","",,"",,""
"1948-12","1948","12","","","","","","","","","","","55.4","","31.8","","87.1","","","",,"",,""
"1949-01","1949","01","","","","","","","","","","","34.3","","48.3","","82.6","","","",,"",,""
"1949-02","1949","02","","","","","","","","","","","30.7","","44.5","","75.2","","","",,"",,""
"1949-03","1949","03","","","","","","","","","","","17.5","","55.9","","73.4","","","",,"",,""
"1949-04","1949","04","","","","","","","","","","","60.5","","11.4","","71.9","","","",,"",,""
"1949-05","1949","05","","","","","","","","","","","34.8","","0.0","","34.8","","","",,"",,""
"1949-06","1949","06","","","","","","","","","","","53.8","","0.0","","53.8","","","",,"",,""
"1949-07","1949","07","","","","","","","","","","","53.3","","0.0","","53.3","","","",,"",,""
"1949-08","1949","08","","","","","","","","","","","109.0","","0.0","","109.0","","","",,"",,""
"1949-09","1949","09","","","","","","","","","","","91.4","","0.0","","91.4","","","",,"",,""
"1949-10","1949","10","","","","","","","","","","","41.9","","0.0","","41.9","","","",,"",,""
"1949-11","1949","11","","","","","","","","","","","62.0","","28.7","","90.7","","","",,"",,""
"1949-12","1949","12","","","","","","","","","","","57.9","","20.3","","78.2","","","",,"",,""
"1950-01","1950","01","","","","","","","","","","","69.3","","48.3","","117.6","","","",,"",,""
"1950-02","1950","02","","","","","","","","","","","0.0","","96.5","","96.5","","","",,"",,""
"1950-03","1950","03","","","","","","","","","","","32.3","","64.8","","97.0","","","",,"",,""
"1950-04","1950","04","","","","","","","","","","","55.4","","0.0","T","55.4","","","",,"",,""
"1950-05","1950","05","","","","","","","","","","","37.1","","0.0","","37.1","","","",,"",,""
"1950-06","1950","06","","","","","","","","","","","57.7","","0.0","","57.7","","","",,"",,""
"1950-07","1950","07","","","","","","","","","","","145.3","","0.0","","145.3","","","",,"",,""
"1950-08","1950","08","","","","","","","","","","","73.4","","0.0","","73.4","","","",,"",,""
"1950-09","1950","09","","","","","","","","","","","51.1","","0.0","T","51.1","","","",,"",,""
"1950-10","1950","10","","","","","","","","","","","58.2","","0.0","T","58.2","","","",,"",,""
"1950-11","1950","11","","","","","","","","","","","114.8","","10.2","","125.0","","","",,"",,""
"1950-12","1950","12","","","","","","","","","","","26.7","","54.6","","81.3","","","",,"",,""
"1951-01","1951","01","","","","","","","","","","","50.5","","55.9","","106.4","","","",,"",,""
"1951-02","1951","02","","","","","","","","","","","23.6","","61.0","","84.6","","","",,"",,""
"1951-03","1951","03","","","","","","","","","","","54.4","","52.1","","106.4","","","",,"",,""
"1951-04","1951","04","","","","","","","","","","","102.1","","15.2","","117.3","","","",,"",,""
"1951-05","1951","05","","","","","","","","","","","45.0","","0.0","","45.0","","","",,"",,""
"1951-06","1951","06","","","","","","","","","","","90.2","","0.0","","90.2","","","",,"",,""
"1951-07","1951","07","","","","","","","","","","","62.5","","0.0","","62.5","","","",,"",,""
"1951-08","1951","08","","","","","","","","","","","104.6","","0.0","","104.6","","","",,"",,""
"1951-09","1951","09","","","","","","","","","","","69.3","","0.0","","69.3","","","",,"",,""
"1951-10","1951","10","","","","","","","","","","","47.8","","0.0","","47.8","","","",,"",,""
"1951-11","1951","11","","","","","","","","","","","70.4","","39.4","","109.7","","","",,"",,""
"1951-12","1951","12","","","","","","","","","","","21.6","","96.5","","118.1","","","",,"",,""
"1952-01","1952","01","","","","","","","","","","","28.7","","62.2","","90.9","","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","19.1","","57.2","","76.2","","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","35.1","","40.6","","75.7","","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","62.7","","0.0","","62.7","","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","102.6","","0.0","","102.6","","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","127.3","","0.0","","127.3","","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","111.3","","0.0","","111.3","","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","80.8","","0.0","","80.8","","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","87.4","","0.0","","87.4","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","118.9","","0.0","T","118.9","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","68.6","","3.8","","72.4","","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","89.4","","52.1","","141.5","","","",,"",,""
"1953-01","1953","01","","M","","M","","M","","M","","M","44.7","","50.3","","95.0","","","",,"",,""
"1953-02","1953","02","","M","","M","","M","","M","","M","8.6","","24.1","","32.8","","","",,"",,""
"1953-03","1953","03","","M","","M","","M","","M","","M","79.0","","11.4","","90.4","","","",,"",,""
"1953-04","1953","04","","M","","M","","M","","M","","M","95.8","","2.0","","97.8","","","",,"",,""
"1953-05","1953","05","19.6","","7.4","","13.5","","29.4","","0.0","","79.8","","0.0","","79.8","","","",,"",,""
"1953-06","1953","06","25.1","","12.0","","18.6","","33.9","","2.2","","86.9","","0.0","","86.9","","","",,"",,""
"1953-07","1953","07","26.2","","15.3","","20.8","","34.4","","7.8","S","109.2","","0.0","","109.2","","","",,"",,""
"1953-08","1953","08","25.7","","12.8","","19.3","","35.6","","5.6","S","54.6","","0.0","","54.6","","","",,"",,""
"1953-09","1953","09","20.7","","8.8","","14.8","","32.2","S","-2.2","","62.2","","0.0","","62.2","","","",,"",,""
"1953-10","1953","10","15.0","","3.1","","9.1","","27.2","","-3.9","S","40.4","","0.0","","40.4","","","",,"",,""
"1953-11","1953","11","8.6","","0.6","","4.6","","20.0","","-11.1","","34.8","","0.0","T","34.8","","","",,"",,""
"1953-12","1953","12","1.9","","-5.8","","-2.0","","11.1","","-21.1","","65.0","","33.0","","98.0","","","",,"",,""
"1954-01","1954","01","-8.9","","-18.2","","-13.6","","4.4","","-32.8","","18.8","","66.8","","85.6","","","M",,"",,""
"1954-02","1954","02","-0.9","","-10.4","","-5.7","","6.7","","-28.3","","24.4","","118.1","","142.5","","25","",,"",,""
"1954-03","1954","03","0.8","","-7.1","","-3.2","","9.4","","-14.4","","34.3","","43.2","","77.5","","","M",,"",,""
"1954-04","1954","04","10.6","","0.4","","5.5","","26.1","","-15.0","","104.1","","11.4","","115.6","","","M",,"",,""
"1954-05","1954","05","16.9","","6.4","","11.7","","25.6","S","1.7","S","120.1","","0.0","","120.1","","","M",,"",,""
"1954-06","1954","06","22.7","","13.1","","17.9","","30.0","","8.3","S","158.8","","0.0","","158.8","","","M",,"",,""
"1954-07","1954","07","24.6","","13.6","","19.1","","30.0","","6.7","","63.5","","0.0","","63.5","","","M",,"",,""
"1954-08","1954","08","23.4","","12.3","","17.9","","30.0","","6.1","S","124.2","","0.0","","124.2","","","M",,"",,""
"1954-09","1954","09","18.1","","8.9","","13.5","","25.6","","2.8","S","140.5","","0.0","","140.5","","","M",,"",,""
"1954-10","1954","10","14.4","","5.1","","9.8","","25.6","","-2.2","","91.9","","0.0","","91.9","","","M",,"",,""
"1954-11","1954","11","5.9","","-1.3","","2.3","","17.2","S","-8.3","","105.7","","21.6","","127.3","","","M",,"",,""
"1954-12","1954","12","-2.7","","-9.6","","-6.2","","3.3","","-16.7","S","42.7","","104.1","","146.8","","38","",,"",,""
"1955-01","1955","01","-7.7","","-15.6","","-11.7","","2.2","","-27.8","","2.8","","33.5","","36.3","","28","",,"",,""
"1955-02","1955","02","-3.9","","-14.2","","-9.1","","5.6","","-30.6","","11.2","","57.2","","68.3","","25","",,"",,""
"1955-03","1955","03","-0.2","","-7.6","","-3.9","","7.8","","-16.1","","74.2","","76.2","","150.4","","","M",,"",,""
"1955-04","1955","04","11.8","","1.7","","6.8","","22.2","","-6.7","","41.4","","0.0","","41.4","","","M",,"",,""
"1955-05","1955","05","20.9","","8.6","","14.8","","30.0","","-1.1","","47.8","","0.0","","47.8","","","M",,"",,""
"1955-06","1955","06","25.4","","12.9","","19.2","","31.1","S","5.6","","50.3","","0.0","","50.3","","","M",,"",,""
"1955-07","1955","07","29.9","","15.8","","22.9","","35.6","","9.4","S","45.2","","0.0","","45.2","","","M",,"",,""
"1955-08","1955","08","27.4","","16.0","","21.7","","35.6","","7.8","S","192.5","","0.0","","192.5","","","M",,"",,""
"1955-09","1955","09","20.1","","8.1","","14.1","","30.0","","-1.7","","68.1","","0.0","","68.1","","","M",,"",,""
"1955-10","1955","10","14.1","","4.5","","9.3","","22.8","","-4.4","S","71.9","","0.0","","71.9","","","M",,"",,""
"1955-11","1955","11","5.3","","-2.1","","1.6","","12.2","S","-12.2","","38.4","","8.9","","47.2","","","M",,"",,""
"1955-12","1955","12","-6.4","","-13.7","","-10.1","","3.9","","-30.6","","8.4","","35.6","","43.9","","15","",,"",,""
"1956-01","1956","01","-3.7","","-12.0","","-7.9","","5.0","","-27.8","S","9.7","","48.3","","57.9","","18","",,"",,""
"1956-02","1956","02","-2.8","","-13.1","","-8.0","","7.2","","-22.2","S","10.9","","81.3","","92.2","","41","",,"",,""
"1956-03","1956","03","-1.0","","-12.2","","-6.6","","4.4","S","-23.3","","4.6","","87.6","","92.2","","25","",,"",,""
"1956-04","1956","04","8.7","","-0.7","","4.0","","15.6","S","-8.3","","84.8","","0.0","","84.8","","0","",,"",,""
"1956-05","1956","05","15.4","","3.1","","9.3","","26.7","S","-4.4","","99.3","","0.0","","99.3","","0","",,"",,""
"1956-06","1956","06","23.0","","12.3","","17.7","","32.8","","3.9","S","46.7","","0.0","","46.7","","0","",,"",,""
"1956-07","1956","07","23.9","","13.2","","18.6","","30.0","","7.8","","136.4","","0.0","","136.4","","0","",,"",,""
"1956-08","1956","08","24.3","","12.7","","18.5","","30.6","","3.9","","78.2","","0.0","","78.2","","0","",,"",,""
"1956-09","1956","09","18.3","","7.1","","12.7","","27.2","S","-2.8","","61.0","","0.0","","61.0","","0","",,"",,""
"1956-10","1956","10","15.3","","3.2","","9.3","","26.7","","-5.6","S","27.2","","0.0","","27.2","","0","",,"",,""
"1956-11","1956","11","6.9","","-2.8","","2.1","","18.9","","-16.7","","24.9","","24.1","","49.0","","10","",,"",,""
"1956-12","1956","12","-1.2","","-10.9","","-6.1","","7.2","S","-22.8","","27.7","","59.2","","86.9","","15","",,"",,""
"1957-01","1957","01","-8.4","","-19.8","","-14.1","","7.8","","-41.1","","23.9","","57.2","","81.0","","15","",,"",,""
"1957-02","1957","02","-2.0","","-11.8","","-6.9","","4.4","","-27.2","","34.8","","19.6","","54.4","","10","",,"",,""
"1957-03","1957","03","2.3","","-6.6","","-2.2","","10.0","","-20.0","","14.0","","19.1","","33.0","","","M",,"",,""
"1957-04","1957","04","12.3","","1.1","","6.7","","27.2","","-8.3","","52.6","","3.8","","56.4","","","M",,"",,""
"1957-05","1957","05","17.9","","5.6","","11.8","","26.7","","-3.9","","70.9","","0.0","T","70.9","","0","",,"",,""
"1957-06","1957","06","25.3","","13.0","","19.2","","33.3","","4.4","S","136.7","","0.0","","136.7","","0","",,"",,""
"1957-07","1957","07","25.3","","13.9","","19.6","","30.0","S","7.2","","99.3","","0.0","","99.3","","0","",,"",,""
"1957-08","1957","08","24.4","","10.4","","17.4","","32.2","","1.1","","0.5","","0.0","","0.5","","0","",,"",,""
"1957-09","1957","09","20.9","","9.3","","15.1","","28.9","S","-1.1","","132.3","","0.0","","132.3","","0","",,"",,""
"1957-10","1957","10","14.2","","3.7","","9.0","","23.3","","-5.6","","55.4","","0.0","","55.4","","","M",,"",,""
"1957-11","1957","11","7.0","","-0.1","","3.5","","13.9","","-15.0","","87.9","","0.0","T","87.9","","","M",,"",,""
"1957-12","1957","12","1.4","","-7.9","","-3.3","","14.4","","-17.8","","86.1","","40.6","","126.7","","3","",,"",,""
"1958-01","1958","01","-3.8","","-11.5","","-7.7","","3.3","S","-24.4","","16.0","","91.4","","107.4","","46","",,"",,""
"1958-02","1958","02","-7.4","","-16.3","","-11.9","","2.8","","-29.4","","9.4","","109.2","","118.6","","76","",,"",,""
"1958-03","1958","03","2.8","","-3.6","","-0.4","","6.1","","-10.0","","10.9","","58.4","","69.3","","3","",,"",,""
"1958-04","1958","04","12.3","","1.6","","7.0","","25.0","","-4.4","","51.1","","6.4","","57.4","","","M",,"",,""
"1958-05","1958","05","16.8","","4.3","","10.6","","26.7","","-3.9","","60.2","","0.0","","60.2","","","M",,"",,""
