"Station Name","ST NICHOLAS"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.43"
"Longitude","-63.93"
"Elevation","9.20"
"Climate Identifier","8300560"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-02","1992","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-03","1992","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-04","1992","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-05","1992","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-06","1992","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-07","1992","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-08","1992","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-09","1992","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-10","1992","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-11","1992","11","4.1","","-3.0","","0.5","","14.5","","-13.5","","45.7","","25.2","","70.9","","0","",,"",,""
"1992-12","1992","12","-0.5","","-7.0","","-3.7","","6.0","","-20.5","","31.8","","94.1","","125.9","","22","",,"",,""
"1993-01","1993","01","-5.2","","-14.2","","-9.7","","8.5","","-27.5","","41.4","","51.3","","92.7","","35","",,"",,""
"1993-02","1993","02","-6.6","","-18.0","","-12.3","","7.5","","-34.5","","16.5","","56.7","","73.2","","19","",,"",,""
"1993-03","1993","03","1.0","","-10.3","","-4.7","","17.0","","-22.0","S","11.8","","93.3","","105.1","","16","",,"",,""
"1993-04","1993","04","6.6","","-2.4","","2.1","","19.5","","-10.5","S","71.2","","41.4","","112.6","","0","",,"",,""
"1993-05","1993","05","12.9","","3.4","","8.1","","21.0","","-4.0","","83.2","","0.0","","83.2","","0","",,"",,""
"1993-06","1993","06","18.5","","8.8","","13.7","","25.5","","-1.5","","135.2","","0.0","","135.2","","0","",,"",,""
"1993-07","1993","07","21.1","","11.9","","16.5","","27.5","","3.5","","90.9","","0.0","","90.9","","0","",,"",,""
"1993-08","1993","08","23.0","","12.5","","17.8","","28.0","","4.5","","37.6","","0.0","","37.6","","0","",,"",,""
"1993-09","1993","09","18.2","E","9.1","E","13.7","E","22.0","","-1.0","","86.4","","0.0","","86.4","","0","",,"",,""
"1993-10","1993","10","10.8","","1.3","","6.1","","18.5","","-6.0","","146.6","","2.8","","149.4","","0","",,"",,""
"1993-11","1993","11","5.9","","-2.1","","1.9","","14.5","","-11.5","","60.3","","13.0","","73.3","","0","",,"",,""
"1993-12","1993","12","0.9","","-6.1","","-2.6","","11.5","","-23.5","","83.7","","48.4","","132.1","","40","",,"",,""
"1994-01","1994","01","-5.4","","-18.7","","-12.1","","6.5","","-34.5","","13.6","","79.4","","93.0","","22","",,"",,""
"1994-02","1994","02","-4.9","","-15.7","","-10.3","","13.5","","-27.5","","16.0","","53.4","","69.4","","","M",,"",,""
"1994-03","1994","03","1.7","","-6.3","","-2.3","","8.0","","-21.0","","59.1","","57.7","","116.8","","","M",,"",,""
"1994-04","1994","04","9.1","","-1.2","","4.0","","20.5","","-11.0","","85.5","","7.6","","93.1","","0","",,"",,""
"1994-05","1994","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-06","1994","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-07","1994","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-08","1994","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-09","1994","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-10","1994","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-11","1994","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1994-12","1994","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
