"Station Name","ST PLACIDE"
"Province","QUEBEC"
"Latitude","45.55"
"Longitude","-74.20"
"Elevation","40.00"
"Climate Identifier","7017657"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","","M","","M","","M","","M","","M","97.0","","3.3","","100.3","","0","",,"",,""
"1973-04","1973","04","10.7","","0.3","","5.5","","22.8","","-8.9","","","M","","M","","M","0","",,"",,""
"1973-05","1973","05","16.6","","6.6","","11.6","","23.3","S","1.1","","","M","0.0","","","M","0","",,"",,""
"1973-06","1973","06","23.8","","12.7","","18.3","","28.9","","2.8","","87.6","","0.0","","87.6","","0","",,"",,""
"1973-07","1973","07","26.8","","15.5","","21.2","","31.1","","8.9","","93.0","","0.0","","93.0","","0","",,"",,""
"1973-08","1973","08","","M","16.2","","","M","30.6","","6.1","","88.1","","0.0","","88.1","","","M",,"",,""
"1973-09","1973","09","","M","8.8","","","M","","M","-1.1","","62.7","","0.0","","62.7","","","M",,"",,""
"1973-10","1973","10","14.2","","4.5","","9.4","","22.2","","-3.3","","66.8","","0.0","","66.8","","0","",,"",,""
"1973-11","1973","11","3.8","","-2.0","","0.9","","11.1","","-11.7","","","M","0.0","","","M","","M",,"",,""
"1973-12","1973","12","-2.7","","-7.9","","-5.3","","8.9","","","M","","M","","M","","M","","M",,"",,""
"1974-01","1974","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-03","1974","03","0.3","E","-8.6","E","-4.2","E","","M","","M","44.5","E","38.1","E","82.6","E","15","",,"",,""
"1974-04","1974","04","9.4","","-0.6","","4.4","","25.0","","-8.3","","82.0","E","15.2","","97.3","E","0","",,"",,""
"1974-05","1974","05","15.9","","5.3","","10.6","","25.6","","-5.0","","","M","0.0","","","M","0","",,"",,""
"1974-06","1974","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-07","1974","07","24.8","","14.9","","19.9","","","M","","M","61.5","","0.0","","61.5","","","M",,"",,""
"1974-08","1974","08","24.8","","15.8","","20.3","","29.4","S","7.2","","68.1","","0.0","","68.1","","0","",,"",,""
"1974-09","1974","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-10","1974","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-11","1974","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-12","1974","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1975-01","1975","01","","","","","","","","","","","","","","","","","","",,"",,""
"1975-02","1975","02","","","","","","","","","","","","","","","","","","",,"",,""
"1975-03","1975","03","","","","","","","","","","","","","","","","","","",,"",,""
"1975-04","1975","04","","","","","","","","","","","","","","","","","","",,"",,""
"1975-05","1975","05","","","","","","","","","","","","","","","","","","",,"",,""
"1975-06","1975","06","","","","","","","","","","","","","","","","","","",,"",,""
"1975-07","1975","07","","","","","","","","","","","","","","","","","","",,"",,""
"1975-08","1975","08","","","","","","","","","","","","","","","","","","",,"",,""
"1975-09","1975","09","","","","","","","","","","","","","","","","","","",,"",,""
"1975-10","1975","10","","","","","","","","","","","","","","","","","","",,"",,""
"1975-11","1975","11","","","","","","","","","","","","","","","","","","",,"",,""
"1975-12","1975","12","","","","","","","","","","","","","","","","","","",,"",,""
"1976-01","1976","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-02","1976","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1976-03","1976","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
