"Station Name","STE ANNE"
"Province","MANITOBA"
"Latitude","49.67"
"Longitude","-96.63"
"Elevation","251.50"
"Climate Identifier","502254Q"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1979-01","1979","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1979-02","1979","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1979-03","1979","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1979-04","1979","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1979-05","1979","05","","","","","","","","","","","87.9","","8.9","","97.1","","0","",,"",,""
"1979-06","1979","06","","","","","","","","","","","34.3","","0.0","","34.3","","0","",,"",,""
"1979-07","1979","07","","","","","","","","","","","36.1","","0.0","","36.1","","0","",,"",,""
"1979-08","1979","08","","","","","","","","","","","80.0","","0.0","","80.0","","0","",,"",,""
"1979-09","1979","09","","","","","","","","","","","45.7","","0.0","","45.7","","0","",,"",,""
"1979-10","1979","10","","","","","","","","","","","29.0","","7.0","","36.0","","5","",,"",,""
"1979-11","1979","11","","","","","","","","","","","0.5","E","32.8","","33.3","E","36","",,"",,""
"1979-12","1979","12","","","","","","","","","","","0.0","T","16.0","","16.0","","","M",,"",,""
"1980-01","1980","01","","","","","","","","","","","0.0","","41.1","","41.1","","","M",,"",,""
"1980-02","1980","02","","","","","","","","","","","0.0","","22.4","","22.4","","","M",,"",,""
"1980-03","1980","03","","","","","","","","","","","0.0","T","13.8","","13.8","","32","",,"",,""
"1980-04","1980","04","","","","","","","","","","","0.0","T","0.0","T","0.0","T","0","",,"",,""
"1980-05","1980","05","","","","","","","","","","","28.7","","1.5","","30.2","","0","",,"",,""
"1980-06","1980","06","","","","","","","","","","","41.9","","0.0","","41.9","","0","",,"",,""
