"Station Name","STE FRANCOISE ROMAINE"
"Province","QUEBEC"
"Latitude","46.48"
"Longitude","-71.93"
"Elevation","91.40"
"Climate Identifier","7027267"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1963-01","1963","01","-7.5","","-15.4","","-11.5","","2.2","","-33.9","","7.4","","37.8","","45.2","","30","",,"",,""
"1963-02","1963","02","-7.8","","-23.7","","-15.8","","0.0","","-38.3","","0.0","","100.6","","100.6","","51","",,"",,""
"1963-03","1963","03","-0.2","","-12.9","","-6.6","","7.2","","-30.0","","22.1","","53.6","","75.7","","25","",,"",,""
"1963-04","1963","04","8.5","","-2.7","","2.9","","18.9","","-11.1","","84.6","","10.9","","95.5","","","M",,"",,""
"1963-05","1963","05","16.5","","2.4","","9.5","","25.0","","-5.6","","74.7","","1.3","","75.9","","0","",,"",,""
"1963-06","1963","06","23.9","","9.6","","16.8","","31.7","","1.1","","54.9","","0.0","","54.9","","0","",,"",,""
"1963-07","1963","07","25.4","","13.9","","19.7","","34.4","","7.2","","66.3","","0.0","","66.3","","0","",,"",,""
"1963-08","1963","08","20.2","","9.3","","14.8","","26.7","","2.2","","240.8","","0.0","","240.8","","0","",,"",,""
"1963-09","1963","09","16.9","","3.6","","10.3","","23.9","","-4.4","","155.4","","0.0","","155.4","","0","",,"",,""
"1963-10","1963","10","15.2","","3.8","","9.5","","22.8","S","-5.6","","42.4","","0.0","","42.4","","0","",,"",,""
"1963-11","1963","11","5.1","","-1.7","","1.7","","17.2","","-11.1","","146.8","","18.5","","165.4","","0","",,"",,""
"1963-12","1963","12","-10.1","","-18.7","","-14.4","","1.1","","-35.0","","7.6","","56.6","","64.3","","25","",,"",,""
"1964-01","1964","01","-4.6","","-15.3","","-10.0","","4.4","","-32.8","","90.2","","68.3","","158.5","","38","",,"",,""
"1964-02","1964","02","-4.9","","-17.3","","-11.1","","1.7","","-32.2","","7.1","","52.3","","59.4","","53","",,"",,""
"1964-03","1964","03","0.5","","-8.8","","-4.2","","11.1","","-19.4","S","50.8","","46.5","","97.3","","20","",,"",,""
"1964-04","1964","04","9.2","","-2.6","","3.3","","20.6","","-19.4","","78.0","","8.9","","86.9","","0","",,"",,""
"1964-05","1964","05","18.2","","5.1","","11.7","","27.8","","-3.3","","122.2","","0.0","","122.2","","0","",,"",,""
"1964-06","1964","06","21.9","","8.2","","15.1","","31.1","","0.0","","99.6","","0.0","","99.6","","0","",,"",,""
"1964-07","1964","07","24.5","","12.8","","18.7","","31.1","","4.4","","165.9","","0.0","","165.9","","0","",,"",,""
"1964-08","1964","08","20.6","","10.4","","15.5","","26.7","","5.0","","111.5","","0.0","","111.5","","0","",,"",,""
"1964-09","1964","09","17.2","","5.1","","11.2","","23.3","S","-3.3","","69.3","","0.0","","69.3","","0","",,"",,""
"1964-10","1964","10","10.4","","0.2","","5.3","","21.7","","-7.8","","75.2","","2.0","","77.2","","0","",,"",,""
"1964-11","1964","11","3.7","","-6.7","","-1.5","","13.3","","-20.0","","90.4","","35.6","","126.0","","0","",,"",,""
"1964-12","1964","12","-3.6","","-13.2","","-8.4","","13.3","","-24.4","","73.9","","44.5","","118.4","","","M",,"",,""
