"Station Name","STETTLER NORTH"
"Province","ALBERTA"
"Latitude","52.33"
"Longitude","-112.72"
"Elevation","821.00"
"Climate Identifier","3016119"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1977-01","1977","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-02","1977","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-03","1977","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-04","1977","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-05","1977","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-06","1977","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1977-07","1977","07","21.7","","9.1","","15.4","","32.5","","1.0","","45.5","","0.0","","45.5","","0","",,"",,""
"1977-08","1977","08","18.2","","6.8","","12.5","","25.0","","1.0","","67.4","","0.0","","67.4","","0","",,"",,""
"1977-09","1977","09","14.5","","3.8","","9.2","","23.0","","-0.5","","77.2","","0.0","","77.2","","0","",,"",,""
"1977-10","1977","10","12.3","","-2.9","","4.7","","23.0","S","-10.0","","5.0","","0.0","T","5.0","","0","",,"",,""
"1977-11","1977","11","0.0","","-12.5","","-6.3","","14.0","","-30.5","","0.0","","15.0","","15.0","","","M",,"",,""
"1977-12","1977","12","-12.5","","-21.4","","-17.0","","-1.0","","-45.0","","0.0","","22.9","","22.9","","","M",,"",,""
"1978-01","1978","01","-12.8","","-22.6","","-17.7","","5.0","S","-32.5","","0.0","","28.7","","28.7","","","M",,"",,""
"1978-02","1978","02","-7.7","","-19.4","","-13.6","","7.0","","-37.5","","0.0","","16.0","","16.0","","","M",,"",,""
"1978-03","1978","03","0.8","","-10.8","","-5.0","","11.0","","-32.0","","0.0","","1.6","","1.6","","0","",,"",,""
"1978-04","1978","04","9.2","","-0.6","","4.3","","21.5","","-8.0","","14.6","","6.2","","20.8","","0","",,"",,""
"1978-05","1978","05","16.0","","3.9","","10.0","","26.0","","-0.5","","98.0","","0.0","","98.0","","0","",,"",,""
"1978-06","1978","06","21.6","","7.9","","14.8","","30.5","S","0.5","","96.0","","0.0","","96.0","","0","",,"",,""
"1978-07","1978","07","22.7","","10.6","","16.7","","30.0","","5.0","","69.4","","0.0","","69.4","","0","",,"",,""
"1978-08","1978","08","21.2","","7.2","","14.2","","31.5","","2.5","","106.3","","0.0","","106.3","","0","",,"",,""
"1978-09","1978","09","15.6","","5.3","","10.5","","27.0","","0.0","","130.3","","0.0","","130.3","","0","",,"",,""
"1978-10","1978","10","13.1","","-0.7","","6.2","","24.0","S","-7.0","S","20.2","","0.0","","20.2","","0","",,"",,""
"1978-11","1978","11","-1.8","","-11.6","","-6.7","","21.0","","-29.0","","7.6","","20.0","","27.6","","","M",,"",,""
"1978-12","1978","12","-6.9","","-18.3","","-12.6","","5.0","","-34.0","","0.0","","10.5","","10.5","","","M",,"",,""
"1979-01","1979","01","-10.9","","-23.1","","-17.0","","0.5","","-35.0","S","0.0","","4.2","","4.2","","","M",,"",,""
"1979-02","1979","02","-17.8","","-26.8","","-22.3","","-4.0","","-38.5","","0.0","","26.4","","26.4","","","M",,"",,""
"1979-03","1979","03","3.9","","-7.5","","-1.8","","15.5","","-29.0","","0.0","","5.2","","5.2","","","M",,"",,""
"1979-04","1979","04","5.5","","-4.7","","0.4","","15.5","","-17.0","S","8.4","","14.0","","22.4","","0","",,"",,""
"1979-05","1979","05","13.8","","2.0","","7.9","","27.5","","-3.0","","49.6","","3.8","","53.4","","0","",,"",,""
"1979-06","1979","06","20.6","","7.4","","14.0","","30.5","","2.0","S","60.2","","0.0","","60.2","","0","",,"",,""
"1979-07","1979","07","24.0","","9.9","","17.0","","32.5","","4.0","","78.1","","0.0","","78.1","","0","",,"",,""
"1979-08","1979","08","22.3","","8.4","","15.4","","28.5","","3.0","","49.2","","0.0","","49.2","","0","",,"",,""
