"Station Name","STONEWALL"
"Province","MANITOBA"
"Latitude","50.22"
"Longitude","-97.32"
"Elevation","248.40"
"Climate Identifier","502KGHG"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1992-01","1992","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-02","1992","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-03","1992","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-04","1992","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-05","1992","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-06","1992","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-07","1992","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-08","1992","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1992-09","1992","09","","","","","","","","","","","21.6","I","0.0","","21.6","I","0","",,"",,""
"1992-10","1992","10","","","","","","","","","","","0.2","","0.0","","0.2","","0","",,"",,""
"1992-11","1992","11","","","","","","","","","","","0.0","T","54.2","","54.2","","21","",,"",,""
"1992-12","1992","12","","","","","","","","","","","0.0","","49.0","","49.0","","49","",,"",,""
"1993-01","1993","01","","","","","","","","","","","0.0","","23.0","","23.0","","50","",,"",,""
"1993-02","1993","02","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M",,"",,""
"1993-03","1993","03","","","","","","","","","","","0.0","","0.0","I","0.0","I","15","",,"",,""
"1993-04","1993","04","","","","","","","","","","","31.4","","0.0","","31.4","","0","",,"",,""
"1993-05","1993","05","","","","","","","","","","","36.0","","0.0","","36.0","","0","",,"",,""
"1993-06","1993","06","","","","","","","","","","","89.8","","0.0","","89.8","","0","",,"",,""
"1993-07","1993","07","","","","","","","","","","","185.9","E","0.0","","185.9","E","0","",,"",,""
"1993-08","1993","08","","","","","","","","","","","176.5","","0.0","","176.5","","0","",,"",,""
"1993-09","1993","09","","","","","","","","","","","21.4","","0.0","","21.4","","0","",,"",,""
"1993-10","1993","10","","","","","","","","","","","12.6","","0.4","","13.0","","0","",,"",,""
"1993-11","1993","11","","","","","","","","","","","0.0","","13.0","E","13.0","E","2","",,"",,""
"1993-12","1993","12","","","","","","","","","","","0.0","","8.0","","8.0","","13","",,"",,""
"1994-01","1994","01","","","","","","","","","","","0.0","","13.0","","13.0","","20","",,"",,""
"1994-02","1994","02","","","","","","","","","","","0.0","","2.0","","2.0","","21","",,"",,""
"1994-03","1994","03","","","","","","","","","","","0.4","","1.0","I","1.4","I","0","T",,"",,""
"1994-04","1994","04","","","","","","","","","","","8.0","","5.0","","13.0","","0","",,"",,""
"1994-05","1994","05","","","","","","","","","","","36.3","","0.0","","36.3","","0","",,"",,""
"1994-06","1994","06","","","","","","","","","","","60.8","E","0.0","","60.8","E","0","",,"",,""
"1994-07","1994","07","","","","","","","","","","","135.8","I","0.0","","135.8","I","0","",,"",,""
"1994-08","1994","08","","","","","","","","","","","45.8","","0.0","","45.8","","0","",,"",,""
"1994-09","1994","09","","","","","","","","","","","56.9","","0.0","","56.9","","0","",,"",,""
"1994-10","1994","10","","","","","","","","","","","85.6","","0.0","","85.6","","0","",,"",,""
"1994-11","1994","11","","","","","","","","","","","23.8","","10.0","","33.8","","10","",,"",,""
"1994-12","1994","12","","","","","","","","","","","0.0","","23.5","","23.5","","25","",,"",,""
