"Station Name","SUMMERSIDE A"
"Province","PRINCE EDWARD ISLAND"
"Latitude","46.44"
"Longitude","-63.83"
"Elevation","19.50"
"Climate Identifier","8300700"
"WMO Identifier",""
"TC Identifier","YSU"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1942-01","1942","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-02","1942","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-03","1942","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-04","1942","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1942-05","1942","05","16.8","","6.7","","11.8","","23.3","","0.0","","39.4","","0.0","","39.4","","","",,"",,""
"1942-06","1942","06","21.3","","10.9","","16.1","","28.9","","2.8","","30.7","","0.0","","30.7","","","",,"",,""
"1942-07","1942","07","23.7","","14.6","","19.2","","27.2","S","10.6","","75.2","","0.0","","75.2","","","",,"",,""
"1942-08","1942","08","23.3","","14.4","","18.9","","28.3","S","8.9","S","38.9","","0.0","","38.9","","","",,"",,""
"1942-09","1942","09","20.8","","10.8","","15.8","","31.7","S","2.2","","230.9","","0.0","","230.9","","","",,"",,""
"1942-10","1942","10","13.6","","5.7","","9.7","","20.6","","0.6","","83.6","","0.0","","83.6","","","",,"",,""
"1942-11","1942","11","5.1","","-1.6","","1.8","","17.8","","-8.9","","99.6","","10.7","","110.2","","","",,"",,""
"1942-12","1942","12","-4.2","","-10.9","","-7.6","","7.8","","-24.4","","26.7","","40.4","","67.1","","","",,"",,""
"1943-01","1943","01","-7.2","","-15.2","","-11.2","","1.1","S","-24.4","","0.3","","24.9","","25.1","","","",,"",,""
"1943-02","1943","02","-1.4","","-10.0","","-5.7","","10.6","","-26.1","","36.6","","20.1","","56.6","","","",,"",,""
"1943-03","1943","03","0.4","","-7.4","","-3.5","","10.6","","-19.4","","22.1","","52.6","","74.7","","","",,"",,""
"1943-04","1943","04","5.4","","-2.3","","1.6","","16.7","S","-8.9","","25.1","","34.5","","59.7","","","",,"",,""
"1943-05","1943","05","12.9","","3.3","","8.1","","26.7","","-3.3","","141.2","","0.0","T","141.2","","","",,"",,""
"1943-06","1943","06","17.1","","8.6","","12.9","","30.0","","1.1","","98.3","","0.0","","98.3","","","",,"",,""
"1943-07","1943","07","23.2","","13.7","","18.5","","30.6","","7.2","","125.2","","0.0","","125.2","","","",,"",,""
"1943-08","1943","08","21.8","","13.6","","17.7","","27.2","","9.4","S","102.4","","0.0","","102.4","","","",,"",,""
"1943-09","1943","09","19.1","","10.6","","14.9","","27.8","","3.9","","132.3","","0.0","","132.3","","","",,"",,""
"1943-10","1943","10","13.5","","6.4","","10.0","","20.6","","-0.6","","106.2","","2.5","","108.7","","","",,"",,""
"1943-11","1943","11","5.8","","-0.9","","2.5","","15.0","","-9.4","","120.4","","20.8","","141.2","","","",,"",,""
"1943-12","1943","12","-3.4","","-11.9","","-7.7","","3.9","","-25.6","","7.4","","25.7","","33.0","","","",,"",,""
"1944-01","1944","01","-2.7","","-10.3","","-6.5","","3.3","","-18.3","","0.0","T","32.0","","32.0","","","",,"",,""
"1944-02","1944","02","-4.4","","-12.7","","-8.6","","5.0","S","-23.3","","14.2","","75.2","","89.4","","","",,"",,""
"1944-03","1944","03","-0.8","","-8.1","","-4.5","","8.9","","-18.9","","65.5","","18.3","","83.8","","","",,"",,""
"1944-04","1944","04","6.9","","-2.1","","2.4","","19.4","","-5.0","","31.2","","23.6","","54.9","","","",,"",,""
"1944-05","1944","05","17.7","","5.3","","11.5","","27.2","","-2.2","","33.5","","0.0","T","33.5","","","",,"",,""
"1944-06","1944","06","19.9","","10.1","","15.0","","31.1","","1.7","","98.3","","0.0","","98.3","","","",,"",,""
"1944-07","1944","07","24.1","","14.4","","19.3","","30.0","","8.9","","22.4","","0.0","","22.4","","","",,"",,""
"1944-08","1944","08","25.2","","15.4","","20.3","","33.3","","9.4","","84.1","","0.0","","84.1","","","",,"",,""
"1944-09","1944","09","19.7","","12.1","","15.9","","25.0","","5.0","","86.4","","0.0","","86.4","","","",,"",,""
"1944-10","1944","10","11.9","","5.1","","8.5","","19.4","S","-5.6","","161.3","","0.0","T","161.3","","","",,"",,""
"1944-11","1944","11","7.1","","1.8","","4.5","","16.7","","-2.2","","213.9","","3.8","","217.7","","","",,"",,""
"1944-12","1944","12","-0.1","","-8.1","","-4.1","","11.1","","-17.2","S","70.4","","35.3","","105.7","","","",,"",,""
"1945-01","1945","01","-2.4","","-10.9","","-6.7","","9.4","","-22.8","","47.0","","111.5","","158.5","","","",,"",,""
"1945-02","1945","02","-3.2","","-11.4","","-7.3","","3.3","","-18.3","","19.8","","58.2","","78.0","","","",,"",,""
"1945-03","1945","03","2.5","","-5.4","","-1.5","","15.6","","-15.0","","44.7","","19.3","","64.0","","","",,"",,""
"1945-04","1945","04","8.7","","1.0","","4.9","","23.3","","-5.6","","48.5","","3.8","","52.3","","","",,"",,""
"1945-05","1945","05","12.1","","4.1","","8.1","","19.4","","-3.9","","148.1","","2.0","","150.1","","","",,"",,""
"1945-06","1945","06","17.2","","8.9","","13.1","","25.6","","1.7","","85.1","","0.0","","85.1","","","",,"",,""
"1945-07","1945","07","24.0","","14.3","","19.2","","30.0","","10.6","S","46.7","","0.0","","46.7","","","",,"",,""
"1945-08","1945","08","23.9","","14.6","","19.3","","30.6","","8.9","","37.6","","0.0","","37.6","","","",,"",,""
"1945-09","1945","09","19.2","","10.7","","15.0","","30.6","","2.2","","96.0","","0.0","","96.0","","","",,"",,""
"1945-10","1945","10","11.3","","4.4","","7.9","","19.4","","-3.9","","136.9","","0.0","T","136.9","","","",,"",,""
"1945-11","1945","11","5.6","","-0.7","","2.5","","14.4","","-7.2","","160.8","","18.0","","178.8","","","",,"",,""
"1945-12","1945","12","-2.1","","-7.8","","-5.0","","8.3","","-16.1","","34.8","","64.5","","99.3","","","",,"",,""
"1946-01","1946","01","-3.6","","-12.5","","-8.1","","8.9","","-26.1","","2.8","","61.2","","64.0","","","",,"",,""
"1946-02","1946","02","-4.1","","-13.4","","-8.8","","","M","-20.0","S","","M","","M","","M","","",,"",,""
"1946-03","1946","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1946-04","1946","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1946-05","1946","05","14.9","","4.4","","9.7","","23.3","","-3.9","","52.3","","0.0","T","52.3","","","",,"",,""
"1946-06","1946","06","21.2","","9.8","","15.5","","30.6","","3.9","","35.8","","0.0","","35.8","","","",,"",,""
"1946-07","1946","07","22.6","","13.7","","18.2","","30.6","","8.3","","15.5","","0.0","","15.5","","","",,"",,""
"1946-08","1946","08","21.8","","13.0","","17.4","","27.2","","6.7","","114.3","","0.0","","114.3","","","",,"",,""
"1946-09","1946","09","20.4","","10.7","","15.6","","25.6","","3.9","","41.9","","0.0","","41.9","","","",,"",,""
"1946-10","1946","10","15.3","","5.0","","10.2","","23.9","","-1.1","","85.9","","0.0","T","85.9","","","",,"",,""
"1946-11","1946","11","5.9","","-1.2","","2.4","","11.7","S","-12.8","","45.7","","13.2","","58.9","","","",,"",,""
"1946-12","1946","12","-0.3","","-8.7","","-4.5","","10.0","","-22.8","","37.3","","64.8","","102.1","","","",,"",,""
"1947-01","1947","01","-3.2","","-13.0","","-8.1","","8.3","","-23.9","","48.8","","15.2","","64.0","","","",,"",,""
"1947-02","1947","02","-1.1","","-8.6","","-4.9","","7.2","","-15.6","","37.6","","40.6","","78.2","","","",,"",,""
"1947-03","1947","03","1.4","","-5.6","","-2.1","","7.8","","-12.2","","19.8","","18.8","","38.6","","","",,"",,""
"1947-04","1947","04","5.3","","-3.7","","0.8","","12.8","","-8.9","","48.8","","12.7","","61.5","","","",,"",,""
"1947-05","1947","05","14.7","","4.2","","9.5","","22.2","","-4.4","","89.9","","0.0","","89.9","","","",,"",,""
"1947-06","1947","06","18.1","","8.6","","13.4","","32.2","","0.0","","112.0","","0.0","","112.0","","","",,"",,""
"1947-07","1947","07","25.8","","17.1","","21.5","","30.0","","12.8","","27.9","","0.0","","27.9","","","",,"",,""
"1947-08","1947","08","23.2","","14.2","","18.7","","31.7","","7.2","","49.8","","0.0","","49.8","","","",,"",,""
"1947-09","1947","09","19.4","","10.4","","14.9","","29.4","S","1.7","S","101.3","","0.0","","101.3","","","",,"",,""
"1947-10","1947","10","14.4","","5.1","","9.8","","22.8","","-1.7","S","55.6","","0.0","T","55.6","","","",,"",,""
"1947-11","1947","11","6.5","","0.7","","3.6","","13.9","","-7.2","","70.1","","0.0","","70.1","","","",,"",,""
"1947-12","1947","12","-1.8","E","-8.4","E","-5.1","E","","M","","M","7.6","","62.7","","70.4","","","",,"",,""
"1948-01","1948","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1948-02","1948","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1948-03","1948","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1948-04","1948","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1948-05","1948","05","13.8","","5.2","","9.5","","23.3","","-0.6","S","82.8","","0.0","","82.8","","","M",,"",,""
"1948-06","1948","06","17.9","","9.3","","13.6","","28.9","","5.6","S","109.5","","0.0","","109.5","","","M",,"",,""
"1948-07","1948","07","23.3","","14.5","","18.9","","28.9","","8.3","","123.4","","0.0","","123.4","","","M",,"",,""
"1948-08","1948","08","23.1","","14.6","","18.9","","26.7","S","10.0","","159.8","","0.0","","159.8","","","M",,"",,""
"1948-09","1948","09","19.3","","9.8","","14.6","","28.9","S","4.4","","79.8","","0.0","","79.8","","","M",,"",,""
"1948-10","1948","10","12.9","","5.4","","9.2","","17.8","S","-1.1","S","61.0","","0.0","","61.0","","","M",,"",,""
"1948-11","1948","11","7.7","","1.2","","4.5","","","M","","M","131.1","","0.0","","131.1","","","M",,"",,""
"1948-12","1948","12","1.9","","-4.9","","-1.5","","10.0","","-14.4","S","53.6","","19.6","","73.2","","3","",,"",,""
"1949-01","1949","01","-1.4","","-11.6","","-6.5","","9.4","","-20.6","","38.4","","17.5","","55.9","","5","",,"",,""
"1949-02","1949","02","-3.3","","-12.7","","-8.0","","6.1","","-20.6","S","43.7","","70.1","","113.8","","33","",,"",,""
"1949-03","1949","03","1.1","","-5.7","","-2.3","","7.8","","-15.6","","67.3","","42.4","","109.7","","","M",,"",,""
"1949-04","1949","04","7.6","","0.2","","3.9","","15.6","","-3.3","","73.2","","18.0","","91.2","","","M",,"",,""
"1949-05","1949","05","14.2","","4.3","","9.3","","21.7","","-0.6","S","82.3","","0.0","","82.3","","","M",,"",,""
"1949-06","1949","06","20.8","","10.4","","15.6","","30.6","","3.9","S","77.0","","0.0","","77.0","","","M",,"",,""
"1949-07","1949","07","24.7","","14.9","","19.8","","32.2","","9.4","","47.8","","0.0","","47.8","","","M",,"",,""
"1949-08","1949","08","23.4","","14.1","","18.8","","31.1","","8.3","","80.8","","0.0","","80.8","","","M",,"",,""
"1949-09","1949","09","18.7","","10.5","","14.6","","26.7","","3.9","S","120.1","","0.0","","120.1","","","M",,"",,""
"1949-10","1949","10","13.7","","6.1","","9.9","","20.0","","0.6","S","53.1","","0.0","","53.1","","","M",,"",,""
"1949-11","1949","11","4.7","","-2.1","","1.3","","12.2","","-9.4","","103.1","","11.2","","114.3","","","M",,"",,""
"1949-12","1949","12","1.5","","-5.4","","-2.0","","10.0","S","-12.8","S","66.0","","11.7","","77.7","","","M",,"",,""
"1950-01","1950","01","-1.9","","-11.3","","-6.6","","10.0","","-23.3","","14.5","","64.0","","78.5","","","M",,"",,""
"1950-02","1950","02","-6.4","","-15.1","","-10.8","","3.9","","-25.0","","8.1","","80.5","","88.6","","41","",,"",,""
"1950-03","1950","03","-0.7","","-9.9","","-5.3","","10.6","","-23.9","","16.5","","43.4","","59.9","","0","T",,"",,""
"1950-04","1950","04","6.1","","-1.2","","2.5","","15.0","","-7.2","","32.5","","25.1","","57.7","","","M",,"",,""
"1950-05","1950","05","15.7","","4.4","","10.1","","28.9","","-3.3","","18.3","","0.0","T","18.3","","","M",,"",,""
"1950-06","1950","06","19.7","","10.4","","15.1","","26.7","","3.9","","92.7","","0.0","","92.7","","","M",,"",,""
"1950-07","1950","07","22.7","","14.2","","18.5","","27.2","","9.4","","101.9","","0.0","","101.9","","","M",,"",,""
"1950-08","1950","08","21.7","","13.8","","17.8","","28.3","","8.9","","121.7","","0.0","","121.7","","","M",,"",,""
"1950-09","1950","09","16.2","","8.4","","12.3","","24.4","","0.0","","35.3","","0.0","","35.3","","","M",,"",,""
"1950-10","1950","10","11.3","","4.3","","7.8","","20.6","","-2.2","","66.0","","0.0","T","66.0","","","M",,"",,""
"1950-11","1950","11","8.7","","1.6","","5.2","","18.3","","-5.6","","127.5","","0.0","T","127.5","","","M",,"",,""
"1950-12","1950","12","2.9","","-4.3","","-0.7","","15.6","","-20.0","","80.8","","35.6","","116.3","","3","",,"",,""
"1951-01","1951","01","-1.6","","-9.3","","-5.5","","8.9","","-26.7","","27.9","","60.5","","88.4","","10","",,"",,""
"1951-02","1951","02","-0.5","","-8.9","","-4.7","","8.9","S","-21.1","","37.8","","23.1","","61.0","","0","T",,"",,""
"1951-03","1951","03","2.1","","-4.5","","-1.2","","11.7","","-11.1","S","45.5","","18.5","","64.0","","","M",,"",,""
"1951-04","1951","04","8.1","","1.2","","4.7","","18.9","","-1.7","","141.5","","0.0","T","141.5","","","M",,"",,""
"1951-05","1951","05","13.9","","4.2","","9.1","","23.3","S","-4.4","","134.9","","4.3","","139.2","","","M",,"",,""
"1951-06","1951","06","18.3","","9.6","","14.0","","26.7","","4.4","S","90.2","","0.0","","90.2","","","M",,"",,""
"1951-07","1951","07","23.6","","14.8","","19.2","","28.3","S","11.1","S","77.0","","0.0","","77.0","","","M",,"",,""
"1951-08","1951","08","21.9","","14.6","","18.3","","25.6","S","8.9","","152.9","","0.0","","152.9","","","M",,"",,""
"1951-09","1951","09","19.1","","11.3","","15.2","","27.2","","2.2","","","M","","M","","M","","M",,"",,""
"1951-10","1951","10","13.0","","4.7","","8.9","","20.0","S","-3.3","","38.6","","0.0","T","38.6","","","M",,"",,""
"1951-11","1951","11","6.5","","-1.1","","2.7","","18.3","","-8.3","S","100.8","","22.9","","123.7","","3","",,"",,""
"1951-12","1951","12","-1.1","","-9.4","","-5.3","","11.1","S","-22.2","","37.8","","84.3","","122.2","","8","",,"",,""
"1952-01","1952","01","-2.2","","-11.3","","-6.8","","7.2","","-22.2","","43.2","","63.2","","106.4","","","M",,"",,""
"1952-02","1952","02","-1.8","","-8.6","","-5.2","","6.7","","-14.4","","15.2","","141.2","","156.5","","","M",,"",,""
"1952-03","1952","03","0.6","","-5.4","","-2.4","","6.7","","-13.3","","47.5","","36.3","","83.8","","0","T",,"",,""
"1952-04","1952","04","8.0","","-0.3","","3.9","","17.8","","-7.2","","84.6","","1.0","","85.6","","","M",,"",,""
"1952-05","1952","05","12.6","","3.9","","8.3","","23.9","","0.0","","133.9","","0.0","T","133.9","","","M",,"",,""
"1952-06","1952","06","19.1","","9.7","","14.4","","26.1","","5.6","","94.5","","0.0","","94.5","","","M",,"",,""
"1952-07","1952","07","25.8","","15.2","","20.5","","31.1","","6.7","","38.9","","0.0","","38.9","","","M",,"",,""
"1952-08","1952","08","24.3","","15.3","","19.8","","31.7","","7.8","","95.5","","0.0","","95.5","","","M",,"",,""
"1952-09","1952","09","19.6","","10.5","","15.1","","26.1","","3.9","","42.9","","0.0","","42.9","","","M",,"",,""
"1952-10","1952","10","13.6","","4.9","","9.3","","23.3","","-2.8","","65.8","","0.0","T","65.8","","","M",,"",,""
"1952-11","1952","11","5.1","","-0.2","","2.5","","15.0","","-7.8","","50.8","","2.3","","53.1","","","M",,"",,""
"1952-12","1952","12","0.6","","-4.6","","-2.0","","7.2","S","-18.3","","24.1","","12.7","","36.8","","","M",,"",,""
"1953-01","1953","01","0.1","","-8.2","","-4.1","","10.6","S","-13.9","","49.5","","19.1","","68.6","","0","T",,"",,""
"1953-02","1953","02","0.2","","-8.1","","-4.0","","9.4","","-18.3","","95.5","","16.8","","112.3","","","M",,"",,""
"1953-03","1953","03","1.9","","-4.7","","-1.4","","9.4","S","-14.4","","24.4","","15.0","","39.4","","","M",,"",,""
"1953-04","1953","04","8.6","","1.2","","4.9","","14.4","","-1.1","S","44.5","","0.0","T","44.5","","","M",,"",,""
"1953-05","1953","05","12.4","","4.6","","8.5","","23.3","","-0.6","","70.1","","0.0","","70.1","","","M",,"",,""
"1953-06","1953","06","19.9","","10.1","","15.0","","31.7","","3.9","S","25.9","","0.0","","25.9","","","M",,"",,""
"1953-07","1953","07","23.7","","14.2","","19.0","","27.8","","10.0","","109.0","","0.0","","109.0","","","M",,"",,""
"1953-08","1953","08","21.9","","12.8","","17.4","","27.8","","4.4","","97.5","","0.0","","97.5","","","M",,"",,""
"1953-09","1953","09","19.4","","11.4","","15.4","","28.3","","2.8","","121.7","","0.0","","121.7","","","M",,"",,""
