"Station Name","SUNDRE GARRINGTON"
"Province","ALBERTA"
"Latitude","51.97"
"Longitude","-114.45"
"Elevation","990.60"
"Climate Identifier","3026259"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1985-01","1985","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-03","1985","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-06","1985","06","20.1","","3.4","","11.8","","28.5","","-2.0","S","42.9","","0.0","","42.9","","0","",,"",,""
"1985-07","1985","07","24.9","","8.2","","16.6","","33.0","","4.0","S","46.8","","0.0","","46.8","","0","",,"",,""
"1985-08","1985","08","19.9","","6.1","","13.0","","29.5","","2.0","S","100.1","","0.0","","100.1","","0","",,"",,""
"1985-09","1985","09","","M","0.9","","","M","","M","-9.0","","101.3","","6.5","","107.8","","0","",,"",,""
"1985-10","1985","10","","M","","M","","M","","M","","M","","M","","M","","M","0","T",,"",,""
"1985-11","1985","11","","M","","M","","M","","M","","M","","M","","M","","M","12","",,"",,""
"1985-12","1985","12","","M","-11.6","E","","M","","M","-33.0","S","0.0","T","24.0","","24.0","","14","",,"",,""
"1986-01","1986","01","","M","-9.4","","","M","","M","-19.5","","0.0","T","1.1","","1.1","","5","",,"",,""
"1986-02","1986","02","","M","-18.8","","","M","","M","-40.0","","0.0","","8.0","","8.0","","0","T",,"",,""
"1986-03","1986","03","6.6","","-5.1","","0.8","","","M","","M","","M","","M","","M","","M",,"",,""
"1986-04","1986","04","9.6","E","-3.4","","3.1","E","26.0","","","M","2.7","","11.6","","14.3","","0","T",,"",,""
"1986-05","1986","05","16.8","E","2.5","","9.7","E","31.5","","-3.0","S","84.1","","31.0","","115.1","","0","",,"",,""
"1986-06","1986","06","20.8","","6.6","","13.7","","32.5","","-0.5","","76.4","","0.0","","76.4","","0","",,"",,""
"1986-07","1986","07","19.8","E","7.1","","13.5","E","26.0","S","2.5","","150.7","","0.0","","150.7","","0","",,"",,""
"1986-08","1986","08","22.2","","6.8","","14.5","","28.5","","0.0","","49.6","","0.0","","49.6","","0","",,"",,""
"1986-09","1986","09","11.6","E","1.7","","6.7","E","19.0","","-4.0","","132.6","","0.4","","133.0","","0","",,"",,""
"1986-10","1986","10","14.2","","-1.0","","6.6","","23.0","","-10.0","","4.0","","0.9","","4.9","","1","",,"",,""
"1986-11","1986","11","0.4","","-13.1","","-6.4","","14.0","","-31.0","","0.0","T","14.0","","14.0","","4","",,"",,""
"1986-12","1986","12","2.4","","-11.5","","-4.6","","9.0","","-21.5","","0.0","T","1.0","","1.0","","3","",,"",,""
"1987-01","1987","01","3.5","","-9.9","","-3.2","","14.5","","-22.0","","0.0","","7.0","","7.0","","1","",,"",,""
"1987-02","1987","02","4.1","","-10.5","","-3.2","","13.0","","-21.5","","0.0","T","12.0","","12.0","","6","",,"",,""
"1987-03","1987","03","2.0","","-8.9","","-3.5","","17.5","","-20.0","S","0.0","T","20.0","","20.0","","0","T",,"",,""
"1987-04","1987","04","14.9","","-2.5","","6.2","","29.5","","-9.0","","5.3","","39.0","","44.3","","0","",,"",,""
"1987-05","1987","05","18.8","","1.6","","10.2","","29.5","","-5.0","","8.2","","1.0","","9.2","","0","",,"",,""
"1987-06","1987","06","22.9","","6.2","","14.6","","28.5","","-0.5","","47.9","","0.0","","47.9","","0","",,"",,""
"1987-07","1987","07","21.3","","8.4","","14.9","","29.5","S","2.5","","109.0","","0.0","","109.0","","0","",,"",,""
"1987-08","1987","08","17.7","","5.7","","11.7","","25.0","","0.0","","80.8","","0.0","","80.8","","0","",,"",,""
"1987-09","1987","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-10","1987","10","14.0","","-2.8","","5.6","","28.5","","-10.5","","9.6","E","1.0","","10.6","E","0","",,"",,""
"1987-11","1987","11","6.4","","-6.4","","0.0","","16.0","","-20.0","","0.0","T","20.0","","20.0","","1","",,"",,""
"1987-12","1987","12","1.6","","-11.7","","-5.1","","10.0","","-26.5","","0.2","","6.0","","6.2","","3","",,"",,""
"1988-01","1988","01","-4.0","","-18.2","","-11.1","","8.5","","-34.5","","0.0","","3.0","","3.0","","2","",,"",,""
"1988-02","1988","02","0.6","","-14.4","","-6.9","","18.5","","-33.0","","0.0","T","11.0","","11.0","","0","T",,"",,""
