"Station Name","SURPRISE"
"Province","SASKATCHEWAN"
"Latitude","50.30"
"Longitude","-109.98"
"Elevation","762.00"
"Climate Identifier","4027960"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1923-01","1923","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-02","1923","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-03","1923","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-04","1923","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-05","1923","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-06","1923","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1923-07","1923","07","","","","","","","","","","","36.8","","0.0","","36.8","","","",,"",,""
"1923-08","1923","08","","","","","","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1923-09","1923","09","","","","","","","","","","","0.5","","0.0","","0.5","","","",,"",,""
"1923-10","1923","10","","","","","","","","","","","14.2","","0.3","","14.5","","","",,"",,""
"1923-11","1923","11","","","","","","","","","","","2.8","","22.9","","25.7","","","",,"",,""
"1923-12","1923","12","","","","","","","","","","","0.0","","10.4","","10.4","","","",,"",,""
"1924-01","1924","01","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1924-02","1924","02","","","","","","","","","","","0.0","","9.4","","9.4","","","",,"",,""
"1924-03","1924","03","","","","","","","","","","","0.0","","21.6","","21.6","","","",,"",,""
"1924-04","1924","04","","","","","","","","","","","2.5","","22.4","","24.9","","","",,"",,""
"1924-05","1924","05","","","","","","","","","","","11.7","","0.0","T","11.7","","","",,"",,""
"1924-06","1924","06","","","","","","","","","","","69.6","","0.0","","69.6","","","",,"",,""
"1924-07","1924","07","","","","","","","","","","","38.1","","0.0","","38.1","","","",,"",,""
"1924-08","1924","08","","","","","","","","","","","26.4","","0.0","","26.4","","","",,"",,""
"1924-09","1924","09","","","","","","","","","","","10.4","","0.0","","10.4","","","",,"",,""
"1924-10","1924","10","","","","","","","","","","","30.7","","0.0","","30.7","","","",,"",,""
"1924-11","1924","11","","","","","","","","","","","1.0","","7.6","","8.6","","","",,"",,""
"1924-12","1924","12","","","","","","","","","","","2.0","","12.7","","14.7","","","",,"",,""
"1925-01","1925","01","","","","","","","","","","","0.0","","15.2","","15.2","","","",,"",,""
"1925-02","1925","02","","","","","","","","","","","0.0","","5.1","","5.1","","","",,"",,""
"1925-03","1925","03","","","","","","","","","","","3.8","","20.3","","24.1","","","",,"",,""
"1925-04","1925","04","","","","","","","","","","","46.7","","8.9","","55.6","","","",,"",,""
"1925-05","1925","05","","","","","","","","","","","24.1","","0.0","","24.1","","","",,"",,""
"1925-06","1925","06","","","","","","","","","","","46.7","","0.0","","46.7","","","",,"",,""
"1925-07","1925","07","","","","","","","","","","","15.2","","0.0","","15.2","","","",,"",,""
"1925-08","1925","08","","","","","","","","","","","44.7","","0.0","","44.7","","","",,"",,""
"1925-09","1925","09","","","","","","","","","","","66.3","","0.0","T","66.3","","","",,"",,""
"1925-10","1925","10","","","","","","","","","","","13.5","","6.4","","19.8","","","",,"",,""
"1925-11","1925","11","","","","","","","","","","","0.0","","3.0","","3.0","","","",,"",,""
"1925-12","1925","12","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1926-01","1926","01","","","","","","","","","","","0.8","","17.8","","18.5","","","",,"",,""
"1926-02","1926","02","","","","","","","","","","","0.0","","14.0","","14.0","","","",,"",,""
"1926-03","1926","03","","","","","","","","","","","4.6","","2.5","","7.1","","","",,"",,""
"1926-04","1926","04","","","","","","","","","","","2.5","","0.3","","2.8","","","",,"",,""
"1926-05","1926","05","","","","","","","","","","","26.9","","0.0","","26.9","","","",,"",,""
"1926-06","1926","06","","","","","","","","","","","18.5","","0.0","","18.5","","","",,"",,""
"1926-07","1926","07","","","","","","","","","","","54.1","","0.0","","54.1","","","",,"",,""
"1926-08","1926","08","","","","","","","","","","","36.6","","0.0","","36.6","","","",,"",,""
"1926-09","1926","09","","","","","","","","","","","16.3","","15.2","","31.5","","","",,"",,""
"1926-10","1926","10","","","","","","","","","","","2.3","","1.3","","3.6","","","",,"",,""
"1926-11","1926","11","","","","","","","","","","","0.0","","25.4","","25.4","","","",,"",,""
"1926-12","1926","12","","","","","","","","","","","0.0","","11.4","","11.4","","","",,"",,""
"1927-01","1927","01","","","","","","","","","","","0.0","","6.4","","6.4","","","",,"",,""
"1927-02","1927","02","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1927-03","1927","03","","","","","","","","","","","0.0","","31.2","","31.2","","","",,"",,""
"1927-04","1927","04","","","","","","","","","","","20.3","","5.1","","25.4","","","",,"",,""
"1927-05","1927","05","","","","","","","","","","","146.3","","0.0","","146.3","","","",,"",,""
"1927-06","1927","06","","","","","","","","","","","68.1","","0.0","","68.1","","","",,"",,""
"1927-07","1927","07","","","","","","","","","","","76.5","","0.0","","76.5","","","",,"",,""
"1927-08","1927","08","","","","","","","","","","","33.0","","0.0","","33.0","","","",,"",,""
"1927-09","1927","09","","","","","","","","","","","21.6","","0.0","","21.6","","","",,"",,""
"1927-10","1927","10","","","","","","","","","","","21.3","","0.5","","21.8","","","",,"",,""
"1927-11","1927","11","","","","","","","","","","","0.0","","47.0","","47.0","","","",,"",,""
"1927-12","1927","12","","","","","","","","","","","0.0","","19.1","","19.1","","","",,"",,""
"1928-01","1928","01","","","","","","","","","","","0.0","","6.4","","6.4","","","",,"",,""
"1928-02","1928","02","","","","","","","","","","","0.0","","7.4","","7.4","","","",,"",,""
"1928-03","1928","03","","","","","","","","","","","0.8","","4.3","","5.1","","","",,"",,""
"1928-04","1928","04","","","","","","","","","","","0.0","","27.9","","27.9","","","",,"",,""
"1928-05","1928","05","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
"1928-06","1928","06","","","","","","","","","","","112.3","","0.0","","112.3","","","",,"",,""
"1928-07","1928","07","","","","","","","","","","","44.5","","0.0","","44.5","","","",,"",,""
"1928-08","1928","08","","","","","","","","","","","24.9","","0.0","","24.9","","","",,"",,""
"1928-09","1928","09","","","","","","","","","","","4.8","","0.0","","4.8","","","",,"",,""
"1928-10","1928","10","","","","","","","","","","","9.1","","5.1","","14.2","","","",,"",,""
"1928-11","1928","11","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1928-12","1928","12","","","","","","","","","","","0.0","","14.0","","14.0","","","",,"",,""
"1929-01","1929","01","","","","","","","","","","","0.0","","17.8","","17.8","","","",,"",,""
"1929-02","1929","02","","","","","","","","","","","0.0","","17.8","","17.8","","","",,"",,""
"1929-03","1929","03","","","","","","","","","","","1.8","","16.5","","18.3","","","",,"",,""
"1929-04","1929","04","","","","","","","","","","","20.3","","43.2","","63.5","","","",,"",,""
"1929-05","1929","05","","","","","","","","","","","32.8","","0.0","","32.8","","","",,"",,""
"1929-06","1929","06","","","","","","","","","","","39.6","","0.0","","39.6","","","",,"",,""
"1929-07","1929","07","","","","","","","","","","","16.0","","0.0","","16.0","","","",,"",,""
