"Station Name","SWAN HILLS"
"Province","ALBERTA"
"Latitude","54.67"
"Longitude","-115.42"
"Elevation","1058.60"
"Climate Identifier","3066297"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1985-01","1985","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-02","1985","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-03","1985","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-06","1985","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-07","1985","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-08","1985","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-09","1985","09","","M","","M","","M","","M","","M","110.2","","10.0","","120.2","","0","",,"",,""
"1985-10","1985","10","6.4","","-2.8","","1.8","","12.5","","-8.0","S","15.0","","44.2","","59.2","","","M",,"",,""
"1985-11","1985","11","-10.4","","-20.8","","-15.6","","11.5","","-38.0","","0.0","","44.5","","44.5","","","M",,"",,""
"1985-12","1985","12","1.0","","-9.1","","-4.1","","","M","-27.5","","2.0","","17.0","","19.0","","","M",,"",,""
"1986-01","1986","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-02","1986","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-03","1986","03","2.7","E","-7.1","E","-2.2","E","12.0","","-20.0","","0.0","","42.0","","42.0","","","M",,"",,""
"1986-04","1986","04","4.1","E","-4.5","","-0.2","E","19.0","","-13.0","S","4.0","","53.0","","57.0","","","M",,"",,""
"1986-05","1986","05","12.6","","1.6","","7.2","","27.0","S","","M","24.0","","2.0","","26.0","","0","",,"",,""
"1986-06","1986","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1986-07","1986","07","15.5","","8.0","","11.8","","24.0","","4.0","S","157.0","","0.0","","157.0","","0","",,"",,""
"1986-08","1986","08","18.9","E","6.4","E","12.7","E","28.0","","1.0","S","43.0","","0.0","","43.0","","0","",,"",,""
"1986-09","1986","09","","M","","M","","M","","M","","M","47.5","","0.0","","47.5","","0","",,"",,""
"1986-10","1986","10","","M","","M","","M","","M","","M","20.2","","11.0","","31.2","","","M",,"",,""
"1986-11","1986","11","-3.3","E","-14.7","","-9.0","E","9.0","","-28.0","","0.0","","32.0","","32.0","","","M",,"",,""
"1986-12","1986","12","0.4","E","-10.6","","-5.1","E","5.0","","-21.0","","1.0","","4.0","","5.0","","","M",,"",,""
"1987-01","1987","01","0.7","","-10.1","","-4.7","","7.5","","-25.0","","1.0","","23.4","","24.4","","41","",,"",,""
"1987-02","1987","02","-0.2","","-10.3","","-5.3","","10.0","","-22.5","","0.0","","17.0","","17.0","","44","",,"",,""
"1987-03","1987","03","-1.4","","-12.4","","-6.9","","10.5","","-25.0","","0.0","T","22.5","","22.5","","","M",,"",,""
"1987-04","1987","04","11.1","","-2.1","","4.5","","24.0","","-7.5","","10.0","","8.0","","18.0","","0","",,"",,""
"1987-05","1987","05","15.3","E","2.1","","8.7","E","25.0","","-5.0","","47.6","","3.0","","50.6","","0","",,"",,""
"1987-06","1987","06","19.6","","7.0","","13.3","","25.0","","2.5","","56.3","","0.0","","56.3","","0","",,"",,""
"1987-07","1987","07","20.8","E","8.3","","14.6","E","28.0","","2.0","","148.2","","0.0","","148.2","","0","",,"",,""
"1987-08","1987","08","15.8","","5.8","","10.8","","23.0","S","1.0","","64.8","","0.0","","64.8","","0","",,"",,""
"1987-09","1987","09","17.7","","4.7","","11.2","","26.0","","-1.0","","46.2","","0.0","","46.2","","0","",,"",,""
"1987-10","1987","10","9.7","","-0.9","","4.4","","26.0","","-10.0","","22.5","","1.0","","23.5","","0","",,"",,""
"1987-11","1987","11","4.6","","-5.1","E","-0.3","E","11.5","","-14.5","","0.0","","2.0","","2.0","","0","",,"",,""
"1987-12","1987","12","-0.9","","-10.0","","-5.5","","6.5","","-24.0","","0.0","T","13.0","","13.0","","","M",,"",,""
"1988-01","1988","01","-7.0","","-16.1","","-11.6","","4.0","","-34.0","","0.0","T","51.5","","51.5","","","M",,"",,""
"1988-02","1988","02","-2.6","E","-15.3","","-9.0","E","13.5","","-41.0","","0.0","T","33.5","","33.5","","","M",,"",,""
"1988-03","1988","03","4.3","","-6.0","","-0.9","","10.5","","-12.0","S","0.2","","31.5","","31.7","","","M",,"",,""
