"Station Name","TABER"
"Province","ALBERTA"
"Latitude","49.79"
"Longitude","-112.12"
"Elevation","811.00"
"Climate Identifier","3036360"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1907-01","1907","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-02","1907","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1907-03","1907","03","0.8","","-9.9","","-4.6","","14.4","","-19.4","","0.0","","15.2","","15.2","","","",,"",,""
"1907-04","1907","04","7.9","","-3.8","","2.1","","19.4","S","-11.1","S","0.0","","19.3","","19.3","","","",,"",,""
"1907-05","1907","05","14.3","","1.5","","7.9","","25.6","","-8.9","","24.4","","0.0","","24.4","","","",,"",,""
"1907-06","1907","06","19.4","","7.4","","13.4","","27.8","","1.7","","58.4","","0.0","","58.4","","","",,"",,""
"1907-07","1907","07","26.2","","9.8","","18.0","","32.2","","5.0","S","24.6","","0.0","","24.6","","","",,"",,""
"1907-08","1907","08","22.7","","7.7","","15.2","","31.7","","2.2","","27.2","","0.0","","27.2","","","",,"",,""
"1907-09","1907","09","17.1","","4.3","","10.7","","29.4","","-2.2","","49.0","","0.0","","49.0","","","",,"",,""
"1907-10","1907","10","15.8","","1.8","","8.8","","26.1","","-5.6","","0.3","","0.0","","0.3","","","",,"",,""
"1907-11","1907","11","6.3","","-3.4","","1.5","","15.6","","-13.3","","0.0","","4.1","","4.1","","","",,"",,""
