"Station Name","TERREBONNE HEIGHTS"
"Province","QUEBEC"
"Latitude","45.75"
"Longitude","-73.63"
"Elevation","53.30"
"Climate Identifier","7018410"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","","","","","","","","","","","M","","M","","M","43","",,"",,""
"1962-02","1962","02","","","","","","","","","","","7.9","","56.1","","64.0","","64","",,"",,""
"1962-03","1962","03","","","","","","","","","","","4.1","","59.2","","63.2","","","M",,"",,""
"1962-04","1962","04","","","","","","","","","","","71.4","","37.6","","109.0","","0","",,"",,""
"1962-05","1962","05","","","","","","","","","","","41.7","","0.0","","41.7","","0","",,"",,""
"1962-06","1962","06","","","","","","","","","","","42.4","","0.0","","42.4","","0","",,"",,""
"1962-07","1962","07","","","","","","","","","","","154.7","","0.0","","154.7","","0","",,"",,""
"1962-08","1962","08","","","","","","","","","","","55.1","","0.0","","55.1","","0","",,"",,""
"1962-09","1962","09","","","","","","","","","","","80.5","","0.0","","80.5","","0","",,"",,""
"1962-10","1962","10","","","","","","","","","","","113.8","","37.3","","151.1","","15","",,"",,""
"1962-11","1962","11","","","","","","","","","","","37.8","","13.2","","51.1","","0","",,"",,""
"1962-12","1962","12","","","","","","","","","","","9.9","","","M","","M","","M",,"",,""
"1963-01","1963","01","","","","","","","","","","","4.1","","32.3","","36.3","","51","",,"",,""
"1963-02","1963","02","","","","","","","","","","","0.0","","77.7","","77.7","","89","",,"",,""
"1963-03","1963","03","","","","","","","","","","","23.6","","49.8","","73.4","","56","",,"",,""
"1963-04","1963","04","","","","","","","","","","","81.5","","7.4","","88.9","","0","",,"",,""
"1963-05","1963","05","","","","","","","","","","","44.5","","17.3","","61.7","","0","",,"",,""
"1963-06","1963","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1963-07","1963","07","","","","","","","","","","","83.1","","0.0","","83.1","","0","",,"",,""
"1963-08","1963","08","","","","","","","","","","","182.4","","0.0","","182.4","","0","",,"",,""
"1963-09","1963","09","","","","","","","","","","","128.8","","0.0","","128.8","","0","",,"",,""
"1963-10","1963","10","","","","","","","","","","","16.0","","0.0","T","16.0","","0","",,"",,""
"1963-11","1963","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1963-12","1963","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
