"Station Name","THE PAS"
"Province","MANITOBA"
"Latitude","53.82"
"Longitude","-101.25"
"Elevation","271.30"
"Climate Identifier","5052864"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1910-01","1910","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1910-02","1910","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1910-03","1910","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1910-04","1910","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1910-05","1910","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1910-06","1910","06","23.1","","10.6","","16.9","","30.0","","-1.1","","64.8","","0.0","","64.8","","","",,"",,""
"1910-07","1910","07","23.9","","12.4","","18.2","","29.4","","7.8","","66.0","","0.0","","66.0","","","",,"",,""
"1910-08","1910","08","20.2","","7.8","","14.0","","26.7","S","-1.1","","83.1","","0.0","","83.1","","","",,"",,""
"1910-09","1910","09","14.2","","2.6","","8.4","","24.4","","-4.4","","49.5","","5.1","","54.6","","","",,"",,""
"1910-10","1910","10","9.2","","-0.2","","4.5","","23.3","","-7.2","S","14.5","","0.0","T","14.5","","","",,"",,""
"1910-11","1910","11","-7.3","","-12.4","","-9.9","","-2.8","S","-19.4","","0.0","","33.3","","33.3","","","",,"",,""
"1910-12","1910","12","-11.5","","-22.4","","-17.0","","2.2","S","-43.3","","0.0","","5.3","","5.3","","","",,"",,""
"1911-01","1911","01","-24.3","","-35.6","","-30.0","","-7.8","","-44.4","","0.0","","10.2","","10.2","","","",,"",,""
"1911-02","1911","02","-11.8","","-23.9","","-17.9","","3.9","","-41.1","","0.0","","5.1","","5.1","","","",,"",,""
