"Station Name","TIDE HEAD"
"Province","NEW BRUNSWICK"
"Latitude","47.97"
"Longitude","-66.77"
"Elevation","18.30"
"Climate Identifier","8105302"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-07","1972","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-08","1972","08","21.4","","9.9","","15.7","","27.2","","3.9","","70.1","","0.0","","70.1","","","M",,"",,""
"1972-09","1972","09","18.6","","6.2","","12.4","","28.9","","-1.1","S","138.4","","0.0","","138.4","","","M",,"",,""
"1972-10","1972","10","8.8","","-0.4","","4.2","","22.8","","-11.1","","76.2","E","12.7","","88.9","E","","M",,"",,""
"1972-11","1972","11","1.0","","-6.3","","-2.7","","6.7","","-18.3","","","M","","M","","M","13","",,"",,""
"1972-12","1972","12","-7.8","","-19.0","","-13.4","","3.9","","-29.4","","14.0","E","137.2","","151.1","E","97","",,"",,""
"1973-01","1973","01","-6.6","","-16.3","","-11.5","","3.3","","-30.0","S","30.5","E","54.6","","85.1","E","107","",,"",,""
"1973-02","1973","02","-5.1","","-15.5","","-10.3","","9.4","","-30.0","","19.1","E","53.3","","72.4","E","130","",,"",,""
"1973-03","1973","03","2.0","","-8.5","","-3.3","","12.2","","-25.0","","","M","25.4","","","M","51","",,"",,""
"1973-04","1973","04","6.1","","-2.2","","2.0","","18.9","","-12.2","S","82.3","","55.9","","138.2","","0","",,"",,""
"1973-05","1973","05","12.8","","3.4","","8.1","","22.2","","-2.2","","162.3","","0.0","","162.3","","0","",,"",,""
"1973-06","1973","06","23.4","","11.1","","17.3","","30.6","","1.1","S","53.8","","0.0","","53.8","","0","",,"",,""
"1973-07","1973","07","26.7","","14.6","","20.7","","31.1","S","8.3","S","115.3","","0.0","","115.3","","0","",,"",,""
"1973-08","1973","08","23.3","","13.5","","18.4","","30.6","","3.9","","109.2","","0.0","","109.2","","0","",,"",,""
"1973-09","1973","09","16.9","","5.9","","11.4","","27.2","","-2.8","","113.8","","0.0","","113.8","","0","",,"",,""
"1973-10","1973","10","11.2","","0.8","","6.0","","22.8","","-8.9","","72.4","","0.0","","72.4","","0","",,"",,""
"1973-11","1973","11","1.4","","-4.8","","-1.7","","12.8","","-15.0","","16.0","","48.3","","64.3","","10","",,"",,""
"1973-12","1973","12","-0.5","","-9.4","","-5.0","","8.9","","-18.3","","","M","","M","","M","69","",,"",,""
"1974-01","1974","01","-9.2","","-21.2","","-15.2","","5.6","","-34.4","","","M","","M","","M","84","",,"",,""
"1974-02","1974","02","-6.2","","-18.1","","-12.2","","1.7","","-24.4","","5.1","","54.6","","59.7","","114","",,"",,""
"1974-03","1974","03","-0.9","","-11.9","","-6.4","","12.8","","-28.3","","18.8","","81.3","","100.1","","94","",,"",,""
"1974-04","1974","04","4.7","","-3.7","","0.5","","18.3","","-16.7","","53.3","","53.3","","106.7","","30","",,"",,""
"1974-05","1974","05","10.7","","0.9","","5.8","","18.3","","-6.7","","111.3","","0.0","T","111.3","","0","",,"",,""
"1974-06","1974","06","23.1","","9.5","","16.3","","31.1","S","0.6","","94.7","","0.0","","94.7","","0","",,"",,""
"1974-07","1974","07","23.8","","12.4","","18.1","","32.2","","5.0","","137.7","","0.0","","137.7","","0","",,"",,""
"1974-08","1974","08","22.9","","10.3","","16.6","","31.1","","4.4","","163.8","E","0.0","","163.8","E","0","",,"",,""
"1974-09","1974","09","16.2","","4.9","","10.6","","26.1","","-3.9","","138.2","","0.0","","138.2","","0","",,"",,""
"1974-10","1974","10","7.7","","-0.7","","3.5","","18.9","","-7.8","","96.3","","2.5","","98.8","","0","",,"",,""
"1974-11","1974","11","3.6","","-3.2","","0.2","","13.3","","-17.2","","44.5","","91.4","","135.9","","","M",,"",,""
"1974-12","1974","12","-2.2","","-11.4","","-6.8","","5.0","","-21.1","S","","M","","M","","M","71","",,"",,""
