"Station Name","TOR SCARBOROUGH COLLEGE"
"Province","ONTARIO"
"Latitude","43.78"
"Longitude","-79.18"
"Elevation","129.50"
"Climate Identifier","61587P6"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-02","1972","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-03","1972","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-05","1972","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-06","1972","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-07","1972","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-08","1972","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-09","1972","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-10","1972","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-11","1972","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1972-12","1972","12","1.2","","-6.6","","-2.7","","10.0","","-15.0","S","84.8","","33.0","","117.9","","","",,"",,""
"1973-01","1973","01","-0.1","","-8.0","","-4.1","","11.1","","-22.2","","38.1","","4.6","","42.7","","","M",,"",,""
"1973-02","1973","02","-1.9","","-10.8","","-6.4","","6.1","","-22.2","","5.8","","26.7","","32.5","","","M",,"",,""
"1973-03","1973","03","7.3","","-0.4","","3.5","","20.6","","-9.4","","128.5","","7.6","","136.1","","","M",,"",,""
"1973-04","1973","04","11.0","","2.0","","6.5","","23.3","","-5.6","","67.8","","1.3","","69.1","","","M",,"",,""
"1973-05","1973","05","15.2","","6.4","","10.8","","22.8","","1.7","","107.4","","0.0","","107.4","","0","",,"",,""
"1973-06","1973","06","23.6","","13.3","","18.5","","33.9","","6.7","","60.5","","0.0","","60.5","","0","",,"",,""
"1973-07","1973","07","27.1","","15.3","","21.2","","34.4","","10.0","S","59.9","","0.0","","59.9","","0","",,"",,""
"1973-08","1973","08","27.9","","16.8","","22.4","","35.0","S","9.4","S","34.0","","0.0","","34.0","","0","",,"",,""
"1973-09","1973","09","21.9","","10.3","","16.1","","32.2","S","0.0","S","42.2","","0.0","","42.2","","0","",,"",,""
"1973-10","1973","10","15.6","","6.4","","11.0","","21.1","S","0.0","S","121.7","","0.0","","121.7","","0","",,"",,""
"1973-11","1973","11","7.4","","1.4","","4.4","","16.1","","-6.7","","80.5","","2.8","","83.3","","","M",,"",,""
"1973-12","1973","12","-0.3","","-6.1","","-3.2","","14.4","","-18.9","","47.5","","48.0","","95.5","","","M",,"",,""
"1974-01","1974","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-02","1974","02","-2.8","","-11.9","","-7.4","","9.4","","-20.0","S","32.3","","23.1","","55.4","","","M",,"",,""
"1974-03","1974","03","3.2","","-4.0","","-0.4","","18.3","","-16.7","","35.8","","15.0","","50.8","","","M",,"",,""
"1974-04","1974","04","13.2","","2.3","","7.8","","26.1","","-6.7","","79.2","","0.0","T","79.2","","","M",,"",,""
"1974-05","1974","05","15.4","","5.9","","10.7","","27.2","","-2.8","S","117.6","","0.0","","117.6","","0","",,"",,""
"1974-06","1974","06","21.4","","11.7","","16.6","","28.3","","7.2","S","99.6","","0.0","","99.6","","0","",,"",,""
"1974-07","1974","07","26.9","","15.4","","21.2","","34.4","","10.0","","18.0","","0.0","","18.0","","0","",,"",,""
"1974-08","1974","08","25.7","","14.6","","20.2","","30.6","","10.0","S","50.0","","0.0","","50.0","","0","",,"",,""
"1974-09","1974","09","19.6","","9.2","","14.4","","27.2","","-1.7","","63.8","","0.0","","63.8","","0","",,"",,""
"1974-10","1974","10","12.5","","2.1","","7.3","","22.2","","-5.6","","36.8","","0.0","T","36.8","","","M",,"",,""
"1974-11","1974","11","6.4","","0.2","","3.3","","22.8","","-11.1","","64.3","","6.4","","70.6","","","M",,"",,""
"1974-12","1974","12","2.4","","-3.7","","-0.7","","7.8","","-12.2","","32.0","","22.4","","54.4","","","M",,"",,""
"1975-01","1975","01","0.9","","-8.2","","-3.7","","12.2","","-23.9","","34.5","","26.9","","61.5","","","M",,"",,""
"1975-02","1975","02","-0.1","","-7.4","","-3.8","","9.4","","-16.7","","57.9","","21.6","","79.5","","","M",,"",,""
"1975-03","1975","03","1.8","","-6.9","","-2.6","","7.8","","-19.4","","65.0","","26.2","","91.2","","","M",,"",,""
"1975-04","1975","04","7.3","","-1.2","","3.1","","17.8","","-8.9","S","61.0","","22.9","","83.8","","0","",,"",,""
"1975-05","1975","05","20.9","","9.8","","15.4","","29.4","S","5.0","S","88.1","","0.0","","88.1","","0","",,"",,""
"1975-06","1975","06","23.1","","12.9","","18.0","","31.7","","5.6","","78.2","","0.0","","78.2","","0","",,"",,""
"1975-07","1975","07","27.6","","16.2","","21.9","","34.4","","9.4","S","55.6","","0.0","","55.6","","0","",,"",,""
"1975-08","1975","08","25.6","","14.9","","20.3","","33.9","","7.8","","105.7","","0.0","","105.7","","0","",,"",,""
