"Station Name","TORONTO DEER PARK"
"Province","ONTARIO"
"Latitude","43.68"
"Longitude","-79.38"
"Elevation","143.60"
"Climate Identifier","6158417"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1890-01","1890","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-02","1890","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-03","1890","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-04","1890","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-05","1890","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-06","1890","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-07","1890","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-08","1890","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1890-09","1890","09","","","","","","","","","","","48.0","","0.0","","48.0","","","",,"",,""
"1890-10","1890","10","","","","","","","","","","","119.6","","0.0","","119.6","","","",,"",,""
"1890-11","1890","11","","","","","","","","","","","79.2","","3.3","","82.6","","","",,"",,""
"1890-12","1890","12","","","","","","","","","","","0.0","","36.6","","36.6","","","",,"",,""
"1891-01","1891","01","","","","","","","","","","","65.0","","37.6","","102.6","","","",,"",,""
"1891-02","1891","02","","","","","","","","","","","33.0","","19.1","","52.1","","","",,"",,""
"1891-03","1891","03","","","","","","","","","","","41.4","","22.4","","63.8","","","",,"",,""
"1891-04","1891","04","","","","","","","","","","","53.8","","0.0","","53.8","","","",,"",,""
"1891-05","1891","05","","","","","","","","","","","11.9","","0.0","","11.9","","","",,"",,""
"1891-06","1891","06","","","","","","","","","","","72.1","","0.0","","72.1","","","",,"",,""
"1891-07","1891","07","","","","","","","","","","","64.5","","0.0","","64.5","","","",,"",,""
"1891-08","1891","08","","","","","","","","","","","115.1","","0.0","","115.1","","","",,"",,""
"1891-09","1891","09","","","","","","","","","","","46.7","","0.0","","46.7","","","",,"",,""
"1891-10","1891","10","","","","","","","","","","","42.2","","0.0","","42.2","","","",,"",,""
"1891-11","1891","11","","","","","","","","","","","75.7","","6.6","","82.3","","","",,"",,""
"1891-12","1891","12","","","","","","","","","","","61.2","","7.6","","68.8","","","",,"",,""
"1892-01","1892","01","","","","","","","","","","","0.0","","19.8","","19.8","","","",,"",,""
"1892-02","1892","02","","","","","","","","","","","50.8","","29.5","","80.3","","","",,"",,""
"1892-03","1892","03","","","","","","","","","","","38.1","","3.3","","41.4","","","",,"",,""
"1892-04","1892","04","","","","","","","","","","","30.7","","0.0","T","30.7","","","",,"",,""
"1892-05","1892","05","","","","","","","","","","","81.3","","0.0","","81.3","","","",,"",,""
"1892-06","1892","06","","","","","","","","","","","116.6","","0.0","","116.6","","","",,"",,""
"1892-07","1892","07","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1892-08","1892","08","","","","","","","","","","","104.9","","0.0","","104.9","","","",,"",,""
"1892-09","1892","09","","","","","","","","","","","92.5","","0.0","","92.5","","","",,"",,""
"1892-10","1892","10","","","","","","","","","","","24.4","","0.0","","24.4","","","",,"",,""
"1892-11","1892","11","","","","","","","","","","","51.6","","9.7","","61.2","","","",,"",,""
"1892-12","1892","12","","","","","","","","","","","24.4","","2.8","","27.2","","","",,"",,""
"1893-01","1893","01","","","","","","","","","","","29.7","","61.5","","91.2","","","",,"",,""
"1893-02","1893","02","","","","","","","","","","","45.2","","49.3","","94.5","","","",,"",,""
"1893-03","1893","03","","","","","","","","","","","35.6","","5.3","","40.9","","","",,"",,""
"1893-04","1893","04","","","","","","","","","","","99.6","","15.2","","114.8","","","",,"",,""
"1893-05","1893","05","","","","","","","","","","","94.7","","0.0","","94.7","","","",,"",,""
"1893-06","1893","06","","","","","","","","","","","57.4","","0.0","","57.4","","","",,"",,""
"1893-07","1893","07","","","","","","","","","","","39.1","","0.0","","39.1","","","",,"",,""
"1893-08","1893","08","","","","","","","","","","","150.9","","0.0","","150.9","","","",,"",,""
"1893-09","1893","09","","","","","","","","","","","30.0","","0.0","","30.0","","","",,"",,""
"1893-10","1893","10","","","","","","","","","","","100.3","","0.0","","100.3","","","",,"",,""
"1893-11","1893","11","","","","","","","","","","","77.0","","7.6","","77.0","","","",,"",,""
"1893-12","1893","12","","","","","","","","","","","80.8","","35.8","","116.6","","","",,"",,""
"1894-01","1894","01","","","","","","","","","","","20.8","","13.5","","34.3","","","",,"",,""
"1894-02","1894","02","","","","","","","","","","","26.7","","23.9","","50.5","","","",,"",,""
"1894-03","1894","03","","","","","","","","","","","","M","2.0","","","M","","",,"",,""
"1894-04","1894","04","","","","","","","","","","","8.1","","8.4","","16.5","","","",,"",,""
"1894-05","1894","05","","","","","","","","","","","218.2","","0.0","","218.2","","","",,"",,""
"1894-06","1894","06","","","","","","","","","","","34.5","","0.0","","34.5","","","",,"",,""
"1894-07","1894","07","","","","","","","","","","","42.4","","0.0","","42.4","","","",,"",,""
"1894-08","1894","08","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
"1894-09","1894","09","","","","","","","","","","","110.7","","0.0","","110.7","","","",,"",,""
"1894-10","1894","10","","","","","","","","","","","64.8","","0.0","","64.8","","","",,"",,""
"1894-11","1894","11","","","","","","","","","","","7.1","","4.6","","11.7","","","",,"",,""
"1894-12","1894","12","","","","","","","","","","","0.3","","0.8","","1.0","","","",,"",,""
"1895-01","1895","01","","","","","","","","","","","41.7","","77.2","","118.9","","","",,"",,""
"1895-02","1895","02","","","","","","","","","","","0.0","T","4.3","","4.3","","","",,"",,""
"1895-03","1895","03","","","","","","","","","","","11.4","","4.6","","16.0","","","",,"",,""
"1895-04","1895","04","","","","","","","","","","","25.7","","1.3","","26.9","","","",,"",,""
"1895-05","1895","05","","","","","","","","","","","60.2","","0.0","","60.2","","","",,"",,""
"1895-06","1895","06","","","","","","","","","","","21.8","","0.0","","21.8","","","",,"",,""
"1895-07","1895","07","","","","","","","","","","","63.2","","0.0","","63.2","","","",,"",,""
"1895-08","1895","08","","","","","","","","","","","67.1","","0.0","","67.1","","","",,"",,""
"1895-09","1895","09","","","","","","","","","","","71.9","","0.0","","71.9","","","",,"",,""
"1895-10","1895","10","","","","","","","","","","","19.1","","2.0","","21.1","","","",,"",,""
"1895-11","1895","11","","","","","","","","","","","104.4","","2.8","","107.2","","","",,"",,""
