"Station Name","TOTTENHAM"
"Province","ONTARIO"
"Latitude","44.03"
"Longitude","-79.82"
"Elevation","250.90"
"Climate Identifier","6118848"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1971-01","1971","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-06","1971","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-07","1971","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-08","1971","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-09","1971","09","22.7","","11.9","","17.3","","31.1","","2.2","","18.0","","0.0","","18.0","","0","",,"",,""
"1971-10","1971","10","18.3","","7.5","","12.9","","29.4","","1.1","","26.9","","0.0","","26.9","","0","",,"",,""
"1971-11","1971","11","5.8","","-1.6","","2.1","","18.9","","-13.3","","14.5","","25.4","","39.9","","10","",,"",,""
"1971-12","1971","12","2.3","","-5.8","","-1.8","","15.0","","-18.9","","57.2","","34.5","","91.7","","23","",,"",,""
"1972-01","1972","01","-1.6","","-11.1","","-6.4","","6.7","","-27.2","","5.3","","30.7","","36.1","","8","",,"",,""
"1972-02","1972","02","-3.4","","-13.3","","-8.4","","4.4","","-23.3","","1.3","","59.2","","60.5","","33","",,"",,""
"1972-03","1972","03","-0.8","","-9.7","","-5.3","","7.2","","-21.7","","11.2","","57.9","","69.1","","30","",,"",,""
"1972-04","1972","04","7.6","","-3.1","","2.3","","21.1","S","-21.7","","27.4","","12.7","","40.1","","0","",,"",,""
"1972-05","1972","05","20.6","","6.2","","13.4","","28.9","","-1.1","","63.5","","0.0","","63.5","","0","",,"",,""
"1972-06","1972","06","21.4","","9.6","","15.5","","28.9","S","0.6","","98.8","","0.0","","98.8","","0","",,"",,""
"1972-07","1972","07","26.3","","13.7","","20.0","","32.8","","3.3","","29.2","","0.0","","29.2","","0","",,"",,""
"1972-08","1972","08","24.3","","12.8","","18.6","","30.6","","3.9","","57.9","","0.0","","57.9","","0","",,"",,""
"1972-09","1972","09","21.6","","10.0","","15.8","","29.4","","0.6","","32.3","","0.0","","32.3","","0","",,"",,""
"1972-10","1972","10","11.0","","1.7","","6.4","","22.2","","-7.2","","99.6","","0.0","T","99.6","","0","",,"",,""
"1972-11","1972","11","3.5","","-1.9","","0.8","","11.1","","-10.0","","43.2","","17.3","","60.5","","0","T",,"",,""
"1972-12","1972","12","-0.2","","-7.2","","-3.7","","8.3","","-16.7","","47.0","","76.2","","123.2","","15","",,"",,""
"1973-01","1973","01","-1.2","","-8.8","","-5.0","","10.0","","-24.4","S","16.8","","9.4","","26.2","","5","",,"",,""
"1973-02","1973","02","-2.7","","-14.3","","-8.5","","6.7","","-27.8","","17.3","","27.7","","45.0","","8","",,"",,""
"1973-03","1973","03","6.9","","-1.4","","2.8","","19.4","","-9.4","S","72.9","","21.3","","94.2","","0","T",,"",,""
"1973-04","1973","04","11.7","","1.1","","6.4","","27.2","","-8.3","","57.9","","7.4","","65.3","","","M",,"",,""
"1973-05","1973","05","15.9","","5.6","","10.8","","22.2","","-1.7","S","84.6","","0.0","","84.6","","0","",,"",,""
"1973-06","1973","06","24.6","","13.2","","18.9","","31.7","","6.1","","65.3","","0.0","","65.3","","0","",,"",,""
"1973-07","1973","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-08","1973","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-09","1973","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-10","1973","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-11","1973","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1974-01","1974","01","","","","","","","","","","","","","","","","","","",,"",,""
"1974-02","1974","02","","","","","","","","","","","","","","","","","","",,"",,""
"1974-03","1974","03","","","","","","","","","","","","","","","","","","",,"",,""
"1974-04","1974","04","","","","","","","","","","","","","","","","","","",,"",,""
"1974-05","1974","05","","","","","","","","","","","","","","","","","","",,"",,""
"1974-06","1974","06","","","","","","","","","","","","","","","","","","",,"",,""
"1974-07","1974","07","","","","","","","","","","","","","","","","","","",,"",,""
