"Station Name","TRENTON MOE"
"Province","ONTARIO"
"Latitude","44.12"
"Longitude","-77.57"
"Elevation","76.20"
"Climate Identifier","6158888"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1960-01","1960","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-02","1960","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-03","1960","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-04","1960","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-05","1960","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-06","1960","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-07","1960","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-08","1960","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-09","1960","09","22.2","","12.3","","17.3","","29.4","","0.6","","11.9","","0.0","","11.9","","","",,"",,""
"1960-10","1960","10","15.7","","4.3","","10.0","","22.8","","-6.1","","","M","0.0","","","M","","",,"",,""
"1960-11","1960","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1960-12","1960","12","-0.7","","-9.5","","-5.1","","11.1","","-23.9","S","5.1","","45.2","","50.3","","","",,"",,""
"1961-01","1961","01","-4.8","","-15.6","","-10.2","","6.1","","-26.1","S","0.0","","22.1","","22.1","","","M",,"",,""
"1961-02","1961","02","0.6","","-8.2","","-3.8","","6.1","","-23.9","","67.6","","7.9","","75.4","","","M",,"",,""
"1961-03","1961","03","3.2","","-4.4","","-0.6","","15.0","","-17.8","","51.6","","27.7","","79.2","","","M",,"",,""
"1961-04","1961","04","9.1","","1.4","","5.3","","16.7","","-3.9","","","M","21.8","","","M","","M",,"",,""
"1961-05","1961","05","16.9","","6.1","","11.5","","25.6","","-1.1","","93.2","","0.0","T","93.2","","","M",,"",,""
"1961-06","1961","06","21.3","","11.8","","16.6","","27.2","","5.6","","82.6","","0.0","","82.6","","","M",,"",,""
"1961-07","1961","07","24.9","","15.8","","20.4","","30.6","","7.8","","89.2","","0.0","","89.2","","","M",,"",,""
"1961-08","1961","08","24.6","","15.2","","19.9","","28.3","S","6.7","","48.3","","0.0","","48.3","","","M",,"",,""
"1961-09","1961","09","24.7","","14.3","","19.5","","29.4","S","2.8","","29.2","","0.0","","29.2","","","M",,"",,""
"1961-10","1961","10","16.9","","6.8","","11.9","","24.4","","-2.2","","25.7","","0.0","","25.7","","","M",,"",,""
