"Station Name","TRENTON ONT HYDRO"
"Province","ONTARIO"
"Latitude","44.13"
"Longitude","-77.60"
"Elevation","88.40"
"Climate Identifier","6158885"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1915-01","1915","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-02","1915","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-03","1915","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-04","1915","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-05","1915","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-06","1915","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1915-07","1915","07","","","","","","","","","","","71.6","","0.0","","71.6","","","",,"",,""
"1915-08","1915","08","","","","","","","","","","","205.7","","0.0","","205.7","","","",,"",,""
"1915-09","1915","09","","","","","","","","","","","41.9","","0.0","","41.9","","","",,"",,""
"1915-10","1915","10","","","","","","","","","","","44.5","","0.0","","44.5","","","",,"",,""
"1915-11","1915","11","","","","","","","","","","","48.0","","0.0","T","48.0","","","",,"",,""
"1915-12","1915","12","","","","","","","","","","","37.3","","58.2","","95.5","","","",,"",,""
"1916-01","1916","01","","","","","","","","","","","119.9","","46.0","","165.9","","","",,"",,""
"1916-02","1916","02","","","","","","","","","","","10.7","","61.0","","71.6","","","",,"",,""
"1916-03","1916","03","","","","","","","","","","","19.1","","25.4","","44.5","","","",,"",,""
"1916-04","1916","04","","","","","","","","","","","63.0","","0.0","T","63.0","","","",,"",,""
"1916-05","1916","05","","","","","","","","","","","72.4","","0.0","","72.4","","","",,"",,""
"1916-06","1916","06","","","","","","","","","","","166.9","","0.0","","166.9","","","",,"",,""
"1916-07","1916","07","","","","","","","","","","","24.6","","0.0","","24.6","","","",,"",,""
"1916-08","1916","08","","","","","","","","","","","47.0","","0.0","","47.0","","","",,"",,""
"1916-09","1916","09","","","","","","","","","","","32.0","","0.0","","32.0","","","",,"",,""
"1916-10","1916","10","","","","","","","","","","","60.7","","0.0","","60.7","","","",,"",,""
"1916-11","1916","11","","","","","","","","","","","50.5","","6.6","","57.2","","","",,"",,""
"1916-12","1916","12","","","","","","","","","","","41.1","","1.5","","42.7","","","",,"",,""
"1917-01","1917","01","","","","","","","","","","","63.5","","48.3","","111.8","","","",,"",,""
"1917-02","1917","02","","","","","","","","","","","24.4","","35.6","","59.9","","","",,"",,""
"1917-03","1917","03","","","","","","","","","","","57.9","","30.5","","88.4","","","",,"",,""
"1917-04","1917","04","","","","","","","","","","","95.3","","12.7","","108.0","","","",,"",,""
"1917-05","1917","05","","","","","","","","","","","74.7","","0.0","","74.7","","","",,"",,""
"1917-06","1917","06","","","","","","","","","","","78.5","","0.0","","78.5","","","",,"",,""
"1917-07","1917","07","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1917-08","1917","08","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1917-09","1917","09","","","","","","","","","","","21.6","","0.0","","21.6","","","",,"",,""
"1917-10","1917","10","","","","","","","","","","","134.1","","0.0","","134.1","","","",,"",,""
"1917-11","1917","11","","","","","","","","","","","24.9","","19.1","","43.9","","","",,"",,""
"1917-12","1917","12","","","","","","","","","","","5.1","","54.6","","59.7","","","",,"",,""
"1918-01","1918","01","","","","","","","","","","","0.0","","96.5","","96.5","","","",,"",,""
