"Station Name","TROCHU WIMBORNE"
"Province","ALBERTA"
"Latitude","51.85"
"Longitude","-113.45"
"Elevation","891.50"
"Climate Identifier","3026550"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1950-01","1950","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-02","1950","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-03","1950","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-04","1950","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-05","1950","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-06","1950","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-07","1950","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-08","1950","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1950-09","1950","09","","","","","","","","","","","6.4","","5.1","","11.4","","","M",,"",,""
"1950-10","1950","10","","","","","","","","","","","30.5","","35.6","","66.0","","","M",,"",,""
"1950-11","1950","11","","","","","","","","","","","0.0","","3.0","","3.0","","3","",,"",,""
"1950-12","1950","12","","","","","","","","","","","0.0","","17.0","","17.0","","10","",,"",,""
"1951-01","1951","01","","","","","","","","","","","0.0","","41.1","","41.1","","51","",,"",,""
"1951-02","1951","02","","","","","","","","","","","0.0","","34.8","","34.8","","84","",,"",,""
"1951-03","1951","03","","","","","","","","","","","0.0","","19.1","","19.1","","25","",,"",,""
"1951-04","1951","04","","","","","","","","","","","51.8","","5.1","","56.9","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","37.3","","0.0","T","37.3","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","68.1","","0.0","","68.1","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","46.0","","0.0","","46.0","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","73.4","","0.0","","73.4","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1951-11","1951","11","","","","","","","","","","","1.3","","5.3","","6.6","","","M",,"",,""
"1951-12","1951","12","","","","","","","","","","","12.7","","14.2","","26.9","","23","",,"",,""
"1952-01","1952","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-02","1952","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-03","1952","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-04","1952","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-05","1952","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-06","1952","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-07","1952","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-08","1952","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1952-09","1952","09","","","","","","","","","","","14.7","","0.0","","14.7","","","",,"",,""
"1952-10","1952","10","","","","","","","","","","","16.5","","0.0","","16.5","","","",,"",,""
"1952-11","1952","11","","","","","","","","","","","0.0","","2.5","","2.5","","","",,"",,""
"1952-12","1952","12","","","","","","","","","","","0.0","","0.0","","0.0","","","",,"",,""
"1953-01","1953","01","","M","","M","","M","","M","","M","0.0","","23.4","","23.4","","15","",,"",,""
"1953-02","1953","02","","M","","M","","M","","M","","M","2.5","","11.2","","13.7","","0","T",,"",,""
"1953-03","1953","03","","M","","M","","M","","M","","M","0.0","","38.1","","38.1","","8","",,"",,""
"1953-04","1953","04","","M","","M","","M","","M","","M","30.7","","10.9","","41.7","","","M",,"",,""
"1953-05","1953","05","","M","","M","","M","","M","","M","49.5","","0.0","T","49.5","","","M",,"",,""
"1953-06","1953","06","","M","","M","","M","","M","","M","92.2","","0.0","","92.2","","","M",,"",,""
"1953-07","1953","07","","M","","M","","M","","M","","M","71.9","","0.0","","71.9","","","M",,"",,""
"1953-08","1953","08","","M","","M","","M","","M","","M","56.4","","0.0","","56.4","","","M",,"",,""
"1953-09","1953","09","","M","","M","","M","","M","","M","10.9","","0.0","","10.9","","","M",,"",,""
"1953-10","1953","10","","M","","M","","M","","M","","M","0.0","T","0.0","T","0.0","T","","M",,"",,""
"1953-11","1953","11","7.2","","-7.2","","0.0","","15.0","","-17.2","","0.3","","0.0","T","0.3","","","M",,"",,""
"1953-12","1953","12","2.1","","-11.4","","-4.7","","11.7","","-22.2","","3.3","","9.1","","12.4","","3","",,"",,""
"1954-01","1954","01","-16.4","","-27.2","","-21.8","","7.2","","-43.9","","0.0","","20.1","","20.1","","8","",,"",,""
"1954-02","1954","02","2.4","","-8.3","","-3.0","","16.1","","-27.8","","0.0","T","27.2","","27.2","","10","",,"",,""
"1954-03","1954","03","-2.7","","-14.4","","-8.6","","7.2","","-27.2","","0.0","","36.1","","36.1","","10","",,"",,""
"1954-04","1954","04","0.6","","-9.9","","-4.7","","19.4","","-35.0","","0.8","","58.4","","59.2","","13","",,"",,""
"1954-05","1954","05","14.1","","2.1","","8.1","","25.6","","-15.6","","59.7","","0.0","","59.7","","","M",,"",,""
"1954-06","1954","06","17.0","","6.3","","11.7","","23.9","","1.1","","60.5","","0.0","","60.5","","","M",,"",,""
"1954-07","1954","07","23.5","","7.8","","15.7","","31.1","","2.8","","23.6","","0.0","","23.6","","","M",,"",,""
"1954-08","1954","08","18.6","","9.2","","13.9","","25.6","","4.4","","190.8","","0.0","","190.8","","","M",,"",,""
"1954-09","1954","09","15.4","","2.8","","9.1","","23.3","","-11.7","","26.4","","3.0","","29.5","","0","T",,"",,""
"1954-10","1954","10","11.9","","-4.3","","3.8","","22.2","","-11.1","","0.8","","3.8","","4.6","","","M",,"",,""
"1954-11","1954","11","8.7","","-5.4","","1.7","","19.4","","-10.6","","0.0","T","5.8","","5.8","","5","",,"",,""
"1954-12","1954","12","1.4","","-12.1","","-5.4","","15.6","","-30.0","","0.0","","4.1","","4.1","","0","T",,"",,""
"1955-01","1955","01","-3.6","","-15.7","","-9.7","","3.9","","-27.8","","2.5","","16.0","","18.5","","8","",,"",,""
"1955-02","1955","02","-6.1","","-19.1","","-12.6","","6.7","S","-35.6","","0.0","","17.0","","17.0","","","M",,"",,""
"1955-03","1955","03","-4.0","","-15.5","","-9.8","","13.3","","-34.4","","0.0","T","32.3","","32.3","","","M",,"",,""
"1955-04","1955","04","8.2","","-2.6","","2.8","","20.0","","-7.8","","0.0","","41.7","","41.7","","","M",,"",,""
"1955-05","1955","05","14.1","","1.7","","7.9","","27.8","","-5.0","","30.0","","0.0","T","30.0","","","M",,"",,""
"1955-06","1955","06","21.4","","5.2","","13.3","","27.8","","0.0","","30.0","","0.0","","30.0","","","M",,"",,""
