"Station Name","TRURO"
"Province","NOVA SCOTIA"
"Latitude","45.37"
"Longitude","-63.27"
"Elevation","39.90"
"Climate Identifier","8205990"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1960-01","1960","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-02","1960","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-03","1960","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-04","1960","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-05","1960","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-06","1960","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-07","1960","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-08","1960","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-09","1960","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1960-10","1960","10","12.3","","1.1","","6.7","","17.8","","-6.1","","93.7","","0.0","","93.7","","0","",,"",,""
"1960-11","1960","11","7.8","","-0.9","","3.5","","17.2","","-10.0","","86.9","","0.5","","87.4","","0","",,"",,""
"1960-12","1960","12","1.6","","-8.7","","-3.6","","13.3","","-21.7","","49.0","","30.7","","81.3","","8","",,"",,""
"1961-01","1961","01","-4.3","","-15.5","","-9.9","","6.1","","-27.8","","23.1","","66.5","","87.4","","36","",,"",,""
"1961-02","1961","02","-3.1","","-15.6","","-9.4","","9.4","","-34.4","","64.3","","44.7","","107.2","","30","",,"",,""
"1961-03","1961","03","0.1","","-8.6","","-4.3","","7.8","","-17.8","","23.4","","73.2","","95.8","","15","",,"",,""
"1961-04","1961","04","6.1","","-1.4","","2.4","","13.3","S","-6.1","","61.7","","19.3","","81.3","","0","",,"",,""
"1961-05","1961","05","15.2","","3.5","","9.4","","23.9","","-5.0","S","116.3","","0.0","T","116.3","","0","",,"",,""
"1961-06","1961","06","21.3","","8.9","","15.1","","27.2","","0.0","","90.4","","0.0","","90.4","","0","",,"",,""
"1961-07","1961","07","23.7","","10.6","","17.2","","28.3","","5.0","S","30.0","","0.0","","30.0","","0","",,"",,""
