"Station Name","TUSKET"
"Province","NOVA SCOTIA"
"Latitude","43.88"
"Longitude","-65.98"
"Elevation","9.10"
"Climate Identifier","8206100"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1950-01","1950","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1950-02","1950","02","","","","","","","","","","","45.7","","40.6","","86.4","","","",,"",,""
"1950-03","1950","03","","","","","","","","","","","68.1","","35.6","","103.6","","","",,"",,""
"1950-04","1950","04","","","","","","","","","","","81.0","","10.2","","91.2","","","",,"",,""
"1950-05","1950","05","","","","","","","","","","","50.3","","0.0","","50.3","","","",,"",,""
"1950-06","1950","06","","","","","","","","","","","83.3","","0.0","","83.3","","","",,"",,""
"1950-07","1950","07","","","","","","","","","","","77.7","","0.0","","77.7","","","",,"",,""
"1950-08","1950","08","","","","","","","","","","","105.7","","0.0","","105.7","","","",,"",,""
"1950-09","1950","09","","","","","","","","","","","94.7","","8.9","","103.6","","","",,"",,""
"1950-10","1950","10","","","","","","","","","","","55.6","","0.0","","55.6","","","",,"",,""
"1950-11","1950","11","","","","","","","","","","","262.9","","0.0","","262.9","","","",,"",,""
"1950-12","1950","12","","","","","","","","","","","167.9","","30.5","","198.4","","","",,"",,""
"1951-01","1951","01","","","","","","","","","","","109.5","","30.5","","140.0","","0","",,"",,""
"1951-02","1951","02","","","","","","","","","","","76.7","","20.3","","97.0","","","M",,"",,""
"1951-03","1951","03","","","","","","","","","","","45.0","","7.6","","52.6","","","M",,"",,""
"1951-04","1951","04","","","","","","","","","","","85.9","","0.0","","85.9","","","M",,"",,""
"1951-05","1951","05","","","","","","","","","","","56.8","","7.2","","128.5","","","M",,"",,""
"1951-06","1951","06","","","","","","","","","","","23.6","","0.0","","23.6","","","M",,"",,""
"1951-07","1951","07","","","","","","","","","","","95.8","","0.0","","95.8","","","M",,"",,""
"1951-08","1951","08","","","","","","","","","","","106.2","","0.0","","106.2","","","M",,"",,""
"1951-09","1951","09","","","","","","","","","","","106.2","","0.0","","106.2","","","M",,"",,""
"1951-10","1951","10","","","","","","","","","","","62.7","","0.0","","62.7","","0","",,"",,""
"1951-11","1951","11","","","","","","","","","","","160.8","","19.1","","179.8","","0","",,"",,""
