"Station Name","TWO BAR LAKE"
"Province","ALBERTA"
"Latitude","51.28"
"Longitude","-112.55"
"Elevation","876.30"
"Climate Identifier","3026646"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1981-01","1981","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-02","1981","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-03","1981","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-04","1981","04","","","","","","","","","","","3.4","","0.0","","3.4","","0","",,"",,""
"1981-05","1981","05","","","","","","","","","","","86.7","","0.0","","86.7","","0","",,"",,""
"1981-06","1981","06","","","","","","","","","","","86.0","","0.0","","86.0","","0","",,"",,""
"1981-07","1981","07","","","","","","","","","","","55.0","","0.0","","55.0","","0","",,"",,""
"1981-08","1981","08","","","","","","","","","","","19.0","","0.0","","19.0","","0","",,"",,""
"1981-09","1981","09","","","","","","","","","","","38.8","","0.0","","38.8","","0","",,"",,""
"1981-10","1981","10","","","","","","","","","","","16.4","","11.8","","28.2","","","M",,"",,""
"1981-11","1981","11","","","","","","","","","","","7.8","","0.0","T","7.8","","0","",,"",,""
"1981-12","1981","12","","","","","","","","","","","0.0","","12.6","","12.6","","","M",,"",,""
"1982-01","1982","01","","","","","","","","","","","0.0","","22.0","","22.0","","","M",,"",,""
"1982-02","1982","02","","","","","","","","","","","0.0","","20.0","","20.0","","","M",,"",,""
"1982-03","1982","03","","","","","","","","","","","6.0","","29.4","","35.4","","","M",,"",,""
"1982-04","1982","04","","","","","","","","","","","6.0","","13.0","","19.0","","0","",,"",,""
"1982-05","1982","05","","","","","","","","","","","57.4","","2.6","","60.0","","0","",,"",,""
"1982-06","1982","06","","","","","","","","","","","34.6","","0.0","","34.6","","0","",,"",,""
"1982-07","1982","07","","","","","","","","","","","130.8","","0.0","","130.8","","0","",,"",,""
"1982-08","1982","08","","","","","","","","","","","34.2","","0.0","","34.2","","0","",,"",,""
"1982-09","1982","09","","","","","","","","","","","50.5","","4.0","","54.5","","","M",,"",,""
"1982-10","1982","10","","","","","","","","","","","2.4","","9.0","","11.4","","","M",,"",,""
"1982-11","1982","11","","","","","","","","","","","0.0","","15.0","","15.0","","","M",,"",,""
"1982-12","1982","12","","","","","","","","","","","0.0","","11.4","","11.4","","","M",,"",,""
"1983-01","1983","01","","M","","M","","M","","M","","M","0.0","T","18.0","","18.0","","","M",,"",,""
"1983-02","1983","02","","M","","M","","M","","M","","M","0.0","","2.0","","2.0","","","M",,"",,""
"1983-03","1983","03","","M","","M","","M","","M","","M","13.2","","31.6","","44.8","","","M",,"",,""
"1983-04","1983","04","","M","","M","","M","","M","","M","24.6","","25.5","","50.1","","0","",,"",,""
"1983-05","1983","05","19.0","","4.5","","11.8","","","M","","M","14.6","","0.0","T","14.6","","0","",,"",,""
"1983-06","1983","06","21.5","E","9.5","E","15.5","E","28.5","","5.0","","67.0","","0.0","","67.0","","0","",,"",,""
"1983-07","1983","07","24.1","E","10.7","E","17.4","E","32.0","","3.0","","42.8","","0.0","","42.8","","0","",,"",,""
"1983-08","1983","08","28.2","E","12.8","E","20.5","E","36.5","","5.0","","31.0","","0.0","","31.0","","0","",,"",,""
"1983-09","1983","09","16.6","","3.4","","10.0","","","M","","M","18.8","","0.0","","18.8","","0","",,"",,""
"1983-10","1983","10","14.0","","-0.2","E","6.9","E","25.5","","","M","5.6","","0.0","","5.6","","0","",,"",,""
"1983-11","1983","11","2.5","","-4.8","","-1.2","","","M","","M","1.6","","24.6","","26.2","","","M",,"",,""
"1983-12","1983","12","-13.7","E","-23.1","","-18.4","E","2.0","","-38.0","","0.0","","18.8","","18.8","","","M",,"",,""
"1984-01","1984","01","0.2","","-12.2","E","-6.0","E","12.0","","-28.5","","0.0","","10.8","","10.8","","","M",,"",,""
"1984-02","1984","02","6.4","","-4.6","E","0.9","E","13.0","","-9.0","S","0.0","","1.8","","1.8","","","M",,"",,""
"1984-03","1984","03","2.6","","-7.4","","-2.4","","","M","-25.5","","14.8","","23.2","","38.0","","","M",,"",,""
"1984-04","1984","04","13.2","","-0.5","E","6.4","E","28.5","","-7.5","","25.6","E","0.0","T","25.6","E","0","",,"",,""
"1984-05","1984","05","16.6","E","3.6","","10.1","E","30.0","","","M","49.8","","5.4","","55.2","","0","",,"",,""
"1984-06","1984","06","21.0","E","8.6","E","14.8","E","","M","4.0","S","85.4","","0.0","","85.4","","0","",,"",,""
"1984-07","1984","07","25.8","","10.9","","18.4","","35.5","","","M","69.8","","0.0","","69.8","","0","",,"",,""
"1984-08","1984","08","26.8","E","11.8","E","19.3","E","34.0","","2.0","","6.8","","0.0","","6.8","","0","",,"",,""
"1984-09","1984","09","14.2","","4.5","","9.4","","","M","","M","112.0","","4.0","","116.0","","","M",,"",,""
"1984-10","1984","10","7.8","E","-2.3","","2.8","E","27.0","","-24.5","","0.0","","22.5","","22.5","","","M",,"",,""
"1984-11","1984","11","-2.0","","-11.9","E","-7.0","E","7.0","S","-25.0","","0.0","","19.0","","19.0","","","M",,"",,""
"1984-12","1984","12","-8.9","E","-20.4","E","-14.7","E","9.5","","-36.0","","0.0","","15.5","","15.5","","","M",,"",,""
"1985-01","1985","01","-3.5","","-12.8","","-8.2","","6.5","S","-31.0","","0.0","","4.2","","4.2","","","M",,"",,""
"1985-02","1985","02","-4.8","","-15.1","","-10.0","","8.5","","-31.5","","1.0","","19.6","","20.6","","","M",,"",,""
"1985-03","1985","03","3.9","E","-5.6","E","-0.9","E","14.5","","-13.5","","0.0","","10.7","","10.7","","","M",,"",,""
"1985-04","1985","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1985-05","1985","05","20.1","","5.9","E","13.0","E","29.0","","0.0","S","43.6","","0.0","","43.6","","0","",,"",,""
"1985-06","1985","06","21.7","","6.8","E","14.3","E","31.0","","0.0","","32.6","","0.0","","32.6","","0","",,"",,""
"1985-07","1985","07","27.1","","11.5","","19.3","","","M","","M","40.2","","0.0","","40.2","","0","",,"",,""
"1985-08","1985","08","22.0","","8.8","","15.4","","31.5","","3.0","S","69.0","","0.0","","69.0","","0","",,"",,""
"1985-09","1985","09","12.1","","2.5","E","7.3","E","","M","-8.0","","49.4","","0.0","","49.4","","0","",,"",,""
"1985-10","1985","10","11.2","","-0.2","","5.5","","19.5","","-8.5","S","16.6","","12.8","","29.4","","","M",,"",,""
"1985-11","1985","11","-7.9","","-17.1","","-12.5","","10.5","","-34.0","S","0.0","T","7.8","","7.8","","","M",,"",,""
"1985-12","1985","12","0.7","","-8.9","","-4.1","","9.5","","-29.0","","0.0","","6.6","","6.6","","","M",,"",,""
"1986-01","1986","01","3.4","","-6.3","","-1.5","","12.0","","-15.5","","0.0","","1.0","","1.0","","","M",,"",,""
"1986-02","1986","02","-4.5","","-15.7","","-10.1","","14.5","","-34.5","","2.4","","24.0","","26.4","","","M",,"",,""
"1986-03","1986","03","8.7","","-2.9","","2.9","","22.0","","-14.5","S","2.4","","16.0","","18.4","","","M",,"",,""
"1986-04","1986","04","11.5","","-1.9","","4.8","","24.0","","-11.5","S","16.4","","1.0","","17.4","","0","",,"",,""
"1986-05","1986","05","18.5","E","5.8","E","12.2","E","34.0","S","-3.0","","28.8","","20.0","","48.8","","0","",,"",,""
"1986-06","1986","06","22.7","","9.9","","16.3","","34.0","","4.5","","60.4","","0.0","","60.4","","0","",,"",,""
"1986-07","1986","07","21.8","","9.6","E","15.7","E","","M","","M","","M","0.0","","","M","0","",,"",,""
"1986-08","1986","08","25.2","","10.5","","17.9","","31.5","S","5.0","","30.4","","0.0","","30.4","","0","",,"",,""
"1986-09","1986","09","12.4","","3.9","","8.2","","24.0","","0.0","","132.8","","0.0","T","132.8","","0","",,"",,""
"1986-10","1986","10","14.2","","3.0","","8.6","","24.5","","-8.5","","14.8","","6.0","","20.8","","","M",,"",,""
"1986-11","1986","11","0.2","","-11.5","","-5.7","","14.0","","-24.0","","4.4","","12.0","","16.4","","","M",,"",,""
"1986-12","1986","12","2.7","E","-6.5","","-1.9","E","10.0","","-16.5","","2.0","E","4.0","E","6.0","E","","M",,"",,""
"1987-01","1987","01","4.2","","-7.3","","-1.6","","15.0","","-21.0","","0.0","T","7.0","","7.0","","","M",,"",,""
"1987-02","1987","02","3.9","","-6.6","","-1.4","","15.0","S","-17.0","S","0.0","","9.2","","9.2","","","M",,"",,""
"1987-03","1987","03","2.9","","-6.4","E","-1.8","E","20.5","","-18.0","","0.0","","40.6","","40.6","","","M",,"",,""
"1987-04","1987","04","16.7","E","2.1","E","9.4","E","29.0","","-3.5","","25.8","","0.0","","25.8","","0","",,"",,""
"1987-05","1987","05","20.7","","5.5","","13.1","","30.0","","-4.5","","5.8","","0.0","","5.8","","0","",,"",,""
"1987-06","1987","06","25.3","","10.9","","18.1","","32.0","","5.0","","52.8","","0.0","","52.8","","0","",,"",,""
"1987-07","1987","07","24.1","","11.2","","17.7","","33.0","","5.5","","101.8","","0.0","","101.8","","0","",,"",,""
"1987-08","1987","08","19.5","","7.4","","13.5","","27.5","","3.5","","92.4","","0.0","","92.4","","0","",,"",,""
"1987-09","1987","09","22.2","","7.2","","14.7","","31.0","","1.5","","48.2","","0.0","","48.2","","0","",,"",,""
"1987-10","1987","10","","M","","M","","M","","M","","M","5.6","","2.0","","7.6","","0","",,"",,""
"1987-11","1987","11","6.4","E","-3.9","E","1.3","E","14.0","S","-12.5","","3.0","","9.0","","12.0","","","M",,"",,""
"1987-12","1987","12","2.0","","-8.0","E","-3.0","E","12.5","","-26.0","","7.0","","15.5","","22.5","","","M",,"",,""
"1988-01","1988","01","-4.8","E","-16.0","E","-10.4","E","9.0","","-30.0","","0.6","","7.0","","7.6","","","M",,"",,""
"1988-02","1988","02","0.4","","-12.9","E","-6.3","E","17.0","","-31.0","","1.0","","6.4","","7.4","","","M",,"",,""
"1988-03","1988","03","7.1","","-4.7","E","1.2","E","18.0","","-13.0","","6.3","","61.5","","67.8","","","M",,"",,""
"1988-04","1988","04","14.5","E","-0.3","E","7.1","E","25.0","","-6.0","","1.6","","1.0","","2.6","","0","",,"",,""
"1988-05","1988","05","21.8","E","6.3","","14.1","E","30.0","S","-1.5","","5.6","","0.0","","5.6","","0","",,"",,""
"1988-06","1988","06","24.6","","10.5","","17.6","","30.5","S","6.0","S","103.2","","0.0","","103.2","","0","",,"",,""
"1988-07","1988","07","25.2","","10.5","","17.9","","34.0","","5.0","","41.4","","0.0","","41.4","","0","",,"",,""
"1988-08","1988","08","21.9","","9.4","","15.7","","32.0","","5.0","S","100.2","","0.0","","100.2","","0","",,"",,""
"1988-09","1988","09","17.8","E","5.2","","11.5","E","31.0","","-2.0","","52.8","","0.0","","52.8","","0","",,"",,""
"1988-10","1988","10","","M","0.7","E","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1988-11","1988","11","4.4","","-7.0","E","-1.3","E","","M","","M","5.0","","20.0","","25.0","","","M",,"",,""
"1988-12","1988","12","-0.3","E","-10.9","E","-5.6","E","15.0","S","-26.0","B","1.0","E","15.6","","16.6","E","","M",,"",,""
"1989-01","1989","01","-1.5","E","-15.4","E","-8.5","E","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","-8.4","E","-19.0","E","-13.7","E","6.5","S","-38.5","","4.0","E","20.4","","24.4","E","","M",,"",,""
"1989-03","1989","03","-3.4","E","-14.8","E","-9.1","E","","M","","M","0.0","","7.0","","7.0","","","M",,"",,""
"1989-04","1989","04","12.2","","-1.6","E","5.3","E","23.0","S","-10.0","S","1.0","","18.0","","19.0","","0","",,"",,""
"1989-05","1989","05","18.0","E","3.5","E","10.8","E","27.0","","-1.5","","57.0","","0.0","","57.0","","0","",,"",,""
"1989-06","1989","06","23.0","","8.3","","15.7","","31.0","","3.5","","57.6","","0.0","","57.6","","0","",,"",,""
"1989-07","1989","07","27.1","E","10.8","E","19.0","E","34.0","","6.0","","30.2","","0.0","","30.2","","0","",,"",,""
"1989-08","1989","08","23.5","E","10.1","E","16.8","E","32.0","","5.0","E","44.6","","0.0","","44.6","","0","",,"",,""
"1989-09","1989","09","19.1","E","4.8","E","12.0","E","27.0","B","-5.5","","60.0","","0.0","","60.0","","0","",,"",,""
"1989-10","1989","10","13.5","E","-0.6","E","6.5","E","24.0","","-8.0","","3.8","","0.0","T","3.8","","0","",,"",,""
"1989-11","1989","11","3.9","E","-7.2","E","-1.7","E","16.0","","-23.0","E","2.0","","21.0","","23.0","","","M",,"",,""
"1989-12","1989","12","-0.7","E","-11.3","E","-6.0","E","11.0","E","-36.0","","1.1","E","26.4","","27.5","E","","M",,"",,""
"1990-01","1990","01","-3.0","E","-12.4","","-7.7","E","7.5","","","M","0.0","","13.0","","13.0","","","M",,"",,""
"1990-02","1990","02","-1.2","E","-14.3","E","-7.8","E","11.0","","-34.5","","","M","7.0","E","7.0","E","","M",,"",,""
"1990-03","1990","03","6.9","E","-6.0","E","0.5","E","17.0","","-17.5","B","0.0","T","17.5","","17.5","","","M",,"",,""
"1990-04","1990","04","11.4","E","-2.2","E","4.6","E","23.0","S","-15.5","E","","M","22.0","","34.4","E","","M",,"",,""
"1990-05","1990","05","17.5","E","2.9","E","10.2","E","26.0","E","-3.0","S","69.4","","3.0","","72.4","","0","",,"",,""
"1990-06","1990","06","21.0","E","7.6","E","14.3","E","30.0","S","2.0","","90.8","","0.0","","90.8","","0","",,"",,""
"1990-07","1990","07","23.9","E","9.8","E","16.9","E","32.0","","2.5","E","69.1","E","0.0","","69.1","E","0","",,"",,""
"1990-08","1990","08","25.2","E","9.8","E","17.5","E","36.5","","3.5","E","65.8","E","0.0","","65.8","E","0","",,"",,""
"1990-09","1990","09","23.6","E","6.0","E","14.8","E","31.5","","-2.0","","3.6","","0.0","","3.6","","0","",,"",,""
"1990-10","1990","10","11.4","E","-2.4","E","4.5","E","23.5","E","-10.0","","3.4","","4.0","","7.4","","0","E",,"",,""
"1990-11","1990","11","0.7","E","-10.1","E","-4.7","E","16.5","E","-24.0","","0.0","","20.0","","20.0","","","M",,"",,""
"1990-12","1990","12","-7.0","E","-19.1","E","-13.1","E","10.5","","-35.0","","0.0","","21.0","","21.0","","","M",,"",,""
"1991-01","1991","01","-4.8","E","-16.7","E","-10.8","E","9.0","E","-33.0","E","0.0","","18.0","","18.0","","","",,"",,""
"1991-02","1991","02","4.9","E","-5.1","E","0.2","E","12.5","E","-18.0","E","0.0","T","22.5","","22.5","","","",,"",,""
"1991-03","1991","03","3.6","E","-9.8","E","-2.6","I","17.0","E","-26.0","E","0.0","","16.0","","16.0","","","",,"",,""
"1991-04","1991","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-05","1991","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-06","1991","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-07","1991","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-08","1991","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-09","1991","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-10","1991","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
