"Station Name","UDORA"
"Province","ONTARIO"
"Latitude","44.26"
"Longitude","-79.16"
"Elevation","262.00"
"Climate Identifier","6119055"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1989-01","1989","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-02","1989","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-03","1989","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-04","1989","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-05","1989","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-06","1989","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-07","1989","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-08","1989","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-09","1989","09","20.0","","9.4","E","14.7","E","28.0","S","-1.0","","43.4","","0.0","","43.4","","0","",,"",,""
"1989-10","1989","10","14.2","","4.7","","9.5","","24.5","","-1.0","","99.7","","1.0","","100.7","","0","",,"",,""
"1989-11","1989","11","4.9","","-3.3","","0.8","","16.5","","-16.5","","85.7","","16.0","E","101.7","E","","M",,"",,""
"1989-12","1989","12","-7.6","","-16.8","","-12.2","","4.0","","-28.0","","2.0","","31.0","E","33.0","E","","M",,"",,""
"1990-01","1990","01","2.0","","-6.4","","-2.2","","8.0","S","-19.0","","","M","","M","","M","3","",,"",,""
"1990-02","1990","02","-0.3","E","-9.5","","-4.9","E","","M","","M","23.0","E","33.0","E","56.0","E","9","",,"",,""
"1990-03","1990","03","4.7","","-4.4","E","0.2","E","21.5","","-17.5","","48.9","","9.0","","57.9","","0","T",,"",,""
"1990-04","1990","04","12.6","E","2.6","","7.6","E","29.5","","-7.0","","54.8","E","12.0","","66.8","E","0","",,"",,""
"1990-05","1990","05","16.4","","6.2","E","11.3","E","24.0","","-0.5","","67.5","","0.0","T","67.5","","0","",,"",,""
"1990-06","1990","06","23.0","","12.1","","17.6","","29.5","","3.0","","108.8","E","0.0","","108.8","E","0","",,"",,""
"1990-07","1990","07","25.3","","13.9","","19.6","","32.5","","8.0","S","68.5","","0.0","","68.5","","0","",,"",,""
"1990-08","1990","08","25.1","","13.2","E","19.2","E","30.5","","9.0","S","36.9","","0.0","","36.9","","0","",,"",,""
"1990-09","1990","09","19.1","E","8.7","E","13.9","E","28.0","","2.0","S","121.2","","0.0","","121.2","","0","",,"",,""
"1990-10","1990","10","13.1","","3.7","","8.4","","25.5","","-2.5","","109.7","","0.0","T","109.7","","0","",,"",,""
"1990-11","1990","11","8.1","","-0.6","","3.8","","21.5","","-7.0","","62.9","E","22.8","E","85.7","E","","M",,"",,""
"1990-12","1990","12","1.5","E","-6.0","E","-2.3","E","11.5","","-17.0","","53.3","E","33.0","E","86.3","E","1","",,"",,""
"1991-01","1991","01","-3.8","","-12.0","","-7.9","","5.0","","-24.0","","12.6","E","40.0","E","52.6","E","7","",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","3.6","E","-4.4","E","-0.4","E","14.0","","-17.0","E","70.8","E","4.4","","75.2","E","0","T",,"",,""
"1991-04","1991","04","12.6","","3.2","E","7.9","E","27.0","","-5.5","","127.0","","6.4","","133.4","","0","",,"",,""
"1991-05","1991","05","21.5","","9.9","","15.7","","29.5","","-0.5","","48.0","","0.0","","48.0","","0","",,"",,""
"1991-06","1991","06","25.4","E","12.7","E","19.0","E","32.5","B","5.5","E","35.1","","0.0","","35.1","","0","",,"",,""
"1991-07","1991","07","26.2","","14.1","E","20.2","E","32.5","","9.0","","64.1","","0.0","","64.1","","0","",,"",,""
"1991-08","1991","08","26.1","E","13.9","E","20.1","E","32.0","B","8.5","E","77.9","","0.0","","77.9","","0","",,"",,""
"1991-09","1991","09","19.6","","7.7","E","13.7","E","30.5","","-2.0","","55.4","","0.0","","55.4","","0","",,"",,""
"1991-10","1991","10","14.9","E","4.8","","9.9","E","22.5","S","-4.5","","67.7","E","0.0","","67.7","E","0","",,"",,""
"1991-11","1991","11","5.5","E","-2.3","E","1.5","E","17.0","E","-11.0","E","44.8","","4.5","","49.3","","","M",,"",,""
"1991-12","1991","12","-0.2","E","-8.5","","-4.4","E","12.5","","-24.0","","11.6","E","35.6","E","47.2","E","2","",,"",,""
"1992-01","1992","01","-2.8","","-11.8","","-7.3","","5.0","","-28.5","","7.4","","35.5","E","42.9","E","3","",,"",,""
"1992-02","1992","02","-1.9","","-10.2","","-6.1","","4.0","","-24.5","","9.7","","13.0","","22.7","","4","",,"",,""
"1992-03","1992","03","2.0","E","-7.7","E","-2.5","I","11.0","E","-19.0","E","25.3","","14.4","E","39.7","E","0","",,"",,""
"1992-04","1992","04","9.4","","0.2","","4.8","","19.5","","-9.0","","53.0","","11.6","","64.6","","0","",,"",,""
"1992-05","1992","05","18.2","E","5.8","","12.1","E","27.5","","-1.0","","50.2","","0.0","","50.2","","0","",,"",,""
"1992-06","1992","06","21.5","E","9.1","","15.4","E","29.0","","1.5","","43.6","","0.0","","43.6","","0","",,"",,""
"1992-07","1992","07","21.4","E","11.9","E","16.5","I","26.0","E","5.0","E","81.6","","0.0","","81.6","","0","",,"",,""
"1992-08","1992","08","21.2","E","11.0","I","16.0","I","29.5","E","6.5","I","131.6","","0.0","","131.6","","0","",,"",,""
"1992-09","1992","09","19.4","E","9.2","E","14.4","E","26.5","E","-1.0","E","90.7","","0.0","T","90.7","","0","",,"",,""
"1992-10","1992","10","11.3","","1.9","","6.6","","23.5","","-5.5","","52.0","","5.0","","57.0","","0","",,"",,""
"1992-11","1992","11","5.0","E","-1.2","","1.9","E","14.5","","-9.0","S","75.3","","7.0","","82.3","","","M",,"",,""
"1992-12","1992","12","0.1","","-7.3","","-3.6","","12.5","","-18.5","","14.2","","59.0","E","73.2","E","2","",,"",,""
"1993-01","1993","01","-1.3","","-9.1","","-5.2","","10.5","","-20.0","","39.7","","48.0","","87.7","","14","",,"",,""
"1993-02","1993","02","-5.8","E","-16.2","","-11.0","E","3.5","","-26.5","","0.0","","36.0","","36.0","","26","",,"",,""
"1993-03","1993","03","1.5","","-8.3","E","-3.4","E","14.5","","-22.5","","4.0","","33.0","","37.0","","0","T",,"",,""
"1993-04","1993","04","11.0","","0.9","","6.0","","19.5","","-5.0","","56.1","","4.5","","60.6","","0","",,"",,""
"1993-05","1993","05","17.3","","5.7","E","11.5","E","27.5","","-1.5","E","65.0","","0.0","","65.0","","0","",,"",,""
"1993-06","1993","06","21.5","E","11.2","","16.4","E","27.0","S","3.5","","95.4","","0.0","","95.4","","0","",,"",,""
"1993-07","1993","07","25.7","","14.7","","20.2","","31.0","","8.5","","66.4","","0.0","","66.4","","0","",,"",,""
"1993-08","1993","08","25.8","E","14.3","E","20.1","E","33.0","E","6.0","E","81.8","","0.0","","81.8","","0","",,"",,""
"1993-09","1993","09","17.6","","7.9","","12.8","","27.0","S","-1.5","S","75.9","","0.0","","75.9","","0","",,"",,""
"1993-10","1993","10","11.9","","3.0","","7.5","","24.0","","-4.5","","59.8","","2.0","","61.8","","2","",,"",,""
"1993-11","1993","11","5.3","","-1.9","","1.7","","13.5","S","-13.0","","61.0","","7.0","","68.0","","2","",,"",,""
"1993-12","1993","12","-0.4","E","-8.3","","-4.4","E","10.0","","-30.0","","11.4","","15.4","E","26.8","E","10","",,"",,""
"1994-01","1994","01","-10.1","E","-20.2","","-15.2","E","4.0","","-34.0","","15.0","E","25.5","E","40.5","E","13","E",,"",,""
"1994-02","1994","02","-5.3","","-14.3","","-9.8","","11.0","","-28.0","","0.0","","8.0","","8.0","","1","",,"",,""
"1994-03","1994","03","2.0","","-6.5","E","-2.2","E","12.0","","-15.0","","11.8","E","48.0","","59.8","E","2","",,"",,""
"1994-04","1994","04","11.8","","1.6","","6.7","","24.0","S","-5.0","S","68.2","","4.0","","72.2","","","M",,"",,""
"1994-05","1994","05","16.0","","5.1","E","10.6","E","29.5","","-1.0","","124.2","","0.0","","124.2","","0","",,"",,""
"1994-06","1994","06","24.5","I","12.7","I","18.7","I","33.0","I","4.0","I","30.8","","0.0","","30.8","","0","",,"",,""
"1994-07","1994","07","25.9","E","14.3","E","20.0","E","31.0","E","7.0","E","95.6","E","0.0","","95.6","E","0","",,"",,""
"1994-08","1994","08","23.3","E","12.4","E","17.9","E","28.0","","6.0","","43.3","","0.0","","43.3","","0","",,"",,""
"1994-09","1994","09","20.7","E","9.6","E","15.2","E","28.0","","2.5","","47.2","","0.0","","47.2","","0","",,"",,""
"1994-10","1994","10","14.9","","4.3","","9.6","","23.0","","-3.5","","40.7","","0.0","","40.7","","0","",,"",,""
"1994-11","1994","11","8.6","E","0.1","E","4.4","E","16.0","S","-13.0","","44.4","","14.0","","58.4","","0","T",,"",,""
"1994-12","1994","12","1.9","E","-5.8","E","-2.0","E","9.5","","-22.0","","22.8","","20.0","","42.8","","0","T",,"",,""
"1995-01","1995","01","-1.7","","-8.3","","-5.0","","13.0","","-23.5","","89.3","","36.0","","125.3","","9","",,"",,""
"1995-02","1995","02","-5.2","","-15.5","","-10.3","","6.5","","-27.0","","1.0","","15.0","E","16.0","E","7","",,"",,""
"1995-03","1995","03","5.9","","-5.0","","0.5","","19.5","","-17.5","","17.2","","7.0","","24.2","","0","",,"",,""
"1995-04","1995","04","7.4","E","-1.7","","2.9","E","14.0","","-12.5","","63.8","","13.0","","76.8","","0","",,"",,""
"1995-05","1995","05","17.7","","6.0","","11.9","","26.5","","-1.0","","69.4","","0.0","","69.4","","0","",,"",,""
"1995-06","1995","06","24.9","","13.4","E","19.2","E","32.0","","6.0","S","114.5","","0.0","","114.5","","0","",,"",,""
"1995-07","1995","07","25.3","","15.0","E","20.2","E","34.0","","6.0","","124.4","","0.0","","124.4","","0","",,"",,""
"1995-08","1995","08","26.8","E","15.8","E","21.3","E","31.0","B","5.0","E","99.6","","0.0","","99.6","","0","",,"",,""
"1995-09","1995","09","18.4","E","7.0","","12.7","E","25.5","","1.0","S","89.1","","0.0","","89.1","","0","",,"",,""
"1995-10","1995","10","14.0","","6.5","","10.2","","26.5","","-1.0","S","138.7","","0.0","","138.7","","0","",,"",,""
"1995-11","1995","11","1.8","","-3.5","","-0.9","","16.0","","-15.0","","103.5","E","75.0","E","178.5","E","16","",,"",,""
"1995-12","1995","12","-4.1","","-11.0","","-7.6","","4.5","","-21.0","","3.6","","50.0","","53.6","","32","",,"",,""
"1996-01","1996","01","-4.3","","-13.6","","-9.0","","9.0","S","-28.5","","45.9","","22.0","E","67.9","E","2","",,"",,""
