"Station Name","UPPER HOLMESVILLE"
"Province","NEW BRUNSWICK"
"Latitude","46.62"
"Longitude","-67.62"
"Elevation","182.90"
"Climate Identifier","8105546"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1971-01","1971","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-02","1971","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-04","1971","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-05","1971","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-06","1971","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-07","1971","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-08","1971","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-09","1971","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-10","1971","10","","","","","","","","","","","60.2","","0.0","","60.2","","0","",,"",,""
"1971-11","1971","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-01","1972","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","21.6","E","101.6","","123.2","E","104","",,"",,""
"1972-03","1972","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-04","1972","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","","","","","","","","","","","86.6","","0.0","","86.6","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","124.5","","0.0","","124.5","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","51.3","","0.0","","51.3","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","64.3","","0.0","","64.3","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","103.1","","0.0","","103.1","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","143.8","","0.0","","143.8","","","M",,"",,""
"1972-11","1972","11","","","","","","","","","","","99.3","E","0.0","","99.3","E","","M",,"",,""
"1972-12","1972","12","","","","","","","","","","","12.4","","163.8","E","176.3","E","91","",,"",,""
