"Station Name","URSA"
"Province","ONTARIO"
"Latitude","44.90"
"Longitude","-78.30"
"Elevation",""
"Climate Identifier","6169110"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1895-01","1895","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-02","1895","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-03","1895","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-04","1895","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-05","1895","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-06","1895","06","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-07","1895","07","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-08","1895","08","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1895-09","1895","09","","","","","","","","","","","65.8","","0.0","","65.8","","","",,"",,""
"1895-10","1895","10","","","","","","","","","","","62.5","","0.0","T","62.5","","","",,"",,""
"1895-11","1895","11","","","","","","","","","","","68.6","","35.6","","104.1","","","",,"",,""
"1895-12","1895","12","","","","","","","","","","","89.9","","33.0","","122.9","","","",,"",,""
"1896-01","1896","01","","","","","","","","","","","0.0","","94.0","","94.0","","","",,"",,""
"1896-02","1896","02","","","","","","","","","","","19.1","","81.3","","100.3","","","",,"",,""
"1896-03","1896","03","","","","","","","","","","","32.5","","45.7","","78.2","","","",,"",,""
"1896-04","1896","04","","","","","","","","","","","36.3","","15.2","","51.6","","","",,"",,""
"1896-05","1896","05","","","","","","","","","","","61.7","","0.0","","61.7","","","",,"",,""
"1896-06","1896","06","","","","","","","","","","","84.6","","0.0","","84.6","","","",,"",,""
"1896-07","1896","07","","","","","","","","","","","55.4","","0.0","","55.4","","","",,"",,""
"1896-08","1896","08","","","","","","","","","","","155.7","","0.0","","155.7","","","",,"",,""
"1896-09","1896","09","","","","","","","","","","","131.3","","0.0","","131.3","","","",,"",,""
"1896-10","1896","10","","","","","","","","","","","75.7","","15.2","","90.9","","","",,"",,""
"1896-11","1896","11","","","","","","","","","","","105.4","","30.5","","135.9","","","",,"",,""
"1896-12","1896","12","","","","","","","","","","","22.9","","22.9","","45.7","","","",,"",,""
"1897-01","1897","01","","","","","","","","","","","48.5","","48.3","","96.8","","","",,"",,""
"1897-02","1897","02","","","","","","","","","","","15.0","","86.4","","101.3","","","",,"",,""
"1897-03","1897","03","","","","","","","","","","","33.3","","50.8","","84.1","","","",,"",,""
"1897-04","1897","04","","","","","","","","","","","89.7","","10.2","","99.8","","","",,"",,""
"1897-05","1897","05","","","","","","","","","","","112.8","","0.0","","112.8","","","",,"",,""
"1897-06","1897","06","","","","","","","","","","","101.9","","0.0","","101.9","","","",,"",,""
"1897-07","1897","07","","","","","","","","","","","159.0","","0.0","","159.0","","","",,"",,""
"1897-08","1897","08","","","","","","","","","","","81.0","","0.0","","81.0","","","",,"",,""
"1897-09","1897","09","","","","","","","","","","","32.3","","0.0","","32.3","","","",,"",,""
"1897-10","1897","10","","","","","","","","","","","80.0","","0.0","","80.0","","","",,"",,""
"1897-11","1897","11","","","","","","","","","","","96.0","","63.5","","159.5","","","",,"",,""
"1897-12","1897","12","","","","","","","","","","","35.3","","76.2","","111.5","","","",,"",,""
"1898-01","1898","01","","","","","","","","","","","12.2","","78.7","","90.9","","","",,"",,""
"1898-02","1898","02","","","","","","","","","","","24.4","","21.6","","46.0","","","",,"",,""
"1898-03","1898","03","","","","","","","","","","","73.4","","0.0","","73.4","","","",,"",,""
"1898-04","1898","04","","","","","","","","","","","26.4","","3.8","","30.2","","","",,"",,""
"1898-05","1898","05","","","","","","","","","","","101.3","","0.0","","101.3","","","",,"",,""
"1898-06","1898","06","","","","","","","","","","","56.9","","0.0","","56.9","","","",,"",,""
"1898-07","1898","07","","","","","","","","","","","13.0","","0.0","","13.0","","","",,"",,""
"1898-08","1898","08","","","","","","","","","","","71.6","","0.0","","71.6","","","",,"",,""
"1898-09","1898","09","","","","","","","","","","","97.3","","0.0","","97.3","","","",,"",,""
"1898-10","1898","10","","","","","","","","","","","149.1","","0.0","","149.1","","","",,"",,""
"1898-11","1898","11","","","","","","","","","","","42.4","","12.7","","55.1","","","",,"",,""
"1898-12","1898","12","","","","","","","","","","","25.7","","99.1","","124.7","","","",,"",,""
"1899-01","1899","01","","","","","","","","","","","33.5","","71.1","","104.6","","","",,"",,""
"1899-02","1899","02","","","","","","","","","","","0.0","","40.6","","40.6","","","",,"",,""
"1899-03","1899","03","","","","","","","","","","","67.3","","66.0","","133.4","","","",,"",,""
"1899-04","1899","04","","","","","","","","","","","34.8","","7.6","","42.4","","","",,"",,""
"1899-05","1899","05","","","","","","","","","","","124.0","","0.0","","124.0","","","",,"",,""
"1899-06","1899","06","","","","","","","","","","","105.9","","0.0","","105.9","","","",,"",,""
"1899-07","1899","07","","","","","","","","","","","84.8","","0.0","","84.8","","","",,"",,""
"1899-08","1899","08","","","","","","","","","","","57.9","","0.0","","57.9","","","",,"",,""
"1899-09","1899","09","","","","","","","","","","","172.7","","0.0","T","172.7","","","",,"",,""
"1899-10","1899","10","","","","","","","","","","","112.0","","0.0","","112.0","","","",,"",,""
"1899-11","1899","11","","","","","","","","","","","23.9","","0.0","","23.9","","","",,"",,""
"1899-12","1899","12","","","","","","","","","","","79.5","","43.2","","122.7","","","",,"",,""
"1900-01","1900","01","","","","","","","","","","","11.9","","58.4","","70.4","","","",,"",,""
"1900-02","1900","02","","","","","","","","","","","74.7","","124.5","","199.1","","","",,"",,""
"1900-03","1900","03","","","","","","","","","","","38.4","","35.6","","73.9","","","",,"",,""
"1900-04","1900","04","","","","","","","","","","","47.5","","5.1","","52.6","","","",,"",,""
"1900-05","1900","05","","","","","","","","","","","71.4","","0.0","","71.4","","","",,"",,""
"1900-06","1900","06","","","","","","","","","","","85.1","","0.0","","85.1","","","",,"",,""
"1900-07","1900","07","","","","","","","","","","","168.9","","0.0","","168.9","","","",,"",,""
"1900-08","1900","08","","","","","","","","","","","40.9","","0.0","","40.9","","","",,"",,""
"1900-09","1900","09","","","","","","","","","","","75.4","","0.0","","75.4","","","",,"",,""
"1900-10","1900","10","","","","","","","","","","","78.2","","0.0","","78.2","","","",,"",,""
"1900-11","1900","11","","","","","","","","","","","72.6","","17.8","","90.4","","","",,"",,""
"1900-12","1900","12","","","","","","","","","","","16.3","","58.4","","74.7","","","",,"",,""
"1901-01","1901","01","","","","","","","","","","","15.5","","78.7","","94.2","","","",,"",,""
"1901-02","1901","02","","","","","","","","","","","0.0","","61.0","","61.0","","","",,"",,""
"1901-03","1901","03","","","","","","","","","","","65.5","","63.5","","129.0","","","",,"",,""
"1901-04","1901","04","","","","","","","","","","","30.2","","5.1","","35.3","","","",,"",,""
"1901-05","1901","05","","","","","","","","","","","141.7","","0.0","","141.7","","","",,"",,""
"1901-06","1901","06","","","","","","","","","","","114.8","","0.0","","114.8","","","",,"",,""
"1901-07","1901","07","","","","","","","","","","","135.1","","0.0","","135.1","","","",,"",,""
"1901-08","1901","08","","","","","","","","","","","108.2","","0.0","","108.2","","","",,"",,""
"1901-09","1901","09","","","","","","","","","","","75.2","","0.0","","75.2","","","",,"",,""
"1901-10","1901","10","","","","","","","","","","","27.4","","0.0","T","27.4","","","",,"",,""
"1901-11","1901","11","","","","","","","","","","","41.1","","30.5","","71.6","","","",,"",,""
"1901-12","1901","12","","","","","","","","","","","50.8","","50.8","","101.6","","","",,"",,""
"1902-01","1902","01","","","","","","","","","","","24.4","","78.7","","103.1","","","",,"",,""
"1902-02","1902","02","","","","","","","","","","","47.2","","58.4","","105.7","","","",,"",,""
"1902-03","1902","03","","","","","","","","","","","110.0","","2.5","","112.5","","","",,"",,""
"1902-04","1902","04","","","","","","","","","","","50.8","","0.0","","50.8","","","",,"",,""
"1902-05","1902","05","","","","","","","","","","","81.8","","0.0","","81.8","","","",,"",,""
"1902-06","1902","06","","","","","","","","","","","120.4","","0.0","","120.4","","","",,"",,""
"1902-07","1902","07","","","","","","","","","","","149.4","","0.0","","149.4","","","",,"",,""
"1902-08","1902","08","","","","","","","","","","","79.2","","0.0","","79.2","","","",,"",,""
