"Station Name","UXBRIDGE"
"Province","ONTARIO"
"Latitude","44.10"
"Longitude","-79.12"
"Elevation","274.30"
"Climate Identifier","6159A26"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1983-01","1983","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-02","1983","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-03","1983","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-04","1983","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1983-05","1983","05","","","","","","","","","","","98.6","","0.0","","98.6","","0","",,"",,""
"1983-06","1983","06","","","","","","","","","","","22.6","","0.0","","22.6","","0","",,"",,""
"1983-07","1983","07","","","","","","","","","","","81.0","","0.0","","81.0","","0","",,"",,""
"1983-08","1983","08","","","","","","","","","","","73.2","","0.0","","73.2","","0","",,"",,""
"1983-09","1983","09","","","","","","","","","","","47.5","","0.0","","47.5","","0","",,"",,""
"1983-10","1983","10","","","","","","","","","","","82.8","","0.0","","82.8","","0","",,"",,""
"1983-11","1983","11","","","","","","","","","","","43.8","","35.1","","78.9","","","M",,"",,""
"1983-12","1983","12","","","","","","","","","","","5.4","","53.2","","58.6","","13","",,"",,""
"1984-01","1984","01","","","","","","","","","","","0.0","","38.1","","38.1","","43","",,"",,""
"1984-02","1984","02","","","","","","","","","","","6.3","","44.7","","51.0","","","M",,"",,""
"1984-03","1984","03","","","","","","","","","","","29.1","E","25.7","","54.8","E","","M",,"",,""
"1984-04","1984","04","","","","","","","","","","","62.6","","0.0","T","62.6","","0","",,"",,""
"1984-05","1984","05","","","","","","","","","","","95.6","","0.0","","95.6","","0","",,"",,""
"1984-06","1984","06","","","","","","","","","","","25.1","","0.0","","25.1","","0","",,"",,""
"1984-07","1984","07","","","","","","","","","","","46.5","","0.0","","46.5","","0","",,"",,""
"1984-08","1984","08","","","","","","","","","","","76.1","","0.0","","76.1","","0","",,"",,""
"1984-09","1984","09","","","","","","","","","","","74.1","","0.0","","74.1","","","M",,"",,""
"1984-10","1984","10","","","","","","","","","","","33.7","","0.0","","33.7","","0","",,"",,""
"1984-11","1984","11","","","","","","","","","","","67.6","","0.0","T","67.6","","","M",,"",,""
"1984-12","1984","12","","","","","","","","","","","50.7","","18.8","","69.5","","8","",,"",,""
"1985-01","1985","01","","","","","","","","","","","1.0","","56.3","","57.3","","29","",,"",,""
