"Station Name","VALENS"
"Province","ONTARIO"
"Latitude","43.38"
"Longitude","-80.13"
"Elevation","281.90"
"Climate Identifier","6159127"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1968-01","1968","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-02","1968","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-03","1968","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-04","1968","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-05","1968","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-06","1968","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-07","1968","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-08","1968","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1968-09","1968","09","","","","","","","","","","","128.5","","0.0","","128.5","","0","",,"",,""
"1968-10","1968","10","","","","","","","","","","","71.6","","0.0","","71.6","","0","",,"",,""
"1968-11","1968","11","","","","","","","","","","","82.8","","7.1","","89.9","","0","",,"",,""
"1968-12","1968","12","","","","","","","","","","","20.6","","48.3","","68.8","","","M",,"",,""
"1969-01","1969","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-02","1969","02","","","","","","","","","","","0.0","","13.0","","13.0","","","M",,"",,""
"1969-03","1969","03","","","","","","","","","","","32.0","","3.6","","35.6","","","M",,"",,""
"1969-04","1969","04","","","","","","","","","","","95.5","","0.0","","95.5","","0","",,"",,""
"1969-05","1969","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-06","1969","06","","","","","","","","","","","42.7","","0.0","","42.7","","0","",,"",,""
"1969-07","1969","07","","","","","","","","","","","52.3","","0.0","","52.3","","0","",,"",,""
"1969-08","1969","08","","","","","","","","","","","63.5","","0.0","","63.5","","0","",,"",,""
"1969-09","1969","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1969-10","1969","10","","","","","","","","","","","73.4","","3.8","","77.2","","","M",,"",,""
"1969-11","1969","11","","","","","","","","","","","79.2","","6.9","","86.1","","","M",,"",,""
"1969-12","1969","12","","","","","","","","","","","22.9","E","35.1","E","57.9","E","","M",,"",,""
"1970-01","1970","01","","","","","","","","","","","1.5","","22.6","","24.1","","","M",,"",,""
"1970-02","1970","02","","","","","","","","","","","14.5","","18.3","","32.8","","","M",,"",,""
"1970-03","1970","03","","","","","","","","","","","51.3","","11.4","","62.7","","","M",,"",,""
"1970-04","1970","04","","","","","","","","","","","83.3","E","0.0","T","83.3","E","0","",,"",,""
"1970-05","1970","05","","","","","","","","","","","55.6","","0.0","","55.6","","0","",,"",,""
"1970-06","1970","06","","","","","","","","","","","35.1","","0.0","","35.1","","0","",,"",,""
"1970-07","1970","07","","","","","","","","","","","117.1","E","0.0","","117.1","E","0","",,"",,""
"1970-08","1970","08","","","","","","","","","","","117.3","","0.0","","117.3","","0","",,"",,""
"1970-09","1970","09","","","","","","","","","","","90.4","","0.0","","90.4","","0","",,"",,""
"1970-10","1970","10","","","","","","","","","","","96.5","","0.0","T","96.5","","0","",,"",,""
"1970-11","1970","11","","","","","","","","","","","44.5","E","7.1","","51.6","E","0","",,"",,""
"1970-12","1970","12","","","","","","","","","","","29.2","E","58.4","E","87.6","E","","M",,"",,""
"1971-01","1971","01","","M","","M","","M","","M","","M","8.9","E","64.8","E","73.7","E","","M",,"",,""
"1971-02","1971","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-03","1971","03","-0.7","","-7.7","","-4.2","","9.4","","-18.3","","6.4","E","41.9","E","48.3","E","","M",,"",,""
"1971-04","1971","04","9.7","","-1.4","","4.2","","23.3","","-10.0","","37.8","","6.4","E","44.2","E","","M",,"",,""
"1971-05","1971","05","17.2","","5.2","","11.2","","27.8","","-0.6","","37.3","","0.0","","37.3","","0","",,"",,""
"1971-06","1971","06","23.2","E","12.5","E","17.9","E","","M","6.1","","83.6","","0.0","","83.6","","0","",,"",,""
"1971-07","1971","07","","M","","M","","M","","M","","M","84.8","","0.0","","84.8","","0","",,"",,""
"1971-08","1971","08","23.7","","12.6","","18.2","","30.0","","2.8","","91.4","","0.0","","91.4","","0","",,"",,""
"1971-09","1971","09","21.4","","12.0","","16.7","","31.1","","1.7","","19.3","","0.0","","19.3","","0","",,"",,""
"1971-10","1971","10","16.1","","8.0","","12.1","","31.1","","-1.7","","56.9","E","0.0","","56.9","E","0","",,"",,""
"1971-11","1971","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1971-12","1971","12","2.3","","-4.8","","-1.3","","15.6","","","M","75.7","E","25.4","E","101.1","E","","M",,"",,""
"1972-01","1972","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","-4.6","","-13.5","","-9.1","","1.7","","-23.3","","8.9","E","64.8","","73.7","E","","M",,"",,""
"1972-03","1972","03","-1.6","","-8.6","","-5.1","","6.1","","-20.6","","47.8","","22.9","","70.6","","","M",,"",,""
"1972-04","1972","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1972-05","1972","05","17.8","","8.5","","13.2","","26.7","","2.8","","68.3","","0.0","","68.3","","0","",,"",,""
"1972-06","1972","06","19.1","","10.6","","14.9","","27.8","","0.6","","81.0","","0.0","","81.0","","0","",,"",,""
"1972-07","1972","07","","M","14.3","","","M","","M","6.7","S","75.7","","0.0","","75.7","","0","",,"",,""
"1972-08","1972","08","","M","13.5","","","M","","M","5.6","","128.8","","0.0","","128.8","","0","",,"",,""
"1972-09","1972","09","20.0","","10.2","","15.1","","27.8","","1.7","","62.5","","0.0","","62.5","","0","",,"",,""
"1972-10","1972","10","10.5","","1.8","","6.2","","21.7","","","M","96.8","E","1.3","E","98.0","E","0","",,"",,""
"1972-11","1972","11","2.1","","-2.3","","-0.1","","9.4","","-11.1","","29.7","","19.1","E","48.8","E","","M",,"",,""
"1972-12","1972","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-01","1973","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-02","1973","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1973-03","1973","03","6.2","","","M","","M","16.7","","","M","139.7","E","5.1","","144.8","E","","M",,"",,""
"1973-04","1973","04","10.2","","","M","","M","22.8","","","M","51.6","E","0.0","T","51.6","E","0","",,"",,""
"1973-05","1973","05","14.4","","4.8","","9.6","","21.7","","-5.0","","74.2","","0.0","","74.2","","0","",,"",,""
"1973-06","1973","06","22.8","","13.7","","18.3","","31.1","","8.9","","59.2","","0.0","","59.2","","0","",,"",,""
"1973-07","1973","07","","M","15.4","E","","M","","M","8.3","","39.4","","0.0","","39.4","","0","",,"",,""
"1973-08","1973","08","25.9","","16.7","E","21.3","E","34.4","S","","M","7.6","","0.0","","7.6","","0","",,"",,""
"1973-09","1973","09","","M","9.1","","","M","","M","-1.1","","51.3","","0.0","","51.3","","0","",,"",,""
"1973-10","1973","10","","M","5.8","","","M","","M","-2.2","","106.2","","0.0","","106.2","","0","",,"",,""
