"Station Name","VALLEYVIEW RS"
"Province","ALBERTA"
"Latitude","55.07"
"Longitude","-117.27"
"Elevation","762.00"
"Climate Identifier","3076675"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1962-01","1962","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-02","1962","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-03","1962","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-04","1962","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-05","1962","05","","M","","M","","M","24.4","","","M","","M","","M","","M","0","",,"",,""
"1962-06","1962","06","20.6","","7.3","","14.0","","28.9","S","1.1","","24.4","","0.0","","24.4","","0","",,"",,""
"1962-07","1962","07","21.9","","9.3","","15.6","","28.3","","1.1","","","M","0.0","","","M","0","",,"",,""
"1962-08","1962","08","20.7","","9.3","","15.0","","28.3","","3.9","","49.5","","0.0","","49.5","","0","",,"",,""
"1962-09","1962","09","18.1","","4.2","","11.2","","26.1","S","-1.7","","25.1","","0.0","","25.1","","0","",,"",,""
"1962-10","1962","10","11.9","","0.5","","6.2","","18.3","","-5.6","","20.3","","2.5","","22.9","","0","",,"",,""
"1962-11","1962","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-12","1962","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-01","1963","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-02","1963","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-03","1963","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1963-04","1963","04","","M","","M","","M","18.3","","","M","","M","","M","","M","0","",,"",,""
"1963-05","1963","05","15.9","","2.6","","9.3","","25.0","","-5.6","","24.1","","2.5","","26.7","","0","",,"",,""
"1963-06","1963","06","21.2","","6.7","","14.0","","27.8","","2.8","","26.7","","0.0","","26.7","","0","",,"",,""
"1963-07","1963","07","23.7","","6.4","","15.1","","30.0","","1.7","S","54.1","","0.0","","54.1","","0","",,"",,""
"1963-08","1963","08","22.3","","6.6","","14.5","","28.9","","1.7","","110.7","","0.0","","110.7","","0","",,"",,""
"1963-09","1963","09","19.1","","6.9","","13.0","","27.2","","-0.6","","63.0","","0.0","","63.0","","0","",,"",,""
"1963-10","1963","10","","M","","M","","M","23.3","","","M","24.6","","0.0","","24.6","","","M",,"",,""
"1963-11","1963","11","","M","","M","","M","15.0","","","M","","M","","M","","M","","M",,"",,""
"1963-12","1963","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-01","1964","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-02","1964","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-03","1964","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-04","1964","04","","M","","M","","M","17.2","S","","M","","M","","M","","M","","M",,"",,""
"1964-05","1964","05","16.1","","3.7","","9.9","","22.2","","-1.1","","56.9","","0.0","T","56.9","","0","",,"",,""
"1964-06","1964","06","20.8","","7.7","","14.3","","27.2","","2.8","","75.2","","0.0","","75.2","","0","",,"",,""
"1964-07","1964","07","21.2","","9.8","","15.5","","31.7","","6.1","","187.5","","0.0","","187.5","","0","",,"",,""
"1964-08","1964","08","18.7","","8.4","","13.6","","24.4","","2.8","","95.5","","0.0","","95.5","","0","",,"",,""
"1964-09","1964","09","14.2","","3.0","","8.6","","20.6","","-4.4","","29.7","","0.0","T","29.7","","0","",,"",,""
"1964-10","1964","10","","M","","M","","M","26.1","","-7.8","","","M","0.0","","","M","0","",,"",,""
"1964-11","1964","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1964-12","1964","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-01","1965","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-02","1965","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-03","1965","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-04","1965","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1965-05","1965","05","16.5","","3.3","","9.9","","26.7","","-3.3","","37.6","","0.0","","37.6","","0","",,"",,""
"1965-06","1965","06","19.9","","7.3","","13.6","","26.7","","0.6","","105.4","","0.0","","105.4","","0","",,"",,""
"1965-07","1965","07","22.7","","10.3","","16.5","","29.4","","6.1","S","82.8","","0.0","","82.8","","0","",,"",,""
"1965-08","1965","08","21.6","","10.6","","16.1","","29.4","","0.6","","81.5","","0.0","","81.5","","0","",,"",,""
