"Station Name","VENICE"
"Province","ALBERTA"
"Latitude","54.67"
"Longitude","-112.07"
"Elevation","576.00"
"Climate Identifier","3066770"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1981-01","1981","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-02","1981","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-03","1981","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-04","1981","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1981-05","1981","05","","","","","","","","","","","20.1","","0.0","","20.1","","0","",,"",,""
"1981-06","1981","06","","","","","","","","","","","82.2","","0.0","","82.2","","0","",,"",,""
"1981-07","1981","07","","","","","","","","","","","83.0","","0.0","","83.0","","0","",,"",,""
"1981-08","1981","08","","","","","","","","","","","32.5","","0.0","","32.5","","0","",,"",,""
"1981-09","1981","09","","","","","","","","","","","19.7","","0.0","","19.7","","0","",,"",,""
"1981-10","1981","10","","","","","","","","","","","11.4","","5.8","","17.2","","0","T",,"",,""
"1981-11","1981","11","","","","","","","","","","","1.2","","5.6","","6.8","","2","",,"",,""
"1981-12","1981","12","","","","","","","","","","","1.0","","25.2","","26.2","","15","",,"",,""
"1982-01","1982","01","","M","","M","","M","","M","","M","0.0","","30.7","","30.7","","33","",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","0.0","","21.0","","21.0","","40","",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","2.0","","29.7","","31.7","","41","",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","7.4","","8.2","","15.6","","0","",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","46.2","","5.6","","51.8","","0","",,"",,""
"1982-06","1982","06","22.6","","6.7","","14.7","","30.8","","0.0","","62.9","","0.0","","62.9","","0","",,"",,""
"1982-07","1982","07","22.6","","9.8","E","16.2","E","29.8","","4.5","","116.3","","0.0","","116.3","","0","",,"",,""
"1982-08","1982","08","18.1","","5.1","E","11.6","E","25.0","","-3.0","","95.3","","0.0","","95.3","","0","",,"",,""
"1982-09","1982","09","17.7","","1.8","","9.8","","24.8","","-6.0","","15.0","","0.0","","15.0","","0","",,"",,""
"1982-10","1982","10","11.3","E","-2.1","","4.6","E","24.8","","-11.5","","7.3","","0.3","","7.6","","0","",,"",,""
"1982-11","1982","11","-5.7","","-15.1","","-10.4","","9.0","","-31.8","","0.0","T","18.4","","18.4","","13","",,"",,""
"1982-12","1982","12","-8.2","","-16.5","","-12.4","","1.5","","-34.8","","0.0","T","21.9","","21.9","","21","",,"",,""
"1983-01","1983","01","-8.8","","-19.7","","-14.3","","5.0","","-42.5","","0.0","","14.2","","14.2","","24","",,"",,""
"1983-02","1983","02","-5.4","","-15.1","","-10.3","","9.8","","-27.3","","0.0","T","13.2","","13.2","","22","",,"",,""
"1983-03","1983","03","-0.9","","-11.0","","-6.0","","9.3","","-25.0","","8.0","","39.4","","47.4","","14","",,"",,""
"1983-04","1983","04","10.9","","-2.8","","4.1","","22.5","","-13.0","","15.8","","0.0","T","15.8","","0","",,"",,""
"1983-05","1983","05","16.3","","0.4","","8.4","","27.0","","-7.0","","27.5","","8.6","","36.1","","0","",,"",,""
"1983-06","1983","06","20.1","","6.8","","13.5","","26.5","","-1.0","","110.1","","0.0","","110.1","","0","",,"",,""
"1983-07","1983","07","21.8","","10.1","","16.0","","27.8","","5.5","","183.8","","0.0","","183.8","","0","",,"",,""
"1983-08","1983","08","23.7","","7.5","","15.6","","30.0","","-0.5","","20.5","","0.0","","20.5","","0","",,"",,""
"1983-09","1983","09","13.7","","0.8","","7.3","","23.3","","-10.3","","106.4","","0.0","","106.4","","0","",,"",,""
"1983-10","1983","10","9.5","E","-3.0","","3.3","E","15.5","","-7.8","","22.2","","0.0","T","22.2","","0","",,"",,""
"1983-11","1983","11","-1.9","","-6.7","","-4.3","","","M","","M","","M","","M","","M","15","",,"",,""
"1983-12","1983","12","-16.5","","-26.7","","-21.6","","3.0","","-40.5","","0.0","","7.1","","7.1","","15","",,"",,""
"1984-01","1984","01","-4.6","","-17.1","","-10.9","","8.8","","-35.0","","0.0","T","19.2","","19.2","","15","",,"",,""
"1984-02","1984","02","2.5","","-10.3","","-3.9","","13.5","","-20.0","","0.3","","8.6","","8.9","","17","",,"",,""
"1984-03","1984","03","1.8","","-11.0","","-4.6","","12.8","","-27.5","","0.0","T","5.0","","5.0","","0","",,"",,""
"1984-04","1984","04","13.5","","-1.9","","5.8","","25.0","","-8.8","","16.7","","0.0","","16.7","","0","",,"",,""
"1984-05","1984","05","13.8","","1.2","","7.5","","22.3","","-7.5","","102.6","","0.0","T","102.6","","0","",,"",,""
"1984-06","1984","06","21.6","E","8.6","","15.1","E","31.5","","0.5","","64.2","","0.0","","64.2","","0","",,"",,""
"1984-07","1984","07","24.1","","7.6","","15.9","","31.3","","1.5","","64.4","","0.0","","64.4","","0","",,"",,""
"1984-08","1984","08","23.5","","6.9","","15.2","","30.8","","-3.5","","48.6","","0.0","","48.6","","0","",,"",,""
"1984-09","1984","09","12.1","","0.2","","6.2","","22.5","","-9.5","","111.1","","0.0","T","111.1","","0","",,"",,""
"1984-10","1984","10","7.0","","-2.4","","2.3","","","M","","M","16.2","","40.0","","56.2","","13","",,"",,""
"1984-11","1984","11","-6.6","","-17.0","","-11.8","","4.5","","-34.3","","0.0","","38.4","","38.4","","26","",,"",,""
"1984-12","1984","12","-14.1","","-25.8","","-20.0","","9.0","","-40.5","","0.0","","15.5","","15.5","","29","",,"",,""
"1985-01","1985","01","-6.7","","-17.6","","-12.2","","10.0","","-42.5","","0.2","","25.0","","25.2","","42","",,"",,""
"1985-02","1985","02","-8.7","","-23.2","","-16.0","","13.0","","-43.0","","0.6","","10.6","","11.2","","46","",,"",,""
"1985-03","1985","03","4.1","","-8.0","","-2.0","","12.0","","-25.0","","0.0","","1.6","","1.6","","20","",,"",,""
"1985-04","1985","04","9.0","","-2.8","","3.1","","19.3","","-9.0","S","11.8","","41.8","","53.6","","0","T",,"",,""
"1985-05","1985","05","19.7","","3.7","","11.7","","27.5","","-3.5","","20.4","","0.0","","20.4","","0","",,"",,""
"1985-06","1985","06","19.2","","4.8","","12.0","","26.0","","-4.5","","69.5","","0.0","","69.5","","0","",,"",,""
"1985-07","1985","07","24.0","","7.6","","15.8","","29.5","","4.0","","55.7","","0.0","","55.7","","0","",,"",,""
"1985-08","1985","08","21.2","","5.8","","13.5","","30.0","S","-3.5","","43.6","","0.0","","43.6","","0","",,"",,""
"1985-09","1985","09","12.1","","1.1","","6.6","","20.0","","-11.0","","57.5","","1.8","","59.3","","0","",,"",,""
"1985-10","1985","10","7.3","","-2.5","","2.4","","","M","","M","14.9","","","M","","M","4","",,"",,""
"1985-11","1985","11","-11.5","","-20.9","","-16.2","","4.8","","-38.8","","0.0","","10.3","","10.3","","9","",,"",,""
"1985-12","1985","12","-5.8","","-15.9","","-10.9","","","M","","M","","M","","M","","M","24","",,"",,""
"1986-01","1986","01","-4.0","","-15.5","","-9.8","","8.5","","-27.3","","0.0","","33.3","","33.3","","41","",,"",,""
"1986-02","1986","02","-8.5","","-21.6","","-15.1","","12.8","","-44.7","","0.0","","4.4","","4.4","","25","",,"",,""
"1986-03","1986","03","5.2","","-5.8","","-0.3","","14.5","","-22.0","","1.2","","17.3","","18.5","","6","",,"",,""
"1986-04","1986","04","8.5","","-3.8","","2.4","","20.0","","-25.0","","7.0","","28.9","","35.9","","10","",,"",,""
"1986-05","1986","05","18.2","E","3.9","","11.1","E","31.8","","-4.8","","19.0","","0.0","T","19.0","","0","",,"",,""
"1986-06","1986","06","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1986-07","1986","07","20.3","","9.8","","15.1","","26.3","","2.3","","208.5","","0.0","","208.5","","0","",,"",,""
"1986-08","1986","08","22.5","","6.1","","14.3","","28.3","","-0.8","","23.1","","0.0","","23.1","","0","",,"",,""
"1986-09","1986","09","15.0","","1.3","","8.2","","23.5","","-7.0","S","36.4","","0.0","","36.4","","0","",,"",,""
"1986-10","1986","10","13.0","","-0.5","","6.3","","","M","","M","15.8","","5.9","","21.7","","3","",,"",,""
"1986-11","1986","11","-5.5","","-14.4","","-10.0","","10.0","","-31.0","","4.6","","19.1","","23.7","","7","",,"",,""
"1986-12","1986","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-01","1987","01","-4.2","","-15.2","","-9.7","","","M","","M","2.2","","16.4","","18.6","","","M",,"",,""
"1987-02","1987","02","-0.4","","-11.3","","-5.9","","9.8","","-25.0","","0.0","T","12.4","","12.4","","","M",,"",,""
"1987-03","1987","03","-2.7","","-13.0","","-7.9","","12.5","","-32.0","","0.0","","26.0","","26.0","","","M",,"",,""
"1987-04","1987","04","13.1","","-1.4","","5.9","","25.0","","","M","50.2","","2.6","","52.8","","0","",,"",,""
"1987-05","1987","05","19.0","","2.1","","10.6","","29.3","","-11.0","","28.0","","11.6","","39.6","","0","",,"",,""
"1987-06","1987","06","22.2","","7.9","","15.1","","30.0","","1.5","S","54.0","","0.0","","54.0","","0","",,"",,""
"1987-07","1987","07","24.6","","8.7","","16.7","","35.0","","1.5","S","52.4","","0.0","","52.4","","0","",,"",,""
"1987-08","1987","08","20.7","","5.3","","13.0","","31.5","","0.0","S","93.8","","0.0","","93.8","","0","",,"",,""
"1987-09","1987","09","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1987-10","1987","10","9.7","","-1.1","","4.3","","26.5","","-10.0","","7.7","","0.0","T","7.7","","","M",,"",,""
"1987-11","1987","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1987-12","1987","12","-5.2","E","-15.2","E","-10.2","E","","M","","M","","M","","M","","M","6","",,"",,""
"1988-01","1988","01","-10.2","","-21.6","","-15.9","","3.3","","-42.5","","0.0","T","34.1","","34.1","","27","",,"",,""
"1988-02","1988","02","-4.9","","-18.7","","-11.8","","13.0","","-44.0","","6.4","","10.6","","17.0","","6","",,"",,""
"1988-03","1988","03","4.6","","-5.4","","-0.4","","13.5","","-15.5","","11.8","","6.5","","18.3","","","M",,"",,""
"1988-04","1988","04","13.0","","-1.8","","5.6","","25.5","","-10.0","","21.9","","2.0","","23.9","","0","",,"",,""
"1988-05","1988","05","20.2","","3.4","","11.8","","30.5","","-5.0","","27.2","","0.0","","27.2","","0","",,"",,""
"1988-06","1988","06","22.1","E","8.7","E","15.4","E","28.5","","3.0","S","","M","0.0","","","M","0","",,"",,""
"1988-07","1988","07","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1988-08","1988","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1988-09","1988","09","","M","","M","","M","","M","","M","","M","0.0","","","M","0","",,"",,""
"1988-10","1988","10","11.6","","-3.1","","4.3","","25.0","","-17.3","","10.8","","6.0","","16.8","","2","",,"",,""
"1988-11","1988","11","-1.4","","-8.9","","-5.2","","11.3","","-27.0","","7.1","","16.4","","23.5","","5","",,"",,""
"1988-12","1988","12","-6.3","","-15.8","E","-11.1","E","7.8","","-33.0","","0.4","","21.8","","22.2","","16","",,"",,""
"1989-01","1989","01","-6.5","","-19.4","","-13.0","","10.5","","-41.0","","1.6","","9.8","","11.4","","8","",,"",,""
"1989-02","1989","02","-11.2","","-23.0","","-17.1","","2.2","","-41.0","","0.0","T","2.5","","2.5","","11","",,"",,""
"1989-03","1989","03","-7.0","","-19.5","","-13.3","","10.5","","-35.8","","0.0","T","9.7","","9.7","","11","",,"",,""
"1989-04","1989","04","10.6","","-4.7","","3.0","","22.5","","-16.5","","3.6","","4.7","","8.3","","0","",,"",,""
"1989-05","1989","05","17.2","","2.1","","9.7","","27.8","","-6.3","","67.4","","0.0","T","67.4","","0","",,"",,""
"1989-06","1989","06","","M","","M","","M","","M","","M","","M","","M","","M","0","",,"",,""
"1989-07","1989","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-08","1989","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-09","1989","09","16.9","","3.4","","10.2","","25.0","","-5.0","S","36.1","","0.0","T","36.1","","0","",,"",,""
"1989-10","1989","10","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-11","1989","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1989-12","1989","12","-6.5","E","-16.8","E","-11.7","E","8.0","","-46.0","","10.0","","32.7","","42.7","","7","",,"",,""
"1990-01","1990","01","","","","","","","","","","","","","","","","","","",,"",,""
"1990-02","1990","02","","","","","","","","","","","","","","","","","","",,"",,""
"1990-03","1990","03","","","","","","","","","","","","","","","","","","",,"",,""
"1990-04","1990","04","","","","","","","","","","","","","","","","","","",,"",,""
"1990-05","1990","05","","","","","","","","","","","","","","","","","","",,"",,""
"1990-06","1990","06","","","","","","","","","","","","","","","","","","",,"",,""
"1990-07","1990","07","","","","","","","","","","","","","","","","","","",,"",,""
"1990-08","1990","08","","","","","","","","","","","","","","","","","","",,"",,""
"1990-09","1990","09","","","","","","","","","","","","","","","","","","",,"",,""
"1990-10","1990","10","","","","","","","","","","","","","","","","","","",,"",,""
"1990-11","1990","11","","","","","","","","","","","","","","","","","","",,"",,""
"1990-12","1990","12","","","","","","","","","","","","","","","","","","",,"",,""
"1991-01","1991","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-02","1991","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-03","1991","03","5.6","I","-7.5","I","-1.0","I","17.0","I","-19.0","I","2.5","","5.0","","7.5","","","",,"",,""
"1991-04","1991","04","12.9","","-2.2","","5.4","","21.8","","-8.3","","7.2","","0.0","T","7.2","","0","",,"",,""
"1991-05","1991","05","18.2","E","3.4","E","10.8","E","27.3","","-7.8","","29.1","","0.0","","29.1","","0","",,"",,""
"1991-06","1991","06","20.0","E","7.2","E","13.6","E","26.0","S","-0.3","","115.7","","0.0","","115.7","","0","",,"",,""
"1991-07","1991","07","25.0","E","9.1","E","17.1","E","32.0","","2.5","","29.2","","0.0","","29.2","","0","",,"",,""
"1991-08","1991","08","26.6","I","11.9","I","19.6","I","34.5","I","6.0","I","34.9","","0.0","","34.9","","0","",,"",,""
"1991-09","1991","09","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-10","1991","10","","","","","","","","","","","","","","","","","","",,"",,""
"1991-11","1991","11","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1991-12","1991","12","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1992-01","1992","01","-2.3","","-13.7","","-8.0","","9.3","","-34.5","","1.2","","36.4","","37.6","","47","",,"",,""
"1992-02","1992","02","-2.7","","-13.2","","-8.0","","17.0","","-36.0","","0.0","","6.2","","6.2","","16","",,"",,""
"1992-03","1992","03","7.9","E","-4.3","","1.8","E","18.8","","-21.0","","1.0","","4.2","","5.2","","0","",,"",,""
"1992-04","1992","04","13.1","E","-1.0","","6.1","E","24.5","","-20.0","","9.9","","4.3","","14.2","","0","",,"",,""
"1992-05","1992","05","17.1","","5.5","","11.3","","28.3","","-4.0","","43.6","","17.8","","61.4","","0","",,"",,""
"1992-06","1992","06","22.1","","7.7","","14.9","","30.5","S","0.0","","54.4","","0.0","","54.4","","0","",,"",,""
"1992-07","1992","07","22.6","E","8.5","E","15.6","E","29.0","","2.0","","64.3","I","0.0","","64.3","I","0","",,"",,""
"1992-08","1992","08","21.5","E","5.0","E","13.3","E","33.3","E","-5.0","E","37.9","","1.8","","39.7","","0","",,"",,""
"1992-09","1992","09","13.5","E","2.1","","7.8","E","28.0","","-8.0","","56.8","","0.8","","57.6","","0","",,"",,""
"1992-10","1992","10","9.7","E","-3.2","","3.3","E","26.0","","-19.5","","11.4","","3.8","","15.2","","1","",,"",,""
"1992-11","1992","11","0.4","","-6.9","E","-3.3","E","7.3","","-21.0","","0.8","","16.0","","16.8","","7","",,"",,""
"1992-12","1992","12","-13.8","","-24.4","","-19.1","","3.8","","-48.0","","0.0","","20.0","","20.0","","21","",,"",,""
"1993-01","1993","01","-10.1","E","-23.3","","-16.7","E","18.3","","-40.3","","6.0","","13.6","","19.6","","16","",,"",,""
"1993-02","1993","02","-4.6","E","-16.7","","-10.7","E","13.5","","-31.0","S","0.0","","2.5","","2.5","","4","",,"",,""
"1993-03","1993","03","4.9","","-7.1","","-1.1","","15.0","","-21.0","","0.4","","4.4","","4.8","","","M",,"",,""
"1993-04","1993","04","10.0","E","-1.2","","4.4","E","20.0","","-12.0","","47.6","","37.7","","85.3","","0","",,"",,""
"1993-05","1993","05","18.7","E","2.5","E","10.6","E","32.5","","-3.0","S","103.2","","0.0","","103.2","","0","",,"",,""
"1993-06","1993","06","19.8","","6.1","E","13.0","E","27.3","","-1.0","","86.3","","0.0","","86.3","","0","",,"",,""
"1993-07","1993","07","20.8","I","7.8","I","14.3","I","24.8","I","1.5","I","76.3","","0.0","","76.3","","0","",,"",,""
"1993-08","1993","08","20.9","","7.5","","14.2","","28.5","","-0.8","","120.2","","0.0","","120.2","","0","",,"",,""
