"Station Name","W VANC BALLANTREE PLACE"
"Province","BRITISH COLUMBIA"
"Latitude","49.37"
"Longitude","-123.13"
"Elevation","289.60"
"Climate Identifier","1108823"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1972-01","1972","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-02","1972","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1972-03","1972","03","","","","","","","","","","","","M","","M","","M","0","",,"",,""
"1972-04","1972","04","","","","","","","","","","","208.3","","25.9","","234.2","","0","",,"",,""
"1972-05","1972","05","","","","","","","","","","","80.3","","0.0","","80.3","","0","",,"",,""
"1972-06","1972","06","","","","","","","","","","","114.3","","0.0","","114.3","","0","",,"",,""
"1972-07","1972","07","","","","","","","","","","","235.0","","0.0","","235.0","","0","",,"",,""
"1972-08","1972","08","","","","","","","","","","","43.2","","0.0","","43.2","","0","",,"",,""
"1972-09","1972","09","","","","","","","","","","","174.5","","0.0","","174.5","","0","",,"",,""
"1972-10","1972","10","","","","","","","","","","","84.8","","0.0","T","84.8","","0","",,"",,""
"1972-11","1972","11","","","","","","","","","","","339.6","","0.0","","339.6","","0","",,"",,""
"1972-12","1972","12","","","","","","","","","","","566.9","","38.4","","605.3","","5","",,"",,""
"1973-01","1973","01","","","","","","","","","","","360.4","","15.2","","375.7","","0","",,"",,""
"1973-02","1973","02","","","","","","","","","","","151.4","","0.0","T","151.4","","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","159.5","","1.5","","161.0","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","46.5","","0.0","","46.5","","","M",,"",,""
"1973-05","1973","05","","","","","","","","","","","114.0","","0.0","","114.0","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","190.0","","0.0","","190.0","","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","39.4","","0.0","","39.4","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","61.2","","0.0","","61.2","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","99.1","","0.0","","99.1","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","291.3","","0.0","","291.3","","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","266.2","","37.8","","304.0","","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","447.8","","7.1","","454.9","","3","",,"",,""
"1974-01","1974","01","","","","","","","","","","","413.8","","31.2","","445.0","","0","",,"",,""
"1974-02","1974","02","","","","","","","","","","","329.2","","14.5","","343.7","","0","",,"",,""
