"Station Name","WABAMUN"
"Province","ALBERTA"
"Latitude","53.57"
"Longitude","-114.47"
"Elevation","728.50"
"Climate Identifier","3016900"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1906-01","1906","01","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1906-02","1906","02","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1906-03","1906","03","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1906-04","1906","04","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1906-05","1906","05","","","","","","","","","","","","M","","M","","M","","",,"",,""
"1906-06","1906","06","","","","","","","","","","","113.5","","0.0","","113.5","","","",,"",,""
"1906-07","1906","07","","","","","","","","","","","100.1","","0.0","","100.1","","","",,"",,""
"1906-08","1906","08","","","","","","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1906-09","1906","09","","","","","","","","","","","21.3","","0.0","","21.3","","","",,"",,""
"1906-10","1906","10","","","","","","","","","","","13.2","","0.0","","13.2","","","",,"",,""
"1906-11","1906","11","","","","","","","","","","","1.8","","44.2","","46.0","","","",,"",,""
"1906-12","1906","12","","","","","","","","","","","0.0","","47.2","","47.2","","","",,"",,""
"1907-01","1907","01","","","","","","","","","","","0.0","","33.3","","33.3","","","",,"",,""
"1907-02","1907","02","","","","","","","","","","","1.3","","28.2","","29.5","","","",,"",,""
"1907-03","1907","03","","","","","","","","","","","0.0","","18.8","","18.8","","","",,"",,""
"1907-04","1907","04","","","","","","","","","","","0.5","","10.7","","11.2","","","",,"",,""
"1907-05","1907","05","","","","","","","","","","","42.2","","13.2","","55.4","","","",,"",,""
"1907-06","1907","06","","","","","","","","","","","115.3","","0.0","","115.3","","","",,"",,""
"1907-07","1907","07","","","","","","","","","","","69.3","","0.0","","69.3","","","",,"",,""
"1907-08","1907","08","","","","","","","","","","","106.7","","0.0","","106.7","","","",,"",,""
"1907-09","1907","09","","","","","","","","","","","28.7","","3.8","","32.5","","","",,"",,""
"1907-10","1907","10","","","","","","","","","","","11.4","","0.0","","11.4","","","",,"",,""
"1907-11","1907","11","","","","","","","","","","","4.6","","0.0","T","4.6","","","",,"",,""
"1907-12","1907","12","","","","","","","","","","","0.0","","30.5","","30.5","","","",,"",,""
"1908-01","1908","01","","","","","","","","","","","0.0","","10.9","","10.9","","","",,"",,""
"1908-02","1908","02","","","","","","","","","","","4.1","","16.0","","20.1","","","",,"",,""
"1908-03","1908","03","","","","","","","","","","","0.5","","35.6","","36.1","","","",,"",,""
"1908-04","1908","04","","","","","","","","","","","11.7","","0.0","","11.7","","","",,"",,""
