"Station Name","WAKEHAM"
"Province","QUEBEC"
"Latitude","48.85"
"Longitude","-64.62"
"Elevation","15.20"
"Climate Identifier","7058840"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1953-01","1953","01","-3.8","","-14.8","","-9.3","","","M","","M","","M","","M","","M","","M",,"",,""
"1953-02","1953","02","-2.5","","-13.9","","-8.2","","9.4","","-24.4","","0.0","","127.5","","127.5","","41","",,"",,""
"1953-03","1953","03","0.8","","-9.2","","-4.2","","11.7","","-26.1","","59.2","","59.7","","118.9","","25","",,"",,""
"1953-04","1953","04","7.1","","-0.4","","3.4","","11.7","","-4.4","","63.5","","5.1","","68.6","","","M",,"",,""
"1953-05","1953","05","12.5","","1.5","","7.0","","22.8","","-5.0","","57.9","","0.0","T","57.9","","","M",,"",,""
"1953-06","1953","06","20.0","","6.7","","13.4","","30.6","","-3.3","","81.5","","0.0","","81.5","","","M",,"",,""
"1953-07","1953","07","24.4","","10.8","","17.6","","37.2","","4.4","","42.4","","0.0","T","42.4","","","M",,"",,""
"1953-08","1953","08","21.7","","8.0","","14.9","","32.2","","0.6","","77.5","","0.0","","77.5","","","M",,"",,""
"1953-09","1953","09","17.9","","6.6","","12.3","","25.0","S","-2.2","S","110.2","","0.0","","110.2","","","M",,"",,""
"1953-10","1953","10","11.3","","-0.6","","5.4","","25.6","","-5.0","","67.1","","12.7","","79.8","","","M",,"",,""
"1953-11","1953","11","6.6","","-1.7","","2.5","","17.2","S","-10.6","","61.7","","8.9","","70.6","","","M",,"",,""
"1953-12","1953","12","-1.3","","-10.3","","-5.8","","7.8","","-25.6","","17.8","","82.6","","100.3","","25","",,"",,""
"1954-01","1954","01","-7.7","","-18.1","","-12.9","","2.2","","-32.2","","0.0","","147.3","","147.3","","107","",,"",,""
"1954-02","1954","02","-0.5","","-11.3","","-5.9","","11.7","","-27.8","","33.5","","36.8","","70.4","","64","",,"",,""
"1954-03","1954","03","-0.4","","-9.2","","-4.8","","5.6","S","-22.2","","21.8","","31.8","","53.6","","43","",,"",,""
"1954-04","1954","04","5.4","","-5.7","","-0.2","","14.4","","-18.9","","43.2","","3.8","","47.0","","0","",,"",,""
"1954-05","1954","05","12.4","","1.8","","7.1","","23.9","","-2.8","S","84.8","","2.5","","87.4","","","M",,"",,""
"1954-06","1954","06","18.9","","7.4","","13.2","","28.9","","-0.6","","120.7","","0.0","","120.7","","","M",,"",,""
"1954-07","1954","07","21.2","","10.8","","16.0","","27.2","","5.6","S","167.9","","0.0","","167.9","","","M",,"",,""
"1954-08","1954","08","19.9","","8.8","","14.4","","27.2","","2.8","","158.8","","0.0","","158.8","","","M",,"",,""
"1954-09","1954","09","16.8","","4.5","","10.7","","26.7","","-1.1","S","139.7","","0.0","","139.7","","","M",,"",,""
"1954-10","1954","10","10.2","","1.1","","5.7","","20.0","","-6.7","","76.2","","0.5","","76.7","","","M",,"",,""
"1954-11","1954","11","4.4","","-3.4","","0.5","","16.7","","-12.2","","80.5","","20.3","","100.8","","5","",,"",,""
"1954-12","1954","12","-0.9","","-9.3","","-5.1","","9.4","","-21.1","","47.5","","160.0","","207.5","","58","",,"",,""
"1955-01","1955","01","-2.6","","-9.6","","-6.1","","3.3","S","-28.3","","64.3","","58.4","","122.7","","51","",,"",,""
"1955-02","1955","02","-2.7","","-13.7","","-8.2","","9.4","","-30.6","","27.2","","57.2","","84.3","","","M",,"",,""
"1955-03","1955","03","-1.3","","-10.3","","-5.8","","7.2","S","-24.4","","3.8","","240.0","","243.8","","","M",,"",,""
"1955-04","1955","04","6.2","","-3.3","","1.5","","14.4","","-11.7","","20.1","","39.4","","59.4","","","M",,"",,""
"1955-05","1955","05","11.2","","1.7","","6.5","","22.8","S","-5.0","","63.2","","0.0","T","63.2","","","M",,"",,""
"1955-06","1955","06","20.0","","7.8","","13.9","","31.7","S","0.0","","49.3","","0.0","","49.3","","","M",,"",,""
"1955-07","1955","07","25.6","","10.2","","17.9","","37.8","","3.3","","43.7","","0.0","","43.7","","","M",,"",,""
"1955-08","1955","08","24.0","","10.4","","17.2","","31.1","","4.4","","133.1","","0.0","","133.1","","","M",,"",,""
"1955-09","1955","09","16.7","","4.7","","10.7","","28.9","","-2.8","","81.3","","0.0","","81.3","","","M",,"",,""
"1955-10","1955","10","11.4","","1.0","","6.2","","21.1","","-4.4","","49.8","","3.0","","52.8","","","M",,"",,""
"1955-11","1955","11","3.4","","-3.0","","0.2","","8.9","","-12.8","","28.4","","44.5","","72.9","","","M",,"",,""
"1955-12","1955","12","-4.1","","-13.1","","-8.6","","1.1","","-23.9","","0.0","","79.8","","79.8","","36","",,"",,""
"1956-01","1956","01","-1.5","","-6.4","","-4.0","","3.9","","-23.3","","77.7","","119.6","","197.4","","76","",,"",,""
"1956-02","1956","02","-3.9","","-15.8","","-9.9","","2.2","","-26.1","","0.0","","49.5","","49.5","","0","",,"",,""
"1956-03","1956","03","-1.1","","-14.4","","-7.8","","8.9","","-25.0","","1.3","","56.6","","57.9","","112","",,"",,""
"1956-04","1956","04","5.3","","-2.7","","1.3","","11.1","","-7.8","","37.3","","40.6","","78.0","","0","T",,"",,""
"1956-05","1956","05","11.3","","-1.3","","5.0","","23.9","","-8.3","","11.2","","3.0","","14.2","","0","",,"",,""
"1956-06","1956","06","18.4","","6.4","","12.4","","32.2","","-3.9","","120.4","","0.0","","120.4","","0","",,"",,""
"1956-07","1956","07","21.4","","8.9","","15.2","","27.8","S","3.9","","51.6","","0.0","","51.6","","0","",,"",,""
"1956-08","1956","08","21.1","","7.6","","14.4","","27.8","","1.1","","107.4","","0.0","","107.4","","0","",,"",,""
"1956-09","1956","09","17.4","","3.0","","10.2","","27.2","","-3.3","","66.3","","0.0","T","66.3","","0","",,"",,""
"1956-10","1956","10","12.9","","-0.1","","6.4","","20.6","","-8.9","","35.6","","0.0","T","35.6","","0","",,"",,""
"1956-11","1956","11","5.3","","-5.9","","-0.3","","18.3","S","-16.7","","36.6","","49.5","","86.1","","23","",,"",,""
"1956-12","1956","12","-4.8","","-15.8","","-10.3","","6.7","","-23.9","","7.6","","61.2","","68.8","","41","",,"",,""
"1957-01","1957","01","-10.4","","-25.1","","-17.8","","6.1","","-36.1","","7.4","","18.0","","25.4","","36","",,"",,""
"1957-02","1957","02","-4.8","","-15.8","","-10.3","","3.9","","-30.6","","0.0","T","138.2","","138.2","","69","",,"",,""
"1957-03","1957","03","1.7","","-6.9","","-2.6","","8.9","","-25.6","","17.0","","84.8","","101.9","","64","",,"",,""
"1957-04","1957","04","5.9","","-3.6","","1.2","","12.2","","-10.6","","29.5","","48.3","","77.7","","","M",,"",,""
"1957-05","1957","05","12.2","","-0.4","","5.9","","22.2","","-7.2","","54.9","","5.1","","59.9","","0","",,"",,""
"1957-06","1957","06","18.9","","5.8","","12.4","","29.4","","-1.1","S","99.3","","0.0","T","99.3","","0","",,"",,""
"1957-07","1957","07","21.7","","9.8","","15.8","","29.4","","5.0","S","148.8","","0.0","","148.8","","0","",,"",,""
"1957-08","1957","08","22.1","","8.3","","15.2","","28.9","","-0.6","","23.4","","0.0","","23.4","","0","",,"",,""
"1957-09","1957","09","18.1","","5.1","","11.6","","25.6","S","-2.8","","96.8","","0.0","","96.8","","0","",,"",,""
"1957-10","1957","10","13.2","","1.3","","7.3","","24.4","","-9.4","","42.2","","0.0","T","42.2","","","M",,"",,""
"1957-11","1957","11","4.8","","-3.5","","0.7","","15.0","S","-13.9","","89.2","","17.8","","106.9","","","M",,"",,""
"1957-12","1957","12","0.6","","-9.4","","-4.4","","12.8","","-19.4","","71.6","","50.8","","122.4","","0","T",,"",,""
"1958-01","1958","01","-1.8","","-10.6","","-6.2","","3.3","","-22.2","","79.0","","100.3","","179.3","","51","",,"",,""
"1958-02","1958","02","-2.4","","-11.0","","-6.7","","1.7","S","-22.8","","0.0","","180.6","","180.6","","127","",,"",,""
"1958-03","1958","03","3.4","","-3.9","","-0.3","","7.8","","-11.7","S","35.6","","7.1","","42.7","","56","",,"",,""
"1958-04","1958","04","8.9","","-2.0","","3.5","","20.6","","-10.6","","52.8","","26.4","","79.2","","","M",,"",,""
"1958-05","1958","05","13.7","","0.9","","7.3","","20.6","S","-5.6","S","66.8","","0.0","","66.8","","","M",,"",,""
"1958-06","1958","06","16.5","","3.3","","9.9","","25.6","","-3.3","","77.2","","0.0","","77.2","","","M",,"",,""
"1958-07","1958","07","23.2","","9.0","","16.1","","30.0","","3.3","S","64.5","","0.0","","64.5","","","M",,"",,""
"1958-08","1958","08","21.6","","8.3","","15.0","","28.9","","1.7","","83.1","","0.0","","83.1","","","M",,"",,""
"1958-09","1958","09","17.8","","3.9","","10.9","","26.7","S","-2.8","","38.6","","0.0","","38.6","","","M",,"",,""
"1958-10","1958","10","9.9","","-1.4","","4.3","","20.0","","-7.2","","52.8","","1.3","","54.1","","","M",,"",,""
"1958-11","1958","11","3.1","","-5.4","","-1.2","","11.1","S","-19.4","","17.3","","48.3","","65.5","","","M",,"",,""
"1958-12","1958","12","-7.2","","-20.2","","-13.7","","2.2","","-28.3","S","1.0","","40.6","","41.7","","33","",,"",,""
"1959-01","1959","01","-3.9","","-15.4","","-9.7","","10.0","S","-26.7","","15.7","","44.5","","60.2","","","M",,"",,""
"1959-02","1959","02","-7.7","","-21.8","","-14.8","","2.2","","-32.2","","0.0","","47.0","","47.0","","","M",,"",,""
"1959-03","1959","03","-1.2","","-12.6","","-6.9","","11.1","","-24.4","","10.9","","104.1","","115.1","","69","",,"",,""
"1959-04","1959","04","7.2","","-4.3","","1.5","","14.4","","-12.2","S","53.6","","21.6","","75.2","","","M",,"",,""
"1959-05","1959","05","15.0","","2.6","","8.8","","30.0","","-3.9","","77.5","","0.0","T","77.5","","","M",,"",,""
"1959-06","1959","06","18.1","","6.1","","12.1","","29.4","","-1.7","S","130.3","","0.0","","130.3","","","M",,"",,""
"1959-07","1959","07","27.3","","12.3","","19.8","","32.8","","4.4","","63.8","","0.0","","63.8","","","M",,"",,""
"1959-08","1959","08","21.6","","9.7","","15.7","","27.2","","0.6","","79.2","","0.0","","79.2","","","M",,"",,""
"1959-09","1959","09","20.2","","5.3","","12.8","","32.2","","-3.3","S","25.9","","0.0","","25.9","","","M",,"",,""
"1959-10","1959","10","10.6","","-0.3","","5.2","","20.6","","-11.7","","87.1","","3.8","","90.9","","","M",,"",,""
"1959-11","1959","11","3.7","","-6.0","","-1.2","","18.3","","-17.2","","81.3","","30.0","","111.3","","20","",,"",,""
"1959-12","1959","12","-1.9","","-12.3","","-7.1","","6.7","","-21.7","","18.5","","45.7","","64.3","","30","",,"",,""
"1960-01","1960","01","-5.2","","-14.7","","-10.0","","4.4","","-27.8","","7.1","","76.2","","83.3","","58","",,"",,""
"1960-02","1960","02","-0.2","","-8.7","","-4.5","","3.3","S","-22.8","","50.3","","194.6","","244.9","","132","",,"",,""
"1960-03","1960","03","-1.4","","-12.5","","-7.0","","4.4","","-21.1","S","17.5","","198.1","","215.6","","165","",,"",,""
"1960-04","1960","04","5.1","","-5.4","","-0.2","","13.3","","-15.6","","32.3","","1.8","","34.0","","56","",,"",,""
"1960-05","1960","05","15.8","","1.9","","8.9","","28.3","","-2.8","","56.6","","0.0","","56.6","","","M",,"",,""
"1960-06","1960","06","20.6","","7.0","","13.8","","31.7","","0.0","S","78.2","","0.0","","78.2","","","M",,"",,""
"1960-07","1960","07","24.2","","9.8","","17.0","","30.0","","3.3","","95.3","","0.0","","95.3","","","M",,"",,""
"1960-08","1960","08","25.4","","8.2","","16.8","","33.9","","2.8","","13.0","","0.0","","13.0","","","M",,"",,""
"1960-09","1960","09","18.8","","4.6","","11.7","","27.8","","-2.2","S","55.9","","0.0","","55.9","","","M",,"",,""
"1960-10","1960","10","10.6","","-0.2","","5.2","","16.7","","-8.9","","80.8","","0.0","","80.8","","","M",,"",,""
"1960-11","1960","11","4.0","","-4.1","","-0.1","","12.8","","-11.7","","53.8","","9.1","","63.0","","","M",,"",,""
"1960-12","1960","12","-2.8","","-13.2","","-8.0","","7.8","S","-23.9","","69.3","","77.5","","146.8","","15","",,"",,""
"1961-01","1961","01","-9.4","","-21.5","","-15.5","","-0.6","","-33.3","","0.0","","78.7","","78.7","","38","",,"",,""
"1961-02","1961","02","-6.1","","-18.6","","-12.4","","0.0","","-33.3","","0.0","","36.8","","36.8","","51","",,"",,""
"1961-03","1961","03","-0.8","","-12.7","","-6.8","","8.9","S","-24.4","","1.3","","130.8","","132.1","","56","",,"",,""
"1961-04","1961","04","6.3","","-2.4","","2.0","","12.2","","-7.2","","","M","","M","","M","0","",,"",,""
"1961-05","1961","05","13.9","","2.2","","8.1","","26.1","","-4.4","","117.9","","3.0","","120.9","","","M",,"",,""
"1961-06","1961","06","20.3","","6.9","","13.6","","28.3","","0.0","","68.3","","0.0","","68.3","","","M",,"",,""
"1961-07","1961","07","23.1","","10.8","","17.0","","29.4","S","5.0","S","67.8","","0.0","","67.8","","","M",,"",,""
"1961-08","1961","08","23.6","","9.5","","16.6","","30.0","","3.3","","79.0","","0.0","","79.0","","","M",,"",,""
"1961-09","1961","09","20.1","","7.6","","13.9","","27.8","","-1.1","","77.2","","0.0","","77.2","","","M",,"",,""
"1961-10","1961","10","11.8","","1.8","","6.8","","25.6","","-7.2","","62.5","","0.0","T","62.5","","","M",,"",,""
"1961-11","1961","11","5.4","","-2.3","","1.6","","20.0","","-11.1","","93.2","","22.9","","116.1","","0","",,"",,""
"1961-12","1961","12","-0.4","","-6.2","","-3.3","","7.8","","-17.2","","76.5","","55.4","","131.8","","3","",,"",,""
"1962-01","1962","01","-6.4","","-17.8","","-12.1","","7.2","","-34.4","","25.9","","53.3","","79.2","","18","",,"",,""
"1962-02","1962","02","-7.3","","-21.1","","-14.2","","4.4","","-35.0","","1.0","","45.7","","46.7","","15","",,"",,""
"1962-03","1962","03","3.8","","-5.7","","-1.0","","16.7","","-16.1","","20.6","","108.0","","128.5","","5","",,"",,""
"1962-04","1962","04","6.4","","-3.3","","1.6","","15.6","","-10.6","","20.6","","93.5","","114.0","","5","",,"",,""
"1962-05","1962","05","13.4","","0.7","","7.1","","27.8","","-3.9","","33.8","","0.0","T","33.8","","0","",,"",,""
"1962-06","1962","06","21.2","","7.1","","14.2","","35.6","","0.6","","64.8","","0.0","","64.8","","0","",,"",,""
"1962-07","1962","07","19.3","","8.8","","14.1","","27.2","","4.4","S","184.7","","0.0","","184.7","","0","",,"",,""
"1962-08","1962","08","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1962-09","1962","09","16.0","","5.6","","10.8","","29.4","","-2.8","","81.8","","0.0","","81.8","","0","",,"",,""
"1962-10","1962","10","11.2","","0.8","","6.0","","24.4","","-7.8","","110.7","","11.4","","122.2","","","M",,"",,""
"1962-11","1962","11","3.9","","-3.9","","0.0","","12.2","","-13.3","","125.7","","43.7","","169.4","","0","",,"",,""
"1962-12","1962","12","-2.8","","-11.4","","-7.1","","9.4","","-23.3","S","64.8","","88.9","","153.7","","25","",,"",,""
"1963-01","1963","01","-5.1","","-14.1","","-9.6","","5.0","","-33.3","","19.1","","103.6","","122.7","","84","",,"",,""
"1963-02","1963","02","-7.3","","-21.2","","-14.3","","1.1","","-32.8","","0.0","","50.8","","50.8","","97","",,"",,""
"1963-03","1963","03","-0.4","","-12.8","","-6.6","","9.4","","-28.9","","5.3","","58.4","","63.8","","66","",,"",,""
"1963-04","1963","04","5.2","","-3.5","","0.9","","15.6","","-15.0","","38.6","","92.7","","131.3","","28","",,"",,""
"1963-05","1963","05","14.8","","0.8","","7.8","","27.8","","-5.6","","32.3","","1.3","","33.5","","0","",,"",,""
"1963-06","1963","06","20.5","","6.9","","13.7","","30.0","","0.6","","96.3","","0.0","","96.3","","0","",,"",,""
"1963-07","1963","07","23.4","","12.3","","17.9","","32.2","S","2.8","","121.2","","0.0","","121.2","","0","",,"",,""
"1963-08","1963","08","20.1","","8.6","","14.4","","28.3","","1.7","","115.8","","0.0","","115.8","","0","",,"",,""
"1963-09","1963","09","","M","","M","","M","","M","","M","85.6","","0.0","","85.6","","0","",,"",,""
"1963-10","1963","10","13.1","","1.4","","7.3","","24.4","","-7.2","","148.3","","12.7","","161.0","","","M",,"",,""
"1963-11","1963","11","6.3","","-1.7","","2.3","","16.7","","-7.2","S","83.1","","1.3","","84.3","","0","",,"",,""
"1963-12","1963","12","-5.2","","-15.3","","-10.3","","3.3","S","-23.9","S","0.0","","52.1","","52.1","","20","",,"",,""
"1964-01","1964","01","-5.3","","-17.3","","-11.3","","2.8","","-31.1","","10.9","","59.7","","70.6","","46","",,"",,""
