"Station Name","WAPELLA PIPESTONE"
"Province","SASKATCHEWAN"
"Latitude","50.13"
"Longitude","-102.05"
"Elevation","609.00"
"Climate Identifier","4018510"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1982-01","1982","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-02","1982","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-03","1982","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-04","1982","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-05","1982","05","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-06","1982","06","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-07","1982","07","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1982-08","1982","08","23.1","E","9.4","E","16.3","E","","M","","M","28.4","","0.0","","28.4","","0","",,"",,""
"1982-09","1982","09","18.1","","5.2","","11.7","","33.5","","-2.0","","47.3","","0.0","T","47.3","","0","",,"",,""
"1982-10","1982","10","10.6","","1.5","","6.1","","22.0","","-4.5","","41.3","","0.8","","42.1","","0","",,"",,""
"1982-11","1982","11","-1.1","","-10.6","","-5.9","","10.5","","-22.0","","1.0","","2.4","","3.4","","0","",,"",,""
"1982-12","1982","12","-5.3","E","-14.0","","-9.7","E","6.0","","-29.5","","5.6","","13.0","","18.6","","11","",,"",,""
"1983-01","1983","01","-5.5","","-16.0","","-10.8","","6.0","","-34.5","","0.0","","13.0","","13.0","","20","",,"",,""
"1983-02","1983","02","-5.5","","-13.2","","-9.4","","7.0","","-32.0","","0.0","","10.0","","10.0","","12","",,"",,""
"1983-03","1983","03","-3.3","","-11.1","","-7.2","","9.5","","-27.0","","3.2","","33.5","E","36.7","E","29","",,"",,""
"1983-04","1983","04","5.8","","-4.2","","0.8","","19.5","","-15.0","","0.0","T","9.0","","9.0","","0","",,"",,""
"1983-05","1983","05","14.2","","2.1","","8.2","","26.0","S","-9.5","","22.6","","20.0","","42.6","","0","",,"",,""
"1983-06","1983","06","22.1","","9.5","","15.8","","32.0","","2.0","","28.5","E","0.0","","28.5","E","0","",,"",,""
"1983-07","1983","07","26.4","","13.7","","20.1","","33.0","","4.5","","72.0","","0.0","","72.0","","0","",,"",,""
"1983-08","1983","08","29.6","","14.2","","21.9","","37.5","","7.0","","18.4","","0.0","","18.4","","0","",,"",,""
"1983-09","1983","09","16.4","","6.1","","11.3","","33.0","","-6.5","","25.9","E","6.1","E","32.0","E","","M",,"",,""
"1983-10","1983","10","11.7","","0.5","","6.1","","20.0","S","-8.5","","13.6","E","0.4","","14.0","E","0","",,"",,""
"1983-11","1983","11","0.1","","-5.4","","-2.7","","17.0","","-19.5","","3.4","","11.6","","15.0","","8","",,"",,""
"1983-12","1983","12","-16.4","","-25.0","","-20.7","","-6.0","","-41.0","","0.0","","13.1","E","13.1","E","18","",,"",,""
"1984-01","1984","01","-7.0","E","-17.0","","-12.0","E","5.0","S","-32.5","","0.0","T","9.6","","9.6","","21","",,"",,""
"1984-02","1984","02","0.9","","-8.0","","-3.6","","8.0","S","-27.0","","0.4","","6.0","","6.4","","3","",,"",,""
"1984-03","1984","03","-2.7","","-10.9","","-6.8","","11.0","S","-28.5","S","17.0","","25.2","","42.2","","0","",,"",,""
"1984-04","1984","04","12.2","","-0.1","","6.1","","21.0","S","-8.0","","18.9","","20.0","","38.9","","5","",,"",,""
"1984-05","1984","05","16.1","","3.4","","9.8","","34.0","","-4.0","S","20.0","","1.0","","21.0","","0","",,"",,""
"1984-06","1984","06","22.6","","10.3","","16.5","","30.5","","-1.0","","50.0","","0.0","","50.0","","0","",,"",,""
"1984-07","1984","07","27.5","","12.6","","20.1","","34.0","","4.0","","16.0","","0.0","","16.0","","0","",,"",,""
"1984-08","1984","08","28.5","","13.6","","21.1","","35.0","S","1.0","","19.8","","0.0","","19.8","","0","",,"",,""
"1984-09","1984","09","13.8","","4.1","","9.0","","28.0","S","-4.0","","61.2","","3.6","","64.8","","0","",,"",,""
"1984-10","1984","10","7.3","","-1.3","","3.0","","23.0","","-22.0","","12.2","","44.0","","56.2","","19","",,"",,""
"1984-11","1984","11","-2.9","","-10.2","","-6.6","","7.5","","-22.0","","0.0","T","25.0","","25.0","","32","",,"",,""
"1984-12","1984","12","-12.1","","-22.1","","-17.1","","4.5","","-34.5","","0.0","","24.2","","24.2","","","M",,"",,""
"1985-01","1985","01","-10.1","E","-21.4","","-15.8","E","4.0","","-37.0","","0.0","T","19.0","","19.0","","","M",,"",,""
"1985-02","1985","02","-9.9","","-19.7","","-14.8","","5.0","","-35.0","","0.0","","14.6","","14.6","","","M",,"",,""
"1985-03","1985","03","1.2","","-7.1","","-3.0","","8.0","S","-19.5","S","0.3","","10.0","","10.3","","","M",,"",,""
"1985-04","1985","04","13.1","","0.9","E","7.0","E","27.5","","-8.0","","20.2","","0.8","","21.0","","","M",,"",,""
"1985-05","1985","05","19.1","","5.9","","12.5","","29.0","","0.0","S","27.8","","0.0","","27.8","","0","",,"",,""
"1985-06","1985","06","18.3","","7.2","E","12.8","E","27.0","S","0.0","S","90.8","","0.0","","90.8","","0","",,"",,""
"1985-07","1985","07","25.7","","11.1","","18.4","","34.0","","5.0","S","6.0","","0.0","","6.0","","0","",,"",,""
"1985-08","1985","08","19.6","","9.5","","14.6","","27.0","","3.0","","166.8","","0.0","","166.8","","0","",,"",,""
"1985-09","1985","09","12.2","","3.9","","8.1","","22.5","","-4.0","","92.0","","4.0","","96.0","","0","",,"",,""
"1985-10","1985","10","9.9","","-0.3","E","4.8","E","20.5","","-8.5","S","4.8","","19.0","","23.8","","0","",,"",,""
"1985-11","1985","11","-9.1","","-16.7","","-12.9","","8.0","","-33.0","","1.6","","25.0","","26.6","","9","",,"",,""
"1985-12","1985","12","-8.8","","-19.0","","-13.9","","5.0","","-28.5","","0.8","","15.6","","16.4","","23","",,"",,""
"1986-01","1986","01","-4.0","","-13.4","","-8.7","","7.5","","-29.5","","0.0","T","23.2","","23.2","","16","",,"",,""
"1986-02","1986","02","-8.5","","-18.1","","-13.3","","6.5","","-34.5","","0.0","","27.2","","27.2","","6","",,"",,""
"1986-03","1986","03","3.7","","-5.0","","-0.7","","16.5","","-20.5","","1.3","","2.0","","3.3","","0","",,"",,""
"1986-04","1986","04","8.9","","-1.9","","3.5","","25.5","","-15.5","","7.6","","11.8","","19.4","","0","",,"",,""
"1986-05","1986","05","19.2","","6.2","","12.7","","32.0","","-1.5","","35.6","","12.4","","48.0","","0","",,"",,""
"1986-06","1986","06","22.1","","9.4","","15.8","","30.5","","2.5","","37.6","","0.0","","37.6","","0","",,"",,""
"1986-07","1986","07","23.1","","12.1","","17.6","","27.5","","8.0","S","83.4","","0.0","","83.4","","0","",,"",,""
"1986-08","1986","08","24.3","","10.4","","17.4","","33.5","","2.0","S","13.0","","0.0","","13.0","","0","",,"",,""
"1986-09","1986","09","14.6","E","4.7","","9.7","E","23.0","","-1.5","","74.2","","0.0","","74.2","","0","",,"",,""
"1986-10","1986","10","12.0","","0.1","E","6.1","E","23.0","S","-9.0","","20.6","","1.6","","22.2","","1","",,"",,""
"1986-11","1986","11","-3.5","","-12.5","","-8.0","","9.5","","-24.0","","0.6","","10.8","","11.4","","0","",,"",,""
"1986-12","1986","12","-2.4","","-12.1","","-7.3","","4.0","","-28.0","","0.0","T","10.8","","10.8","","6","",,"",,""
"1987-01","1987","01","-3.5","","-12.4","","-8.0","","9.5","","-25.5","","0.0","","13.3","","13.3","","8","",,"",,""
"1987-02","1987","02","-2.0","","-10.0","","-6.0","","6.5","","-20.5","","0.0","T","11.4","","11.4","","3","",,"",,""
"1987-03","1987","03","0.2","","-7.0","","-3.4","","15.5","","-19.0","","3.2","","33.2","","36.4","","0","",,"",,""
"1987-04","1987","04","15.1","","2.5","E","8.8","E","28.5","","-9.5","","1.6","","1.0","","2.6","","0","",,"",,""
