"Station Name","WARREN"
"Province","ONTARIO"
"Latitude","46.43"
"Longitude","-80.32"
"Elevation","212.00"
"Climate Identifier","6069K90"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1987-01","1987","01","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-02","1987","02","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-03","1987","03","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-04","1987","04","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-05","1987","05","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-06","1987","06","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-07","1987","07","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-08","1987","08","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-09","1987","09","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-10","1987","10","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1987-11","1987","11","","","","","","","","","","","56.8","","9.6","","66.4","","4","",,"",,""
"1987-12","1987","12","","","","","","","","","","","19.3","","66.6","","85.9","","28","",,"",,""
"1988-01","1988","01","","M","","M","","M","","M","","M","23.6","","69.0","","92.6","","30","",,"",,""
"1988-02","1988","02","","M","","M","","M","","M","","M","0.0","T","98.0","","98.0","","52","",,"",,""
"1988-03","1988","03","","M","","M","","M","","M","","M","44.0","","50.2","","94.2","","25","",,"",,""
"1988-04","1988","04","","M","","M","","M","","M","","M","65.9","","5.8","","71.7","","0","",,"",,""
"1988-05","1988","05","","M","","M","","M","","M","","M","85.4","","0.0","","85.4","","0","",,"",,""
"1988-06","1988","06","22.8","","7.7","E","15.3","E","32.0","","-0.5","","50.4","","0.0","","50.4","","0","",,"",,""
"1988-07","1988","07","29.1","","12.4","E","20.8","E","37.0","","4.0","","35.7","","0.0","","35.7","","0","",,"",,""
"1988-08","1988","08","25.3","","12.7","","19.0","","35.0","","2.5","","161.6","","0.0","","161.6","","0","",,"",,""
"1988-09","1988","09","18.8","","6.4","E","12.6","E","25.5","S","-2.5","","66.9","","0.0","","66.9","","0","",,"",,""
"1988-10","1988","10","9.3","","0.5","","4.9","","22.0","","-6.5","","127.3","","0.0","T","127.3","","0","",,"",,""
"1988-11","1988","11","5.3","","-1.7","","1.8","","14.0","","-12.0","","80.9","","15.0","","95.9","","4","",,"",,""
"1988-12","1988","12","-4.3","E","-15.5","","-9.9","E","6.0","","-35.5","","18.1","","77.0","","95.1","","19","",,"",,""
"1989-01","1989","01","-2.4","","-16.0","","-9.2","","6.5","","-36.0","S","26.0","","73.2","","99.2","","30","",,"",,""
"1989-02","1989","02","-6.2","","-21.9","E","-14.1","E","1.5","","-35.5","","0.0","","34.0","","34.0","","33","",,"",,""
"1989-03","1989","03","-0.7","","-15.0","","-7.9","","13.5","","-30.5","","44.4","","35.4","","79.8","","8","",,"",,""
"1989-04","1989","04","7.9","","-3.4","","2.3","","16.5","","-11.5","","28.2","","8.2","","36.4","","0","",,"",,""
"1989-05","1989","05","18.4","","4.8","E","11.6","E","28.0","","-2.5","S","88.3","","0.0","","88.3","","0","",,"",,""
"1989-06","1989","06","21.9","E","10.4","","16.2","E","30.0","","1.0","","67.0","","0.0","","67.0","","0","",,"",,""
"1989-07","1989","07","27.6","","10.8","","19.2","","33.0","","3.0","","63.2","","0.0","","63.2","","0","",,"",,""
"1989-08","1989","08","23.9","","10.4","E","17.2","E","30.5","S","-0.5","","67.4","","0.0","","67.4","","0","",,"",,""
"1989-09","1989","09","20.2","","5.2","","12.7","","28.0","","-8.0","","15.4","","0.0","","15.4","","0","",,"",,""
"1989-10","1989","10","12.8","","1.0","","6.9","","22.5","","-8.0","","71.2","","0.0","T","71.2","","0","",,"",,""
"1989-11","1989","11","0.3","","-8.9","","-4.3","","9.0","","-31.0","","48.8","","54.0","","102.8","","30","",,"",,""
"1989-12","1989","12","-11.5","","-28.1","","-19.8","","0.0","","-39.0","","0.0","","48.0","","48.0","","47","",,"",,""
"1990-01","1990","01","-1.4","","-13.8","","-7.6","","6.0","","-30.5","","20.0","","68.2","","88.2","","57","",,"",,""
"1990-02","1990","02","-3.4","","-16.1","","-9.8","","5.0","S","-31.5","","6.0","","21.2","","27.2","","62","",,"",,""
"1990-03","1990","03","2.7","","-10.5","","-3.9","","19.0","","-30.0","","26.6","","7.4","","34.0","","4","",,"",,""
"1990-04","1990","04","11.3","","-0.9","","5.2","","31.0","","-10.5","","17.0","","27.4","","44.4","","0","",,"",,""
"1990-05","1990","05","16.6","","2.1","","9.4","","25.0","","-5.0","","167.0","","0.0","T","167.0","","0","",,"",,""
"1990-06","1990","06","22.3","","8.4","","15.4","","28.0","","-2.0","","132.0","","0.0","","132.0","","0","",,"",,""
"1990-07","1990","07","25.3","","10.4","","17.9","","31.5","S","3.0","","68.6","","0.0","","68.6","","0","",,"",,""
"1990-08","1990","08","24.7","","9.6","","17.2","","30.5","","2.5","","41.2","","0.0","","41.2","","0","",,"",,""
