"Station Name","WEEKES"
"Province","SASKATCHEWAN"
"Latitude","52.75"
"Longitude","-102.83"
"Elevation","421.50"
"Climate Identifier","4088720"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1948-01","1948","01","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-02","1948","02","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-03","1948","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-04","1948","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-05","1948","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1948-06","1948","06","22.5","","6.4","","14.5","","31.7","","-2.2","","27.9","","0.0","","27.9","","","",,"",,""
"1948-07","1948","07","23.9","","10.0","","17.0","","32.2","","2.2","","59.4","","0.0","","59.4","","","",,"",,""
"1948-08","1948","08","22.2","","8.5","","15.4","","31.1","","1.1","","63.5","","0.0","","63.5","","","",,"",,""
"1948-09","1948","09","20.2","","3.7","","12.0","","31.1","S","-6.1","","17.5","","0.0","","17.5","","","",,"",,""
"1948-10","1948","10","13.3","","-2.9","","5.2","","26.1","","-15.6","","9.1","","0.8","","9.9","","","",,"",,""
"1948-11","1948","11","-1.7","","-10.9","","-6.3","","9.4","","-30.6","","1.0","","22.9","","23.9","","","",,"",,""
"1948-12","1948","12","-12.4","","-23.8","","-18.1","","-3.9","","-37.8","","0.0","","7.4","","7.4","","","",,"",,""
"1949-01","1949","01","-14.3","","-27.4","","-20.9","","5.6","","-48.3","","0.0","","15.7","","15.7","","15","",,"",,""
