"Station Name","WEST BRANCH"
"Province","NOVA SCOTIA"
"Latitude","45.68"
"Longitude","-63.07"
"Elevation","63.10"
"Climate Identifier","8206232"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1984-01","1984","01","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-02","1984","02","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-03","1984","03","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-04","1984","04","","M","","M","","M","","M","","M","","M","","M","","M","","M",,"",,""
"1984-05","1984","05","15.9","E","5.1","E","10.5","E","26.5","","-4.0","","123.6","","0.0","","123.6","","0","",,"",,""
"1984-06","1984","06","19.9","","9.0","","14.5","","32.0","","-1.0","","92.9","","0.0","","92.9","","0","",,"",,""
"1984-07","1984","07","26.0","","14.1","","20.1","","31.0","","4.5","","57.2","","0.0","","57.2","","0","",,"",,""
"1984-08","1984","08","25.4","","14.7","","20.1","","31.5","","4.0","","120.8","","0.0","","120.8","","0","",,"",,""
"1984-09","1984","09","18.1","","7.0","","12.6","","25.0","","-1.0","S","105.2","","0.0","","105.2","","0","",,"",,""
"1984-10","1984","10","12.6","","2.6","","7.6","","19.0","","-6.0","","77.4","","0.0","T","77.4","","0","",,"",,""
"1984-11","1984","11","8.3","","-1.3","","3.5","","20.0","","-10.0","","71.2","","0.0","T","71.2","","0","",,"",,""
"1984-12","1984","12","2.8","","-6.6","","-1.9","","11.0","","-24.0","","70.3","","10.1","","80.4","","0","T",,"",,""
"1985-01","1985","01","-5.3","E","-15.8","","-10.6","E","4.0","","-25.0","","0.0","","65.0","","65.0","","","M",,"",,""
"1985-02","1985","02","-1.3","E","-11.2","E","-6.3","E","10.0","","-28.0","","8.0","E","48.0","","56.0","E","","M",,"",,""
"1985-03","1985","03","1.7","","-9.1","","-3.7","","","M","","M","38.3","E","32.4","","70.7","E","","M",,"",,""
"1985-04","1985","04","6.8","","-2.1","","2.4","","18.0","","-8.0","","33.0","","13.0","","46.0","","0","",,"",,""
"1985-05","1985","05","14.5","","2.8","E","8.7","E","27.5","","-4.0","","103.0","","6.4","","109.4","","0","",,"",,""
"1985-06","1985","06","18.7","","8.7","","13.7","","25.0","","2.0","S","235.0","","0.0","","235.0","","0","",,"",,""
"1985-07","1985","07","25.2","","13.4","","19.3","","30.5","","6.0","","54.2","","0.0","","54.2","","0","",,"",,""
"1985-08","1985","08","22.3","","11.2","","16.8","","29.0","S","3.0","","200.1","","0.0","","200.1","","0","",,"",,""
"1985-09","1985","09","19.8","","8.0","","13.9","","28.0","","-1.0","","30.4","","0.0","","30.4","","0","",,"",,""
"1985-10","1985","10","12.5","E","2.6","E","7.6","E","21.5","","-5.0","","89.2","","0.0","","89.2","","0","",,"",,""
"1985-11","1985","11","5.5","","-1.3","","2.1","","15.0","S","-15.0","","86.0","","7.0","","93.0","","","M",,"",,""
"1985-12","1985","12","-1.3","E","-12.5","E","-6.9","E","14.0","","-25.0","","3.0","","43.0","","46.0","","","M",,"",,""
"1986-01","1986","01","0.4","E","-9.9","E","-4.8","E","14.5","S","-25.0","S","56.8","E","17.0","E","73.8","E","","",,"",,""
"1986-02","1986","02","","M","-14.8","E","","M","","M","","M","0.0","T","110.0","","110.0","","","",,"",,""
"1986-03","1986","03","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-04","1986","04","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-05","1986","05","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-06","1986","06","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-07","1986","07","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-08","1986","08","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-09","1986","09","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-10","1986","10","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-11","1986","11","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
"1986-12","1986","12","","M","","M","","M","","M","","M","","M","","M","","M","","",,"",,""
